taxon	gene_i	domain_id_i	start_i	end_i	domains_i	length_i	HMM_length_i	is_complete_i	component_i	classification_i	posx_i	posy_i	Index_i	domain_id_j	gene_j	start_j	end_j	domains_j	length_j	HMM_length_j	is_complete_j	component_j	classification_j	posx_j	posy_j	Index_j	taxnid	species	genus	family	order	class	phylum	kingdom	superkingdom
Halobacteriales archaeon SW_9_67_25	arc_PSQ59246.1	arc_PSQ59246.1_1-72	1	72	CBFD_NFYB_HMF	72	65	TRUE	4	NA	0.374934673309326	-0.659754931926727	1	arc_PSQ59246.1_66-146	arc_PSQ59246.1	66	146	Histone,CBFD_NFYB_HMF	81	65	TRUE	4	NA	-0.415247738361359	0.435231953859329	2	1919210	NA	NA	NA	Halobacteriales	Halobacteria	Euryarchaeota	NA	Archaea
Halobacterium hubeiense	arc_CQH47445.1	arc_CQH47445.1_1-72	1	72	CBFD_NFYB_HMF	72	65	TRUE	4	NA	0.390902549028397	-0.647095501422882	1	arc_CQH47445.1_64-143	arc_CQH47445.1	64	143	Histone,CBFD_NFYB_HMF	80	65	TRUE	4	NA	-0.313376069068909	0.646566212177277	2	1407499	NA	Halobacterium	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	NA	Archaea
Halobacterium hubeiense	arc_WP_059055557.1	arc_WP_059055557.1_1-72	1	72	CBFD_NFYB_HMF	72	65	TRUE	4	NA	0.374232739210129	-0.64850127696991	1	arc_WP_059055557.1_64-143	arc_WP_059055557.1	64	143	Histone,CBFD_NFYB_HMF	80	65	TRUE	4	NA	-0.325362920761108	0.68720531463623	2	1407499	NA	Halobacterium	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	NA	Archaea
Halobacterium jilantaiense	arc_SEW09702.1	arc_SEW09702.1_1-72	1	72	CBFD_NFYB_HMF	72	65	TRUE	4	NA	0.356677085161209	-0.653128743171692	1	arc_SEW09702.1_64-143	arc_SEW09702.1	64	143	Histone,CBFD_NFYB_HMF	80	65	TRUE	4	NA	-0.307297378778458	0.716863572597504	2	355548	NA	Halobacterium	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	NA	Archaea
Halobacterium jilantaiense	arc_WP_089668649.1	arc_WP_089668649.1_1-72	1	72	CBFD_NFYB_HMF	72	65	TRUE	4	NA	0.375146836042404	-0.682718515396118	1	arc_WP_089668649.1_64-143	arc_WP_089668649.1	64	143	Histone,CBFD_NFYB_HMF	80	65	TRUE	4	NA	-0.278646647930145	0.676014959812164	2	355548	NA	Halobacterium	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	NA	Archaea
Halobacterium salinarum	arc_QCC44039.1	arc_QCC44039.1_1-72	1	72	CBFD_NFYB_HMF	72	65	TRUE	4	NA	0.293937116861343	-0.607984602451324	1	arc_QCC44039.1_64-150	arc_QCC44039.1	64	150	Histone,CBFD_NFYB_HMF	87	65	TRUE	4	NA	-0.435338765382767	0.752514183521271	2	2242	NA	Halobacterium	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	NA	Archaea
Halobacterium salinarum	arc_WP_010902050.1	arc_WP_010902050.1_1-72	1	72	CBFD_NFYB_HMF	72	65	TRUE	4	NA	0.30070436000824	-0.596605896949768	1	arc_WP_010902050.1_64-150	arc_WP_010902050.1	64	150	Histone,CBFD_NFYB_HMF	87	65	TRUE	4	NA	-0.422069311141968	0.730096220970154	2	2242	NA	Halobacterium	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	NA	Archaea
Halobacterium salinarum DSM 3754	arc_TYO76915.1	arc_TYO76915.1_1-72	1	72	CBFD_NFYB_HMF	72	65	TRUE	4	NA	0.295178771018982	-0.591773688793182	1	arc_TYO76915.1_64-150	arc_TYO76915.1	64	150	Histone,CBFD_NFYB_HMF	87	65	TRUE	4	NA	-0.419438660144806	0.722263395786285	2	2597657	Halobacterium salinarum	Halobacterium	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	NA	Archaea
Halobacterium salinarum NRC-1	arc_AAG18755.1	arc_AAG18755.1_1-72	1	72	CBFD_NFYB_HMF	72	65	TRUE	4	NA	0.307681500911713	-0.598422586917877	1	arc_AAG18755.1_64-150	arc_AAG18755.1	64	150	Histone,CBFD_NFYB_HMF	87	65	TRUE	4	NA	-0.420378804206848	0.712595999240875	2	64091	Halobacterium salinarum	Halobacterium	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	NA	Archaea
Halobacterium salinarum NRC-1	arc_DAC77443.1	arc_DAC77443.1_1-72	1	72	CBFD_NFYB_HMF	72	65	TRUE	4	NA	0.292954534292221	-0.590562582015991	1	arc_DAC77443.1_64-150	arc_DAC77443.1	64	150	Histone,CBFD_NFYB_HMF	87	65	TRUE	4	NA	-0.438865691423416	0.752503395080566	2	64091	Halobacterium salinarum	Halobacterium	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	NA	Archaea
Halobacterium salinarum R1	arc_CAP13012.1	arc_CAP13012.1_1-72	1	72	CBFD_NFYB_HMF	72	65	TRUE	4	NA	0.302483439445496	-0.596796095371246	1	arc_CAP13012.1_64-150	arc_CAP13012.1	64	150	Histone,CBFD_NFYB_HMF	87	65	TRUE	4	NA	-0.418863236904144	0.721649289131165	2	478009	Halobacterium salinarum	Halobacterium	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	NA	Archaea
Halobacterium sp. CBA1132	arc_WP_058980972.1	arc_WP_058980972.1_1-72	1	72	CBFD_NFYB_HMF	72	65	TRUE	4	NA	0.402633368968964	-0.653898417949677	1	arc_WP_058980972.1_67-143	arc_WP_058980972.1	67	143	CBFD_NFYB_HMF,Histone	77	65	TRUE	4	NA	-0.417897015810013	0.655062317848206	2	1765057	NA	Halobacterium	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	NA	Archaea
Halobacterium sp. DL1	arc_AHG02884.1	arc_AHG02884.1_1-72	1	72	CBFD_NFYB_HMF	72	65	TRUE	4	NA	0.385158121585846	-0.623726189136505	1	arc_AHG02884.1_64-143	arc_AHG02884.1	64	143	Histone,CBFD_NFYB_HMF	80	65	TRUE	4	NA	-0.391888856887817	0.628900051116943	2	751944	NA	Halobacterium	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	NA	Archaea
Halobacterium sp. DL1	arc_WP_009486562.1	arc_WP_009486562.1_1-72	1	72	CBFD_NFYB_HMF	72	65	TRUE	4	NA	0.372671753168106	-0.639324426651001	1	arc_WP_009486562.1_64-143	arc_WP_009486562.1	64	143	Histone,CBFD_NFYB_HMF	80	65	TRUE	4	NA	-0.390038311481476	0.651228308677673	2	751944	NA	Halobacterium	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	NA	Archaea
Halobacterium sp. PCN9	arc_WP_159527073.1	arc_WP_159527073.1_1-72	1	72	CBFD_NFYB_HMF	72	65	TRUE	4	NA	0.394745826721191	-0.644037544727325	1	arc_WP_159527073.1_66-143	arc_WP_159527073.1	66	143	CBFD_NFYB_HMF,Histone	78	65	TRUE	4	NA	-0.429520636796951	0.675924897193909	2	2692200	NA	Halobacterium	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	NA	Archaea
Halobacterium sp. R2-5	arc_WP_167244568.1	arc_WP_167244568.1_1-72	1	72	CBFD_NFYB_HMF	72	65	TRUE	4	NA	0.405721813440323	-0.67571759223938	1	arc_WP_167244568.1_66-143	arc_WP_167244568.1	66	143	CBFD_NFYB_HMF,Histone	78	65	TRUE	4	NA	-0.392572224140167	0.61059296131134	2	2715751	NA	Halobacterium	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	NA	Archaea
Halobaculum gomorrense	arc_SHG49615.1	arc_SHG49615.1_1-72	1	72	CBFD_NFYB_HMF	72	65	TRUE	4	NA	0.26648336648941	-0.697193920612335	1	arc_SHG49615.1_61-144	arc_SHG49615.1	61	144	Histone,CBFD_NFYB_HMF	84	65	TRUE	4	NA	-0.364283233880997	0.78174889087677	2	43928	NA	Halobaculum	Halorubraceae	Haloferacales	Halobacteria	Euryarchaeota	NA	Archaea
Halobaculum gomorrense	arc_WP_073306737.1	arc_WP_073306737.1_1-72	1	72	CBFD_NFYB_HMF	72	65	TRUE	4	NA	0.260162770748138	-0.70262199640274	1	arc_WP_073306737.1_61-144	arc_WP_073306737.1	61	144	Histone,CBFD_NFYB_HMF	84	65	TRUE	4	NA	-0.377715706825256	0.810579419136047	2	43928	NA	Halobaculum	Halorubraceae	Haloferacales	Halobacteria	Euryarchaeota	NA	Archaea
Halobaculum sp. WSA2	arc_WP_159664956.1	arc_WP_159664956.1_1-72	1	72	CBFD_NFYB_HMF	72	65	TRUE	4	NA	0.26982194185257	-0.723917424678802	1	arc_WP_159664956.1_62-144	arc_WP_159664956.1	62	144	Histone,CBFD_NFYB_HMF	83	65	TRUE	4	NA	-0.359692603349686	0.776132881641388	2	2073113	NA	Halobaculum	Halorubraceae	Haloferacales	Halobacteria	Euryarchaeota	NA	Archaea
Halobellus captivus	arc_WP_122105407.1	arc_WP_122105407.1_1-72	1	72	CBFD_NFYB_HMF	72	65	TRUE	4	NA	0.329065531492233	-0.675669550895691	1	arc_WP_122105407.1_62-143	arc_WP_122105407.1	62	143	Histone,CBFD_NFYB_HMF	82	65	TRUE	4	NA	-0.449782878160477	0.922139286994934	2	2592614	NA	Halobellus	Haloferacaceae	Haloferacales	Halobacteria	Euryarchaeota	NA	Archaea
Halobellus captivus	arc_WP_144902436.1	arc_WP_144902436.1_1-72	1	72	CBFD_NFYB_HMF	72	65	TRUE	4	NA	0.226649686694145	-0.624346256256104	1	arc_WP_144902436.1_61-143	arc_WP_144902436.1	61	143	Histone,CBFD_NFYB_HMF	83	65	TRUE	4	NA	-0.439598172903061	0.871605813503265	2	2592614	NA	Halobellus	Haloferacaceae	Haloferacales	Halobacteria	Euryarchaeota	NA	Archaea
Halobellus clavatus	arc_SDX63470.1	arc_SDX63470.1_1-72	1	72	CBFD_NFYB_HMF	72	65	TRUE	4	NA	0.238703548908234	-0.649080753326416	1	arc_SDX63470.1_60-143	arc_SDX63470.1	60	143	Histone,CBFD_NFYB_HMF	84	65	TRUE	4	NA	-0.450145393610001	0.921703100204468	2	660517	NA	Halobellus	Haloferacaceae	Haloferacales	Halobacteria	Euryarchaeota	NA	Archaea
Halobellus clavatus	arc_WP_089764677.1	arc_WP_089764677.1_1-72	1	72	CBFD_NFYB_HMF	72	65	TRUE	4	NA	0.238390162587166	-0.653203189373016	1	arc_WP_089764677.1_60-143	arc_WP_089764677.1	60	143	Histone,CBFD_NFYB_HMF	84	65	TRUE	4	NA	-0.449148654937744	0.920387744903564	2	660517	NA	Halobellus	Haloferacaceae	Haloferacales	Halobacteria	Euryarchaeota	NA	Archaea
Halobellus limi	arc_QCC48607.1	arc_QCC48607.1_1-72	1	72	CBFD_NFYB_HMF	72	65	TRUE	4	NA	0.222548842430115	-0.642463147640228	1	arc_QCC48607.1_60-143	arc_QCC48607.1	60	143	Histone,CBFD_NFYB_HMF	84	65	TRUE	4	NA	-0.444274395704269	0.910377204418182	2	699433	NA	Halobellus	Haloferacaceae	Haloferacales	Halobacteria	Euryarchaeota	NA	Archaea
Halobellus limi	arc_SEG67726.1	arc_SEG67726.1_1-72	1	72	CBFD_NFYB_HMF	72	65	TRUE	4	NA	0.234520092606544	-0.650321304798126	1	arc_SEG67726.1_60-143	arc_SEG67726.1	60	143	Histone,CBFD_NFYB_HMF	84	65	TRUE	4	NA	-0.44956773519516	0.917891800403595	2	699433	NA	Halobellus	Haloferacaceae	Haloferacales	Halobacteria	Euryarchaeota	NA	Archaea
Halobellus limi	arc_WP_103992844.1	arc_WP_103992844.1_1-72	1	72	CBFD_NFYB_HMF	72	65	TRUE	4	NA	0.224808812141418	-0.641425132751465	1	arc_WP_103992844.1_60-143	arc_WP_103992844.1	60	143	Histone,CBFD_NFYB_HMF	84	65	TRUE	4	NA	-0.443375170230865	0.907782673835754	2	699433	NA	Halobellus	Haloferacaceae	Haloferacales	Halobacteria	Euryarchaeota	NA	Archaea
Halobellus sp. Atlit-31R	arc_RLM59819.1	arc_RLM59819.1_1-72	1	72	CBFD_NFYB_HMF	72	65	TRUE	4	NA	0.30212390422821	-0.62210601568222	1	arc_RLM59819.1_61-143	arc_RLM59819.1	61	143	Histone,CBFD_NFYB_HMF	83	65	TRUE	4	NA	-0.441860347986221	0.833668828010559	2	2282130	NA	Halobellus	Haloferacaceae	Haloferacales	Halobacteria	Euryarchaeota	NA	Archaea
Halobellus sp. Atlit-31R	arc_WP_121558872.1	arc_WP_121558872.1_1-72	1	72	CBFD_NFYB_HMF	72	65	TRUE	4	NA	0.2834792137146	-0.627078533172607	1	arc_WP_121558872.1_61-143	arc_WP_121558872.1	61	143	Histone,CBFD_NFYB_HMF	83	65	TRUE	4	NA	-0.443758547306061	0.842272102832794	2	2282130	NA	Halobellus	Haloferacaceae	Haloferacales	Halobacteria	Euryarchaeota	NA	Archaea
Halobellus sp. Atlit-38R	arc_RLM90252.1	arc_RLM90252.1_1-72	1	72	CBFD_NFYB_HMF	72	65	TRUE	4	NA	0.289358377456665	-0.628102779388428	1	arc_RLM90252.1_61-143	arc_RLM90252.1	61	143	Histone,CBFD_NFYB_HMF	83	65	TRUE	4	NA	-0.430000782012939	0.869431436061859	2	2282131	NA	Halobellus	Haloferacaceae	Haloferacales	Halobacteria	Euryarchaeota	NA	Archaea
Halobellus sp. Atlit-38R	arc_WP_121569007.1	arc_WP_121569007.1_1-72	1	72	CBFD_NFYB_HMF	72	65	TRUE	4	NA	0.285598486661911	-0.614359557628632	1	arc_WP_121569007.1_61-143	arc_WP_121569007.1	61	143	Histone,CBFD_NFYB_HMF	83	65	TRUE	4	NA	-0.440577030181885	0.878564715385437	2	2282131	NA	Halobellus	Haloferacaceae	Haloferacales	Halobacteria	Euryarchaeota	NA	Archaea
Halobiforma haloterrestris	arc_SFB67262.1	arc_SFB67262.1_1-72	1	72	CBFD_NFYB_HMF	72	65	TRUE	4	NA	0.53143846988678	-0.793556392192841	1	arc_SFB67262.1_61-143	arc_SFB67262.1	61	143	Histone,CBFD_NFYB_HMF	83	65	TRUE	4	NA	-0.211068898439407	0.641104638576508	2	148448	NA	Halobiforma	Natrialbaceae	Natrialbales	Halobacteria	Euryarchaeota	NA	Archaea
Halobiforma haloterrestris	arc_WP_089784296.1	arc_WP_089784296.1_1-72	1	72	CBFD_NFYB_HMF	72	65	TRUE	4	NA	0.527082324028015	-0.807804346084595	1	arc_WP_089784296.1_61-143	arc_WP_089784296.1	61	143	Histone,CBFD_NFYB_HMF	83	65	TRUE	4	NA	-0.200310260057449	0.658083379268646	2	148448	NA	Halobiforma	Natrialbaceae	Natrialbales	Halobacteria	Euryarchaeota	NA	Archaea
Halobiforma lacisalsi	arc_WP_007140949.1	arc_WP_007140949.1_1-72	1	72	CBFD_NFYB_HMF	72	65	TRUE	4	NA	0.562590360641479	-0.806429445743561	1	arc_WP_007140949.1_61-143	arc_WP_007140949.1	61	143	Histone,CBFD_NFYB_HMF	83	65	TRUE	4	NA	-0.199720710515976	0.642949223518372	2	229731	NA	Halobiforma	Natrialbaceae	Natrialbales	Halobacteria	Euryarchaeota	NA	Archaea
Halobiforma lacisalsi AJ5	arc_APW96767.1	arc_APW96767.1_1-72	1	72	CBFD_NFYB_HMF	72	65	TRUE	4	NA	0.537289381027222	-0.786345481872559	1	arc_APW96767.1_61-143	arc_APW96767.1	61	143	Histone,CBFD_NFYB_HMF	83	65	TRUE	4	NA	-0.209629997611046	0.650966286659241	2	358396	Halobiforma lacisalsi	Halobiforma	Natrialbaceae	Natrialbales	Halobacteria	Euryarchaeota	NA	Archaea
Halobiforma lacisalsi AJ5	arc_EMA35037.1	arc_EMA35037.1_1-72	1	72	CBFD_NFYB_HMF	72	65	TRUE	4	NA	0.536209285259247	-0.786025404930115	1	arc_EMA35037.1_61-143	arc_EMA35037.1	61	143	Histone,CBFD_NFYB_HMF	83	65	TRUE	4	NA	-0.21110463142395	0.640249729156494	2	358396	Halobiforma lacisalsi	Halobiforma	Natrialbaceae	Natrialbales	Halobacteria	Euryarchaeota	NA	Archaea
Halobiforma nitratireducens	arc_WP_006674196.1	arc_WP_006674196.1_1-72	1	72	CBFD_NFYB_HMF	72	65	TRUE	4	NA	0.508229196071625	-0.775136888027191	1	arc_WP_006674196.1_62-143	arc_WP_006674196.1	62	143	Histone,CBFD_NFYB_HMF	82	65	TRUE	4	NA	-0.258457362651825	0.643934428691864	2	130048	NA	Halobiforma	Natrialbaceae	Natrialbales	Halobacteria	Euryarchaeota	NA	Archaea
Halobiforma nitratireducens JCM 10879	arc_EMA30600.1	arc_EMA30600.1_1-72	1	72	CBFD_NFYB_HMF	72	65	TRUE	4	NA	0.533594965934753	-0.790774583816528	1	arc_EMA30600.1_62-143	arc_EMA30600.1	62	143	Histone,CBFD_NFYB_HMF	82	65	TRUE	4	NA	-0.254545599222183	0.676417648792267	2	1227454	Halobiforma nitratireducens	Halobiforma	Natrialbaceae	Natrialbales	Halobacteria	Euryarchaeota	NA	Archaea
Halococcus agarilyticus	arc_WP_049901109.1	arc_WP_049901109.1_1-72	1	72	CBFD_NFYB_HMF	72	65	TRUE	4	NA	0.357195198535919	-0.504972517490387	1	arc_WP_049901109.1_61-147	arc_WP_049901109.1	61	147	Histone,CBFD_NFYB_HMF	87	65	TRUE	4	NA	-0.407873094081879	0.420999646186829	2	1232219	NA	Halococcus	Halococcaceae	Halobacteriales	Halobacteria	Euryarchaeota	NA	Archaea
Halococcus hamelinensis	arc_WP_007690033.1	arc_WP_007690033.1_1-72	1	72	CBFD_NFYB_HMF	72	65	TRUE	4	NA	0.365114718675613	-0.512726783752441	1	arc_WP_007690033.1_64-147	arc_WP_007690033.1	64	147	CBFD_NFYB_HMF,Histone	84	65	TRUE	4	NA	-0.323825031518936	0.504930436611176	2	332168	NA	Halococcus	Halococcaceae	Halobacteriales	Halobacteria	Euryarchaeota	NA	Archaea
Halococcus hamelinensis 100A6	arc_EMA41421.1	arc_EMA41421.1_1-72	1	72	CBFD_NFYB_HMF	72	65	TRUE	4	NA	0.365136325359344	-0.512551128864288	1	arc_EMA41421.1_64-147	arc_EMA41421.1	64	147	CBFD_NFYB_HMF,Histone	84	65	TRUE	4	NA	-0.321133315563202	0.512998878955841	2	1132509	Halococcus hamelinensis	Halococcus	Halococcaceae	Halobacteriales	Halobacteria	Euryarchaeota	NA	Archaea
Halococcus morrhuae	arc_WP_004051668.1	arc_WP_004051668.1_1-74	1	74	CBFD_NFYB_HMF	74	65	TRUE	4	NA	0.378057390451431	-0.499910682439804	1	arc_WP_004051668.1_61-148	arc_WP_004051668.1	61	148	Histone,CBFD_NFYB_HMF	88	65	TRUE	4	NA	-0.369419515132904	0.442700773477554	2	2250	NA	Halococcus	Halococcaceae	Halobacteriales	Halobacteria	Euryarchaeota	NA	Archaea
Halococcus morrhuae DSM 1307	arc_EMA48705.1	arc_EMA48705.1_1-74	1	74	CBFD_NFYB_HMF	74	65	TRUE	4	NA	0.394666165113449	-0.50342458486557	1	arc_EMA48705.1_61-148	arc_EMA48705.1	61	148	Histone,CBFD_NFYB_HMF	88	65	TRUE	4	NA	-0.380069464445114	0.410303145647049	2	931277	Halococcus morrhuae	Halococcus	Halococcaceae	Halobacteriales	Halobacteria	Euryarchaeota	NA	Archaea
Halococcus saccharolyticus	arc_WP_006078193.1	arc_WP_006078193.1_1-73	1	73	CBFD_NFYB_HMF	73	65	TRUE	4	NA	0.38448965549469	-0.556269407272339	1	arc_WP_006078193.1_64-147	arc_WP_006078193.1	64	147	Histone,CBFD_NFYB_HMF	84	65	TRUE	4	NA	-0.38652628660202	0.395646542310715	2	62319	NA	Halococcus	Halococcaceae	Halobacteriales	Halobacteria	Euryarchaeota	NA	Archaea
Halococcus saccharolyticus DSM 5350	arc_EMA44182.1	arc_EMA44182.1_1-73	1	73	CBFD_NFYB_HMF	73	65	TRUE	4	NA	0.406521290540695	-0.521432816982269	1	arc_EMA44182.1_64-147	arc_EMA44182.1	64	147	Histone,CBFD_NFYB_HMF	84	65	TRUE	4	NA	-0.378847926855087	0.388433426618576	2	1227455	Halococcus saccharolyticus	Halococcus	Halococcaceae	Halobacteriales	Halobacteria	Euryarchaeota	NA	Archaea
Halococcus salifodinae	arc_WP_005045532.1	arc_WP_005045532.1_1-73	1	73	CBFD_NFYB_HMF	73	65	TRUE	4	NA	0.325120270252228	-0.539376616477966	1	arc_WP_005045532.1_61-147	arc_WP_005045532.1	61	147	Histone,CBFD_NFYB_HMF	87	65	TRUE	4	NA	-0.403698563575745	0.39544740319252	2	36738	NA	Halococcus	Halococcaceae	Halobacteriales	Halobacteria	Euryarchaeota	NA	Archaea
Halococcus salifodinae DSM 8989	arc_EMA49323.1	arc_EMA49323.1_1-73	1	73	CBFD_NFYB_HMF	73	65	TRUE	4	NA	0.330291509628296	-0.531688988208771	1	arc_EMA49323.1_61-147	arc_EMA49323.1	61	147	Histone,CBFD_NFYB_HMF	87	65	TRUE	4	NA	-0.40583199262619	0.39598336815834	2	1227456	Halococcus salifodinae	Halococcus	Halococcaceae	Halobacteriales	Halobacteria	Euryarchaeota	NA	Archaea
Halococcus salsus	arc_WP_160134455.1	arc_WP_160134455.1_1-72	1	72	CBFD_NFYB_HMF	72	65	TRUE	4	NA	0.29897066950798	-0.590296447277069	1	arc_WP_160134455.1_64-147	arc_WP_160134455.1	64	147	CBFD_NFYB_HMF,Histone	84	65	TRUE	4	NA	-0.374423295259476	0.404882520437241	2	2162894	NA	Halococcus	Halococcaceae	Halobacteriales	Halobacteria	Euryarchaeota	NA	Archaea
Halococcus sediminicola	arc_WP_079977629.1	arc_WP_079977629.1_1-74	1	74	CBFD_NFYB_HMF	74	65	TRUE	4	NA	0.429604023694992	-0.526528894901276	1	arc_WP_079977629.1_61-148	arc_WP_079977629.1	61	148	Histone,CBFD_NFYB_HMF	88	65	TRUE	4	NA	-0.405633985996246	0.412072569131851	2	1264579	NA	Halococcus	Halococcaceae	Halobacteriales	Halobacteria	Euryarchaeota	NA	Archaea
Halococcus sp. IIIV-5B	arc_RJT03848.1	arc_RJT03848.1_1-72	1	72	CBFD_NFYB_HMF	72	65	TRUE	4	NA	0.3037109375	-0.569220244884491	1	arc_RJT03848.1_64-147	arc_RJT03848.1	64	147	CBFD_NFYB_HMF,Histone	84	65	TRUE	4	NA	-0.344356000423431	0.492584407329559	2	2321230	NA	Halococcus	Halococcaceae	Halobacteriales	Halobacteria	Euryarchaeota	NA	Archaea
Halococcus sp. IIIV-5B	arc_WP_120072114.1	arc_WP_120072114.1_1-72	1	72	CBFD_NFYB_HMF	72	65	TRUE	4	NA	0.303148925304413	-0.595350861549377	1	arc_WP_120072114.1_64-147	arc_WP_120072114.1	64	147	CBFD_NFYB_HMF,Histone	84	65	TRUE	4	NA	-0.349626243114471	0.458277463912964	2	2321230	NA	Halococcus	Halococcaceae	Halobacteriales	Halobacteria	Euryarchaeota	NA	Archaea
Halococcus thailandensis	arc_WP_007739685.1	arc_WP_007739685.1_1-74	1	74	CBFD_NFYB_HMF	74	65	TRUE	4	NA	0.430505454540253	-0.502568900585175	1	arc_WP_007739685.1_61-148	arc_WP_007739685.1	61	148	Histone,CBFD_NFYB_HMF	88	65	TRUE	4	NA	-0.36304384469986	0.447280615568161	2	335952	NA	Halococcus	Halococcaceae	Halobacteriales	Halobacteria	Euryarchaeota	NA	Archaea
Halococcus thailandensis JCM 13552	arc_EMA53854.1	arc_EMA53854.1_1-74	1	74	CBFD_NFYB_HMF	74	65	TRUE	4	NA	0.404975950717926	-0.54046642780304	1	arc_EMA53854.1_61-148	arc_EMA53854.1	61	148	Histone,CBFD_NFYB_HMF	88	65	TRUE	4	NA	-0.36872872710228	0.44505712389946	2	1227457	Halococcus thailandensis	Halococcus	Halococcaceae	Halobacteriales	Halobacteria	Euryarchaeota	NA	Archaea
Halodesulfurarchaeum formicicum	arc_AOW80951.1	arc_AOW80951.1_1-72	1	72	CBFD_NFYB_HMF	72	65	TRUE	4	NA	0.209896489977837	-0.756463527679443	1	arc_AOW80951.1_66-143	arc_AOW80951.1	66	143	CBFD_NFYB_HMF,Histone	78	65	TRUE	4	NA	-0.467445701360703	0.676841974258423	2	1873524	NA	Halodesulfurarchaeum	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	NA	Archaea
Halodesulfurarchaeum formicicum	arc_APE96285.1	arc_APE96285.1_1-72	1	72	CBFD_NFYB_HMF	72	65	TRUE	4	NA	0.235664963722229	-0.755327582359314	1	arc_APE96285.1_66-143	arc_APE96285.1	66	143	CBFD_NFYB_HMF,Histone	78	65	TRUE	4	NA	-0.458954483270645	0.697902202606201	2	1873524	NA	Halodesulfurarchaeum	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	NA	Archaea
Halodesulfurarchaeum formicicum	arc_WP_070365605.1	arc_WP_070365605.1_1-72	1	72	CBFD_NFYB_HMF	72	65	TRUE	4	NA	0.185643598437309	-0.76988673210144	1	arc_WP_070365605.1_66-143	arc_WP_070365605.1	66	143	CBFD_NFYB_HMF,Histone	78	65	TRUE	4	NA	-0.455056846141815	0.685002326965332	2	1873524	NA	Halodesulfurarchaeum	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	NA	Archaea
Haloferacaceae archaeon N1521	arc_WP_138007914.1	arc_WP_138007914.1_1-72	1	72	CBFD_NFYB_HMF	72	65	TRUE	4	NA	0.273918300867081	-0.760343313217163	1	arc_WP_138007914.1_62-143	arc_WP_138007914.1	62	143	Histone,CBFD_NFYB_HMF	82	65	TRUE	4	NA	-0.369889974594116	0.796231329441071	2	2563889	NA	NA	Haloferacaceae	Haloferacales	Halobacteria	Euryarchaeota	NA	Archaea
Haloferax	arc_WP_004044404.1	arc_WP_004044404.1_1-72	1	72	CBFD_NFYB_HMF	72	65	TRUE	4	NA	0.235655277967453	-0.758903980255127	1	arc_WP_004044404.1_62-143	arc_WP_004044404.1	62	143	Histone,CBFD_NFYB_HMF	82	65	TRUE	4	NA	-0.438748806715012	0.867666125297546	2	2251	NA	NA	Haloferacaceae	Haloferacales	Halobacteria	Euryarchaeota	NA	Archaea
Haloferax	arc_WP_004970449.1	arc_WP_004970449.1_1-72	1	72	CBFD_NFYB_HMF	72	65	TRUE	4	NA	0.219150722026825	-0.740398526191711	1	arc_WP_004970449.1_62-143	arc_WP_004970449.1	62	143	Histone,CBFD_NFYB_HMF	82	65	TRUE	4	NA	-0.450651586055756	0.848824918270111	2	2251	NA	NA	Haloferacaceae	Haloferacales	Halobacteria	Euryarchaeota	NA	Archaea
Haloferax	arc_WP_004973309.1	arc_WP_004973309.1_1-72	1	72	CBFD_NFYB_HMF	72	65	TRUE	4	NA	0.23553691804409	-0.75867623090744	1	arc_WP_004973309.1_61-143	arc_WP_004973309.1	61	143	Histone,CBFD_NFYB_HMF	83	65	TRUE	4	NA	-0.443494290113449	0.891711711883545	2	2251	NA	NA	Haloferacaceae	Haloferacales	Halobacteria	Euryarchaeota	NA	Archaea
Haloferax	arc_WP_007544802.1	arc_WP_007544802.1_1-72	1	72	CBFD_NFYB_HMF	72	65	TRUE	4	NA	0.255313813686371	-0.689731419086456	1	arc_WP_007544802.1_61-143	arc_WP_007544802.1	61	143	Histone,CBFD_NFYB_HMF	83	65	TRUE	4	NA	-0.413256525993347	0.825969994068146	2	2251	NA	NA	Haloferacaceae	Haloferacales	Halobacteria	Euryarchaeota	NA	Archaea
