gene_j	gene_i	strand_i	strand_j	dist_ij	class_i	class_j	pair	pair_hists	pair_orientation	pair_hists_ori	species
Ctel_CapteP103051	Ctel_CapteP128452	-	-	1120	H2A	H3	Ctel_CapteP103051,Ctel_CapteP128452	H2A,H3	ht	H2A,H3 ht	Ctel
Ctel_CapteP103051	Ctel_CapteP1352	-	+	-7099	H2B	H3	Ctel_CapteP103051,Ctel_CapteP1352	H2B,H3	tt	H2B,H3 tt	Ctel
Ctel_CapteP103051	Ctel_CapteP137819	+	+	2824	H2A	H3	Ctel_CapteP103051,Ctel_CapteP137819	H2A,H3	ht	H2A,H3 ht	Ctel
Ctel_CapteP103051	Ctel_CapteP98994	-	+	2405	H4	H3	Ctel_CapteP103051,Ctel_CapteP98994	H3,H4	hh	H3,H4 hh	Ctel
Ctel_CapteP111354	Ctel_CapteP111354	+	+	-2807	H2A	H2A	Ctel_CapteP111354,Ctel_CapteP111354	H2A,H2A	ht	H2A,H2A ht	Ctel
Ctel_CapteP111354	Ctel_CapteP20749	+	+	-2035	H4	H2A	Ctel_CapteP111354,Ctel_CapteP20749	H2A,H4	ht	H2A,H4 ht	Ctel
Ctel_CapteP111354	Ctel_CapteP1352	-	-	-1997	H2B	H2A	Ctel_CapteP111354,Ctel_CapteP1352	H2A,H2B	ht	H2A,H2B ht	Ctel
Ctel_CapteP128452	Ctel_CapteP219998	-	-	1006	H4	H2A	Ctel_CapteP128452,Ctel_CapteP219998	H2A,H4	ht	H2A,H4 ht	Ctel
Ctel_CapteP128452	Ctel_CapteP20749	-	-	1002	H4	H2A	Ctel_CapteP128452,Ctel_CapteP20749	H2A,H4	ht	H2A,H4 ht	Ctel
Ctel_CapteP1352	Ctel_CapteP203037	+	+	-1758	H2A	H2B	Ctel_CapteP1352,Ctel_CapteP203037	H2A,H2B	ht	H2A,H2B ht	Ctel
Ctel_CapteP1352	Ctel_CapteP198869	+	-	1806	H4	H2B	Ctel_CapteP1352,Ctel_CapteP198869	H2B,H4	tt	H2B,H4 tt	Ctel
Ctel_CapteP1352	Ctel_CapteP137819	-	-	1692	H2A	H2B	Ctel_CapteP1352,Ctel_CapteP137819	H2A,H2B	ht	H2A,H2B ht	Ctel
Ctel_CapteP1352	Ctel_CapteP20749	+	-	1732	H2B	H2B	Ctel_CapteP1352,Ctel_CapteP20749	H2B,H2B	tt	H2B,H2B tt	Ctel
Ctel_CapteP137819	Ctel_CapteP198869	-	+	-1276	H2A	H2A	Ctel_CapteP137819,Ctel_CapteP198869	H2A,H2A	tt	H2A,H2A tt	Ctel
Ctel_CapteP137819	Ctel_CapteP20749	+	-	-269	H2B	H2A	Ctel_CapteP137819,Ctel_CapteP20749	H2A,H2B	hh	H2A,H2B hh	Ctel
Ctel_CapteP203037	Ctel_CapteP20749	-	-	986	H4	H2A	Ctel_CapteP203037,Ctel_CapteP20749	H2A,H4	ht	H2A,H4 ht	Ctel
Ctel_CapteP213180	Ctel_CapteP98994	-	+	-964	H4	H2B	Ctel_CapteP213180,Ctel_CapteP98994	H2B,H4	tt	H2B,H4 tt	Ctel
Cvar_XP_005843094.1	Cvar_XP_005843095.1	+	+	-1008	H3	H2A	Cvar_XP_005843094.1,Cvar_XP_005843095.1	H2A,H3	ht	H2A,H3 ht	Cvar
Cvar_XP_005843094.1	Cvar_XP_005843099.1	-	-	1099	H3	H2A	Cvar_XP_005843094.1,Cvar_XP_005843099.1	H2A,H3	ht	H2A,H3 ht	Cvar
Cvar_XP_005843094.1	Cvar_XP_005843124.1	-	+	272	H2B	H2A	Cvar_XP_005843094.1,Cvar_XP_005843124.1	H2A,H2B	hh	H2A,H2B hh	Cvar
Cvar_XP_005843094.1	Cvar_XP_005843643.1	+	-	-274	H2B	H2A	Cvar_XP_005843094.1,Cvar_XP_005843643.1	H2A,H2B	hh	H2A,H2B hh	Cvar
Cvar_XP_005843099.1	Cvar_XP_005843696.1	-	+	293	H4	H3	Cvar_XP_005843099.1,Cvar_XP_005843696.1	H3,H4	hh	H3,H4 hh	Cvar
Cvar_XP_005843099.1	Cvar_XP_005847450.1	-	+	351	H4	H3	Cvar_XP_005843099.1,Cvar_XP_005847450.1	H3,H4	hh	H3,H4 hh	Cvar
Cvar_XP_005843099.1	Cvar_XP_005843124.1	-	+	244	H2B	H3	Cvar_XP_005843099.1,Cvar_XP_005843124.1	H2B,H3	hh	H2B,H3 hh	Cvar
Cvar_XP_005843124.1	Cvar_XP_005843638.1	+	-	-621	H2A	H2B	Cvar_XP_005843124.1,Cvar_XP_005843638.1	H2A,H2B	hh	H2A,H2B hh	Cvar
Cvar_XP_005843638.1	Cvar_XP_005843706.1	-	+	275	H2B	H2A	Cvar_XP_005843638.1,Cvar_XP_005843706.1	H2A,H2B	hh	H2A,H2B hh	Cvar
Cvar_XP_005843638.1	Cvar_XP_005843696.1	-	+	-634	H4	H2A	Cvar_XP_005843638.1,Cvar_XP_005843696.1	H2A,H4	tt	H2A,H4 tt	Cvar
Cvar_XP_005851845.1	Cvar_XP_005852170.1	-	+	192	H2A	H2B	Cvar_XP_005851845.1,Cvar_XP_005852170.1	H2A,H2B	hh	H2A,H2B hh	Cvar
Ddis_EAL72769	Ddis_EAL72896	-	-	509	H3	H3	Ddis_EAL72769,Ddis_EAL72896	H3,H3	ht	H3,H3 ht	Ddis
Dmel_FBpp0082421	Dmel_FBpp0085250	+	-	-187	H3	H4	Dmel_FBpp0082421,Dmel_FBpp0085250	H3,H4	hh	H3,H4 hh	Dmel
Dmel_FBpp0082421	Dmel_FBpp0085249	+	-	367	H2A	H4	Dmel_FBpp0082421,Dmel_FBpp0085249	H2A,H4	tt	H2A,H4 tt	Dmel
Dmel_FBpp0082421	Dmel_FBpp0085281	-	-	826	H2B	H4	Dmel_FBpp0082421,Dmel_FBpp0085281	H2B,H4	ht	H2B,H4 ht	Dmel
Dmel_FBpp0082421	Dmel_FBpp0091099	+	-	410	H2A	H4	Dmel_FBpp0082421,Dmel_FBpp0091099	H2A,H4	tt	H2A,H4 tt	Dmel
Dmel_FBpp0085249	Dmel_FBpp0091114	-	+	-365	H4	H2A	Dmel_FBpp0085249,Dmel_FBpp0091114	H2A,H4	tt	H2A,H4 tt	Dmel
Dmel_FBpp0085249	Dmel_FBpp0085250	+	+	-2434	H3	H2A	Dmel_FBpp0085249,Dmel_FBpp0085250	H2A,H3	ht	H2A,H3 ht	Dmel
Dmel_FBpp0085249	Dmel_FBpp0085281	-	+	130	H2B	H2A	Dmel_FBpp0085249,Dmel_FBpp0085281	H2A,H2B	hh	H2A,H2B hh	Dmel
Dmel_FBpp0085250	Dmel_FBpp0091114	-	+	185	H4	H3	Dmel_FBpp0085250,Dmel_FBpp0091114	H3,H4	hh	H3,H4 hh	Dmel
Dmel_FBpp0085281	Dmel_FBpp0091099	+	-	-130	H2A	H2B	Dmel_FBpp0085281,Dmel_FBpp0091099	H2A,H2B	hh	H2A,H2B hh	Dmel
Dpul_EFX62752	Dpul_EFX62753	+	-	-327	H3	H4	Dpul_EFX62752,Dpul_EFX62753	H3,H4	hh	H3,H4 hh	Dpul
Dpul_EFX62752	Dpul_EFX62825	+	+	-1426	H2A	H4	Dpul_EFX62752,Dpul_EFX62825	H2A,H4	ht	H2A,H4 ht	Dpul
Dpul_EFX62752	Dpul_EFX86889	+	-	884	H2B	H4	Dpul_EFX62752,Dpul_EFX86889	H2B,H4	tt	H2B,H4 tt	Dpul
Dpul_EFX62752	Dpul_EFX86829	+	-	-151	H3	H4	Dpul_EFX62752,Dpul_EFX86829	H3,H4	hh	H3,H4 hh	Dpul
Dpul_EFX62752	Dpul_EFX87063	+	-	712	H2B	H4	Dpul_EFX62752,Dpul_EFX87063	H2B,H4	tt	H2B,H4 tt	Dpul
Dpul_EFX62825	Dpul_EFX86889	+	-	-336	H2B	H2A	Dpul_EFX62825,Dpul_EFX86889	H2A,H2B	hh	H2A,H2B hh	Dpul
Dpul_EFX62825	Dpul_EFX87063	+	-	-343	H2B	H2A	Dpul_EFX62825,Dpul_EFX87063	H2A,H2B	hh	H2A,H2B hh	Dpul
Dpul_EFX72335	Dpul_EFX72413	-	+	909	macroH2A		Dpul_EFX72335,Dpul_EFX72413	macroH2A	hh	macroH2A hh	Dpul
Dpul_EFX78453	Dpul_EFX78517	-	+	710	H3	H4	Dpul_EFX78453,Dpul_EFX78517	H3,H4	hh	H3,H4 hh	Dpul
Dpul_EFX78453	Dpul_EFX78516	-	+	-929	H2B	H4	Dpul_EFX78453,Dpul_EFX78516	H2B,H4	tt	H2B,H4 tt	Dpul
Drer_ENSDARP00000047268.5	Drer_ENSDARP00000047268.5	-	-	-2359	H3	H3	Drer_ENSDARP00000047268.5,Drer_ENSDARP00000047268.5	H3,H3	ht	H3,H3 ht	Drer
Drer_ENSDARP00000055912.4	Drer_ENSDARP00000090794.3	+	-	-215	H2A	H2B	Drer_ENSDARP00000055912.4,Drer_ENSDARP00000090794.3	H2A,H2B	hh	H2A,H2B hh	Drer
Drer_ENSDARP00000067893.2	Drer_ENSDARP00000107702.1	+	+	2554	H2B	H2A	Drer_ENSDARP00000067893.2,Drer_ENSDARP00000107702.1	H2A,H2B	ht	H2A,H2B ht	Drer
Drer_ENSDARP00000067895.1	Drer_ENSDARP00000077832.3	-	-	2806	H4	H2A	Drer_ENSDARP00000067895.1,Drer_ENSDARP00000077832.3	H2A,H4	ht	H2A,H4 ht	Drer
Drer_ENSDARP00000067895.1	Drer_ENSDARP00000102775.2	-	-	-1243	H2B	H2A	Drer_ENSDARP00000067895.1,Drer_ENSDARP00000102775.2	H2A,H2B	ht	H2A,H2B ht	Drer
Drer_ENSDARP00000067895.1	Drer_ENSDARP00000103937.2	+	+	910	H2B	H2A	Drer_ENSDARP00000067895.1,Drer_ENSDARP00000103937.2	H2A,H2B	ht	H2A,H2B ht	Drer
Drer_ENSDARP00000067895.1	Drer_ENSDARP00000067896.1	+	+	-619	H3	H2A	Drer_ENSDARP00000067895.1,Drer_ENSDARP00000067896.1	H2A,H3	ht	H2A,H3 ht	Drer
Drer_ENSDARP00000067895.1	Drer_ENSDARP00000129663.1	+	-	-4474	H2B	H2A	Drer_ENSDARP00000067895.1,Drer_ENSDARP00000129663.1	H2A,H2B	hh	H2A,H2B hh	Drer
Drer_ENSDARP00000067896.1	Drer_ENSDARP00000093780.2	-	-	-473	H2A	H3	Drer_ENSDARP00000067896.1,Drer_ENSDARP00000093780.2	H2A,H3	ht	H2A,H3 ht	Drer
Drer_ENSDARP00000067896.1	Drer_ENSDARP00000102775.2	-	-	602	H2B	H3	Drer_ENSDARP00000067896.1,Drer_ENSDARP00000102775.2	H2B,H3	ht	H2B,H3 ht	Drer
Drer_ENSDARP00000067896.1	Drer_ENSDARP00000126726.1	-	+	-11267	H2B	H3	Drer_ENSDARP00000067896.1,Drer_ENSDARP00000126726.1	H2B,H3	tt	H2B,H3 tt	Drer
Drer_ENSDARP00000067896.1	Drer_ENSDARP00000104630.1	-	-	-1212	H2A	H3	Drer_ENSDARP00000067896.1,Drer_ENSDARP00000104630.1	H2A,H3	ht	H2A,H3 ht	Drer
Drer_ENSDARP00000067896.1	Drer_ENSDARP00000077832.3	-	-	1473	H4	H3	Drer_ENSDARP00000067896.1,Drer_ENSDARP00000077832.3	H3,H4	ht	H3,H4 ht	Drer
Drer_ENSDARP00000067948.4	Drer_ENSDARP00000077832.3	-	-	-698	H4	H2B	Drer_ENSDARP00000067948.4,Drer_ENSDARP00000077832.3	H2B,H4	ht	H2B,H4 ht	Drer
Drer_ENSDARP00000077832.3	Drer_ENSDARP00000102775.2	-	-	685	H2B	H4	Drer_ENSDARP00000077832.3,Drer_ENSDARP00000102775.2	H2B,H4	ht	H2B,H4 ht	Drer
Drer_ENSDARP00000077832.3	Drer_ENSDARP00000126712.1	+	+	-843	H2B	H4	Drer_ENSDARP00000077832.3,Drer_ENSDARP00000126712.1	H2B,H4	ht	H2B,H4 ht	Drer
Drer_ENSDARP00000077832.3	Drer_ENSDARP00000107702.1	-	-	1138	H2B	H4	Drer_ENSDARP00000077832.3,Drer_ENSDARP00000107702.1	H2B,H4	ht	H2B,H4 ht	Drer
Drer_ENSDARP00000077832.3	Drer_ENSDARP00000093780.2	+	-	-773	H2A	H4	Drer_ENSDARP00000077832.3,Drer_ENSDARP00000093780.2	H2A,H4	hh	H2A,H4 hh	Drer
Drer_ENSDARP00000077832.3	Drer_ENSDARP00000084277.3	-	-	-1720	H3	H4	Drer_ENSDARP00000077832.3,Drer_ENSDARP00000084277.3	H3,H4	ht	H3,H4 ht	Drer
Drer_ENSDARP00000077832.3	Drer_ENSDARP00000129570.1	+	+	2001	H2B	H4	Drer_ENSDARP00000077832.3,Drer_ENSDARP00000129570.1	H2B,H4	ht	H2B,H4 ht	Drer
Drer_ENSDARP00000077832.3	Drer_ENSDARP00000128277.1	-	-	1468	H2B	H4	Drer_ENSDARP00000077832.3,Drer_ENSDARP00000128277.1	H2B,H4	ht	H2B,H4 ht	Drer
Drer_ENSDARP00000077832.3	Drer_ENSDARP00000126726.1	+	+	-792	H2B	H4	Drer_ENSDARP00000077832.3,Drer_ENSDARP00000126726.1	H2B,H4	ht	H2B,H4 ht	Drer
Drer_ENSDARP00000077832.3	Drer_ENSDARP00000090632.3	-	-	-2617	H2A	H4	Drer_ENSDARP00000077832.3,Drer_ENSDARP00000090632.3	H2A,H4	ht	H2A,H4 ht	Drer
Drer_ENSDARP00000077832.3	Drer_ENSDARP00000101525.2	-	-	554	H2B	H4	Drer_ENSDARP00000077832.3,Drer_ENSDARP00000101525.2	H2B,H4	ht	H2B,H4 ht	Drer
Drer_ENSDARP00000077832.3	Drer_ENSDARP00000099813.2	-	-	814	H2B	H4	Drer_ENSDARP00000077832.3,Drer_ENSDARP00000099813.2	H2B,H4	ht	H2B,H4 ht	Drer
Drer_ENSDARP00000077832.3	Drer_ENSDARP00000104630.1	+	+	-6204	H2A	H4	Drer_ENSDARP00000077832.3,Drer_ENSDARP00000104630.1	H2A,H4	ht	H2A,H4 ht	Drer
Drer_ENSDARP00000084277.3	Drer_ENSDARP00000102775.2	+	+	-588	H2B	H3	Drer_ENSDARP00000084277.3,Drer_ENSDARP00000102775.2	H2B,H3	ht	H2B,H3 ht	Drer
Drer_ENSDARP00000084277.3	Drer_ENSDARP00000104630.1	-	-	-665	H2A	H3	Drer_ENSDARP00000084277.3,Drer_ENSDARP00000104630.1	H2A,H3	ht	H2A,H3 ht	Drer
Drer_ENSDARP00000084277.3	Drer_ENSDARP00000104399.2	-	-	-909	H2AZ	H3	Drer_ENSDARP00000084277.3,Drer_ENSDARP00000104399.2	H2AZ,H3	ht	H2AZ,H3 ht	Drer
Drer_ENSDARP00000084277.3	Drer_ENSDARP00000093780.2	+	+	604	H2A	H3	Drer_ENSDARP00000084277.3,Drer_ENSDARP00000093780.2	H2A,H3	ht	H2A,H3 ht	Drer
Drer_ENSDARP00000084277.3	Drer_ENSDARP00000099813.2	-	+	-874	H2B	H3	Drer_ENSDARP00000084277.3,Drer_ENSDARP00000099813.2	H2B,H3	tt	H2B,H3 tt	Drer
Drer_ENSDARP00000084277.3	Drer_ENSDARP00000090632.3	-	-	-774	H2A	H3	Drer_ENSDARP00000084277.3,Drer_ENSDARP00000090632.3	H2A,H3	ht	H2A,H3 ht	Drer
Drer_ENSDARP00000084277.3	Drer_ENSDARP00000129570.1	+	+	-2092	H2B	H3	Drer_ENSDARP00000084277.3,Drer_ENSDARP00000129570.1	H2B,H3	ht	H2B,H3 ht	Drer
Drer_ENSDARP00000084277.3	Drer_ENSDARP00000142481.1	-	-	6003	H4	H3	Drer_ENSDARP00000084277.3,Drer_ENSDARP00000142481.1	H3,H4	ht	H3,H4 ht	Drer
Drer_ENSDARP00000090632.3	Drer_ENSDARP00000107702.1	-	-	-1398	H2B	H2A	Drer_ENSDARP00000090632.3,Drer_ENSDARP00000107702.1	H2A,H2B	ht	H2A,H2B ht	Drer
Drer_ENSDARP00000090632.3	Drer_ENSDARP00000102775.2	-	-	-1683	H2B	H2A	Drer_ENSDARP00000090632.3,Drer_ENSDARP00000102775.2	H2A,H2B	ht	H2A,H2B ht	Drer
Drer_ENSDARP00000093780.2	Drer_ENSDARP00000128277.1	-	-	-927	H2B	H2A	Drer_ENSDARP00000093780.2,Drer_ENSDARP00000128277.1	H2A,H2B	ht	H2A,H2B ht	Drer
Drer_ENSDARP00000093780.2	Drer_ENSDARP00000129663.1	+	+	941	H2B	H2A	Drer_ENSDARP00000093780.2,Drer_ENSDARP00000129663.1	H2A,H2B	ht	H2A,H2B ht	Drer
Drer_ENSDARP00000093780.2	Drer_ENSDARP00000101525.2	+	-	-1108	H2B	H2A	Drer_ENSDARP00000093780.2,Drer_ENSDARP00000101525.2	H2A,H2B	hh	H2A,H2B hh	Drer
Drer_ENSDARP00000093780.2	Drer_ENSDARP00000126726.1	+	+	902	H2B	H2A	Drer_ENSDARP00000093780.2,Drer_ENSDARP00000126726.1	H2A,H2B	ht	H2A,H2B ht	Drer
Drer_ENSDARP00000104630.1	Drer_ENSDARP00000142201.1	+	+	-623	H3	H2A	Drer_ENSDARP00000104630.1,Drer_ENSDARP00000142201.1	H2A,H3	ht	H2A,H3 ht	Drer
Drer_ENSDARP00000142201.1	Drer_ENSDARP00000142232.1	+	+	-466	H2B	H3	Drer_ENSDARP00000142201.1,Drer_ENSDARP00000142232.1	H2B,H3	ht	H2B,H3 ht	Drer
Ehux_EOD03932	Ehux_EOD22945	-	+	1705	H3	H4	Ehux_EOD03932,Ehux_EOD22945	H3,H4	hh	H3,H4 hh	Ehux
Ehux_EOD03932	Ehux_EOD22956	-	+	-9345	H2A	H4	Ehux_EOD03932,Ehux_EOD22956	H2A,H4	tt	H2A,H4 tt	Ehux
Ehux_EOD21027	Ehux_EOD21028	-	-	-12786	H4	H3	Ehux_EOD21027,Ehux_EOD21028	H3,H4	ht	H3,H4 ht	Ehux
Emue_0001g2522a	Emue_0001g2523a	+	-	-111	H2A	H2B	Emue_0001g2522a,Emue_0001g2523a	H2A,H2B	hh	H2A,H2B hh	Emue
Emue_0007g126a	Emue_0007g127a	+	-	-151	H2B	H2AZ	Emue_0007g126a,Emue_0007g127a	H2AZ,H2B	hh	H2AZ,H2B hh	Emue
Emue_0007g126a	Emue_0007g190a	-	+	-9204	H2B	H2AZ	Emue_0007g126a,Emue_0007g190a	H2AZ,H2B	tt	H2AZ,H2B tt	Emue
Emue_0007g126a	Emue_0007g192a	-	-	10471	H2A	H2AZ	Emue_0007g126a,Emue_0007g192a	H2A,H2AZ	ht	H2A,H2AZ ht	Emue
Emue_0007g126a	Emue_0007g208a	-	+	151	H2B	H2AZ	Emue_0007g126a,Emue_0007g208a	H2AZ,H2B	hh	H2AZ,H2B hh	Emue
Emue_0007g127a	Emue_0014g878a	-	+	101	H2A	H2B	Emue_0007g127a,Emue_0014g878a	H2A,H2B	hh	H2A,H2B hh	Emue
Emue_0007g127a	Emue_0007g151a	-	+	151	H2AZ	H2B	Emue_0007g127a,Emue_0007g151a	H2AZ,H2B	hh	H2AZ,H2B hh	Emue
Emue_0007g127a	Emue_0014g552a	+	-	-141	H2A	H2B	Emue_0007g127a,Emue_0014g552a	H2A,H2B	hh	H2A,H2B hh	Emue
Emue_0007g190a	Emue_0007g191a	+	-	-351	H2A	H2B	Emue_0007g190a,Emue_0007g191a	H2A,H2B	hh	H2A,H2B hh	Emue
Emue_0007g191a	Emue_0007g192a	-	+	-1412	H2A	H2A	Emue_0007g191a,Emue_0007g192a	H2A,H2A	tt	H2A,H2A tt	Emue
Emue_0007g207a	Emue_0007g208a	-	+	-3651	H2B	H2A	Emue_0007g207a,Emue_0007g208a	H2A,H2B	tt	H2A,H2B tt	Emue
Emue_0007g209a	Emue_0007g216a	-	+	121	H2B	H2A	Emue_0007g209a,Emue_0007g216a	H2A,H2B	hh	H2A,H2B hh	Emue
Emue_0007g209a	Emue_0007g228a	+	-	-121	H2B	H2A	Emue_0007g209a,Emue_0007g228a	H2A,H2B	hh	H2A,H2B hh	Emue
Emue_0008g1238a	Emue_0008g1239a	+	-	-191	H2B	H2A	Emue_0008g1238a,Emue_0008g1239a	H2A,H2B	hh	H2A,H2B hh	Emue
Emue_0008g1239a	Emue_0008g1254a	-	+	191	H2AZ	H2B	Emue_0008g1239a,Emue_0008g1254a	H2AZ,H2B	hh	H2AZ,H2B hh	Emue
Emue_0012g533a	Emue_0012g533a	+	+	1781	H3	H3	Emue_0012g533a,Emue_0012g533a	H3,H3	ht	H3,H3 ht	Emue
Emue_0014g878a	Emue_0014g878a	+	-	425	H2A	H2A	Emue_0014g878a,Emue_0014g878a	H2A,H2A	tt	H2A,H2A tt	Emue
Emue_0018g273a	Emue_0018g273a	+	-	-511	H4	H4	Emue_0018g273a,Emue_0018g273a	H4,H4	hh	H4,H4 hh	Emue
Emul_CDI96644.1	Emul_CDS35647.1	-	-	1556	H2B	H4	Emul_CDI96644.1,Emul_CDS35647.1	H2B,H4	ht	H2B,H4 ht	Emul
Emul_CDI96644.1	Emul_CDI96644.1	+	-	-1643	H4	H4	Emul_CDI96644.1,Emul_CDI96644.1	H4,H4	hh	H4,H4 hh	Emul
Emul_CDI96644.1	Emul_CDS36059.2	-	+	-1455	H2A	H4	Emul_CDI96644.1,Emul_CDS36059.2	H2A,H4	tt	H2A,H4 tt	Emul
Emul_CDS35647.1	Emul_CDS36059.2	-	+	-199	H2A	H2B	Emul_CDS35647.1,Emul_CDS36059.2	H2A,H2B	tt	H2A,H2B tt	Emul
Emul_CDS36059.2	Emul_CDS36284.1	+	-	-958	H2B	H2A	Emul_CDS36059.2,Emul_CDS36284.1	H2A,H2B	hh	H2A,H2B hh	Emul
Emul_CDS36059.2	Emul_CDS36085.1	+	-	-958	H2B	H2A	Emul_CDS36059.2,Emul_CDS36085.1	H2A,H2B	hh	H2A,H2B hh	Emul
Emul_CDS36059.2	Emul_CDS36059.2	-	-	461	H2A	H2A	Emul_CDS36059.2,Emul_CDS36059.2	H2A,H2A	ht	H2A,H2A ht	Emul
Emul_CDS37479.1	Emul_CDS37480.1	+	+	-1831	H2B	H2A	Emul_CDS37479.1,Emul_CDS37480.1	H2A,H2B	ht	H2A,H2B ht	Emul
Emul_CUT98447.1	Emul_CUT98447.1	-	-	-74	H2A	H2A	Emul_CUT98447.1,Emul_CUT98447.1	H2A,H2A	ht	H2A,H2A ht	Emul
Emul_CUT98469.1	Emul_CUT98469.1	-	-	-39	H2A	H2A	Emul_CUT98469.1,Emul_CUT98469.1	H2A,H2A	ht	H2A,H2A ht	Emul
Emul_CUT99837.1	Emul_CUT99837.1	+	+	-5	H2A	H2A	Emul_CUT99837.1,Emul_CUT99837.1	H2A,H2A	ht	H2A,H2A ht	Emul
Esil_CBJ32072	Esil_CBJ33198	+	-	-271	H4	H2A	Esil_CBJ32072,Esil_CBJ33198	H2A,H4	hh	H2A,H4 hh	Esil
Esil_CBJ32075	Esil_CBN77408	-	+	-8184	H2A	H3	Esil_CBJ32075,Esil_CBN77408	H2A,H3	tt	H2A,H3 tt	Esil
Esil_CBJ32075	Esil_CBJ32076	-	+	-6215	H2B	H3	Esil_CBJ32075,Esil_CBJ32076	H2B,H3	tt	H2B,H3 tt	Esil
Esil_CBJ32076	Esil_CBJ48885	-	+	309	H2A	H2B	Esil_CBJ32076,Esil_CBJ48885	H2A,H2B	hh	H2A,H2B hh	Esil
Esil_CBJ32076	Esil_CBJ33198	-	-	6102	H4	H2B	Esil_CBJ32076,Esil_CBJ33198	H2B,H4	ht	H2B,H4 ht	Esil
Esil_CBJ32076	Esil_CBJ32077	+	-	-363	H2A	H2B	Esil_CBJ32076,Esil_CBJ32077	H2A,H2B	hh	H2A,H2B hh	Esil
Esil_CBJ32076	Esil_CBN77408	-	+	366	H2A	H2B	Esil_CBJ32076,Esil_CBN77408	H2A,H2B	hh	H2A,H2B hh	Esil
Esil_CBJ32076	Esil_CBJ48887	-	+	-11333	H3	H2B	Esil_CBJ32076,Esil_CBJ48887	H2B,H3	tt	H2B,H3 tt	Esil
Esil_CBJ32076	Esil_CBN74671	-	+	358	H2A	H2B	Esil_CBJ32076,Esil_CBN74671	H2A,H2B	hh	H2A,H2B hh	Esil
Esil_CBJ33198	Esil_CBJ33198	-	+	-4856	H4	H4	Esil_CBJ33198,Esil_CBJ33198	H4,H4	tt	H4,H4 tt	Esil
Esil_CBJ33198	Esil_CBN77408	-	+	-7849	H2A	H4	Esil_CBJ33198,Esil_CBN77408	H2A,H4	tt	H2A,H4 tt	Esil
Exapal_XP_020893576.1	Exapal_XP_020893578.1	+	-	-454	H4	H3	Exapal_XP_020893576.1,Exapal_XP_020893578.1	H3,H4	hh	H3,H4 hh	Exapal
Exapal_XP_020893577.1	Exapal_XP_020893578.1	+	-	109	H4	H2A	Exapal_XP_020893577.1,Exapal_XP_020893578.1	H2A,H4	tt	H2A,H4 tt	Exapal
Exapal_XP_020893578.1	Exapal_XP_020894112.1	+	-	-94	H3	H4	Exapal_XP_020893578.1,Exapal_XP_020894112.1	H3,H4	hh	H3,H4 hh	Exapal
Exapal_XP_020893578.1	Exapal_XP_020896800.1	-	-	1157	H2B	H4	Exapal_XP_020893578.1,Exapal_XP_020896800.1	H2B,H4	ht	H2B,H4 ht	Exapal
Exapal_XP_020893578.1	Exapal_XP_020894114.1	+	-	157	H2B	H4	Exapal_XP_020893578.1,Exapal_XP_020894114.1	H2B,H4	tt	H2B,H4 tt	Exapal
Exapal_XP_020893578.1	Exapal_XP_020896799.1	+	-	433	H2A	H4	Exapal_XP_020893578.1,Exapal_XP_020896799.1	H2A,H4	tt	H2A,H4 tt	Exapal
Exapal_XP_020893626.1	Exapal_XP_020894114.1	+	-	-2857	H2B	H3	Exapal_XP_020893626.1,Exapal_XP_020894114.1	H2B,H3	hh	H2B,H3 hh	Exapal
Exapal_XP_020894112.1	Exapal_XP_020899546.1	-	-	-457	H2A	H3	Exapal_XP_020894112.1,Exapal_XP_020899546.1	H2A,H3	ht	H2A,H3 ht	Exapal
Exapal_XP_020894112.1	Exapal_XP_020913118.1	-	-	-1304	H2A	H3	Exapal_XP_020894112.1,Exapal_XP_020913118.1	H2A,H3	ht	H2A,H3 ht	Exapal
Exapal_XP_020894112.1	Exapal_XP_020896799.1	+	+	1032	H2A	H3	Exapal_XP_020894112.1,Exapal_XP_020896799.1	H2A,H3	ht	H2A,H3 ht	Exapal
Exapal_XP_020894112.1	Exapal_XP_020894113.1	+	+	1626	H2AZ	H3	Exapal_XP_020894112.1,Exapal_XP_020894113.1	H2AZ,H3	ht	H2AZ,H3 ht	Exapal
Exapal_XP_020894112.1	Exapal_XP_020899522.1	+	-	-891	H2B	H3	Exapal_XP_020894112.1,Exapal_XP_020899522.1	H2B,H3	hh	H2B,H3 hh	Exapal
Exapal_XP_020894112.1	Exapal_XP_020917666.1	+	+	3317	H2A	H3	Exapal_XP_020894112.1,Exapal_XP_020917666.1	H2A,H3	ht	H2A,H3 ht	Exapal
Exapal_XP_020894113.1	Exapal_XP_020894114.1	+	-	-309	H2B	H2AZ	Exapal_XP_020894113.1,Exapal_XP_020894114.1	H2AZ,H2B	hh	H2AZ,H2B hh	Exapal
Exapal_XP_020896799.1	Exapal_XP_020896799.1	+	+	-967	H2A	H2A	Exapal_XP_020896799.1,Exapal_XP_020896799.1	H2A,H2A	ht	H2A,H2A ht	Exapal
Exapal_XP_020908223.1	Exapal_XP_020908224.1	+	-	-284	H2B	H2A	Exapal_XP_020908223.1,Exapal_XP_020908224.1	H2A,H2B	hh	H2A,H2B hh	Exapal
Exapal_XP_020913618.1	Exapal_XP_020913656.1	+	-	-267	H2A	H2B	Exapal_XP_020913618.1,Exapal_XP_020913656.1	H2A,H2B	hh	H2A,H2B hh	Exapal
