Caulen_g1.t1	Caulen_1_1
Caulen_g5006.t1	Caulen_26_311
Caulen_g5007.t1	Caulen_26_312
Caulen_g5008.t1	Caulen_26_313
Caulen_g5009.t1	Caulen_26_314
Caulen_g5010.t1	Caulen_26_315
Caulen_g5011.t1	Caulen_26_316
Caulen_g5012.t1	Caulen_26_317
Caulen_g5013.t1	Caulen_26_318
Caulen_g5014.t1	Caulen_26_319
Caulen_g5015.t1	Caulen_26_320
Caulen_g5016.t1	Caulen_26_321
Caulen_g5017.t1	Caulen_26_322
Caulen_g5018.t1	Caulen_26_323
Caulen_g5019.t1	Caulen_26_324
Caulen_g5020.t1	Caulen_26_325
Caulen_g5021.t1	Caulen_26_326
Caulen_g9292.t1	Caulen_27_1
Caulen_g9293.t1	Caulen_28_1
Caulen_g9294.t1	Caulen_29_1
Caulen_g9295.t1	Caulen_30_1
Caulen_g9296.t1	Caulen_30_2
Caulen_g9297.t1	Caulen_31_1
Caulen_g5022.t1	Caulen_32_1
Caulen_g5023.t1	Caulen_32_2
Caulen_g5024.t1	Caulen_32_3
Caulen_g5025.t1	Caulen_32_4
Caulen_g5026.t1	Caulen_32_5
Caulen_g5027.t1	Caulen_32_6
Caulen_g5028.t1	Caulen_32_7
Caulen_g5029.t1	Caulen_32_8
Caulen_g5030.t1	Caulen_32_9
Caulen_g5031.t1	Caulen_32_10
Caulen_g5032.t1	Caulen_32_11
Caulen_g5033.t1	Caulen_32_12
Caulen_g5034.t1	Caulen_32_13
Caulen_g5035.t1	Caulen_32_14
Caulen_g5036.t2	Caulen_32_15
Caulen_g5037.t1	Caulen_32_16
Caulen_g5038.t1	Caulen_32_17
Caulen_g5039.t1	Caulen_32_18
Caulen_g5040.t1	Caulen_32_19
Caulen_g5041.t1	Caulen_32_20
Caulen_g5042.t2	Caulen_32_21
Caulen_g5043.t1	Caulen_32_22
Caulen_g5044.t1	Caulen_32_23
Caulen_g5045.t1	Caulen_32_24
Caulen_g5046.t1	Caulen_32_25
Caulen_g5047.t1	Caulen_32_26
Caulen_g5048.t1	Caulen_32_27
Caulen_g5049.t1	Caulen_32_28
Caulen_g5050.t1	Caulen_32_29
Caulen_g5051.t1	Caulen_32_30
Caulen_g5052.t1	Caulen_32_31
Caulen_g5053.t1	Caulen_32_32
Caulen_g5054.t1	Caulen_32_33
Caulen_g5055.t1	Caulen_32_34
Caulen_g5056.t1	Caulen_32_35
Caulen_g5057.t1	Caulen_32_36
Caulen_g5058.t1	Caulen_32_37
Caulen_g5059.t1	Caulen_32_38
Caulen_g5060.t1	Caulen_32_39
Caulen_g5061.t1	Caulen_32_40
Caulen_g5062.t1	Caulen_32_41
Caulen_g5063.t1	Caulen_32_42
Caulen_g5064.t1	Caulen_32_43
Caulen_g5065.t1	Caulen_32_44
Caulen_g5066.t1	Caulen_32_45
Caulen_g5067.t1	Caulen_32_46
Caulen_g5068.t1	Caulen_32_47
Caulen_g5069.t1	Caulen_32_48
Caulen_g5070.t1	Caulen_32_49
Caulen_g5071.t1	Caulen_32_50
Caulen_g5072.t1	Caulen_32_51
Caulen_g5073.t1	Caulen_32_52
Caulen_g5074.t1	Caulen_32_53
Caulen_g5075.t1	Caulen_32_54
Caulen_g5076.t1	Caulen_32_55
Caulen_g5077.t1	Caulen_32_56
Caulen_g5078.t1	Caulen_32_57
Caulen_g5079.t1	Caulen_32_58
Caulen_g5080.t1	Caulen_32_59
Caulen_g5081.t1	Caulen_32_60
Caulen_g5082.t1	Caulen_32_61
Caulen_g5083.t1	Caulen_32_62
Caulen_g5084.t1	Caulen_32_63
Caulen_g5085.t1	Caulen_32_64
Caulen_g5086.t1	Caulen_32_65
Caulen_g5087.t1	Caulen_32_66
Caulen_g5088.t1	Caulen_32_67
Caulen_g5089.t1	Caulen_32_68
Caulen_g5090.t1	Caulen_32_69
Caulen_g5091.t1	Caulen_32_70
Caulen_g5092.t1	Caulen_32_71
Caulen_g5093.t1	Caulen_32_72
Caulen_g5094.t1	Caulen_32_73
Caulen_g5095.t1	Caulen_32_74
Caulen_g5096.t1	Caulen_32_75
Caulen_g5097.t1	Caulen_32_76
Caulen_g5098.t1	Caulen_32_77
Caulen_g5099.t1	Caulen_32_78
Caulen_g5100.t1	Caulen_32_79
Caulen_g5101.t1	Caulen_32_80
Caulen_g5102.t1	Caulen_32_81
Caulen_g5103.t1	Caulen_32_82
Caulen_g5104.t1	Caulen_32_83
Caulen_g5105.t1	Caulen_32_84
Caulen_g5106.t1	Caulen_32_85
Caulen_g5107.t1	Caulen_32_86
Caulen_g5108.t1	Caulen_32_87
Caulen_g5109.t1	Caulen_32_88
Caulen_g5110.t1	Caulen_32_89
Caulen_g5111.t1	Caulen_32_90
Caulen_g5112.t1	Caulen_32_91
Caulen_g5113.t1	Caulen_32_92
Caulen_g5114.t1	Caulen_32_93
Caulen_g5115.t1	Caulen_32_94
Caulen_g5116.t1	Caulen_32_95
Caulen_g5117.t1	Caulen_32_96
Caulen_g5118.t1	Caulen_32_97
Caulen_g5119.t1	Caulen_32_98
Caulen_g5120.t1	Caulen_32_99
Caulen_g5121.t1	Caulen_32_100
Caulen_g5122.t1	Caulen_32_101
Caulen_g5123.t1	Caulen_32_102
Caulen_g5124.t1	Caulen_32_103
Caulen_g5125.t1	Caulen_32_104
Caulen_g5126.t1	Caulen_32_105
Caulen_g5127.t1	Caulen_32_106
Caulen_g5128.t1	Caulen_32_107
Caulen_g5129.t1	Caulen_32_108
Caulen_g5130.t1	Caulen_32_109
Caulen_g5131.t1	Caulen_32_110
Caulen_g5132.t1	Caulen_32_111
Caulen_g5133.t1	Caulen_32_112
Caulen_g5134.t1	Caulen_32_113
Caulen_g5135.t1	Caulen_32_114
Caulen_g5136.t1	Caulen_32_115
Caulen_g5137.t1	Caulen_32_116
Caulen_g5138.t1	Caulen_32_117
Caulen_g5139.t1	Caulen_32_118
Caulen_g5140.t1	Caulen_32_119
Caulen_g5141.t1	Caulen_32_120
Caulen_g5142.t1	Caulen_32_121
Caulen_g5143.t1	Caulen_32_122
Caulen_g5144.t1	Caulen_32_123
Caulen_g5145.t1	Caulen_32_124
Caulen_g5146.t1	Caulen_32_125
Caulen_g5147.t1	Caulen_32_126
Caulen_g5148.t1	Caulen_32_127
Caulen_g5149.t1	Caulen_32_128
Caulen_g5150.t1	Caulen_32_129
Caulen_g5151.t1	Caulen_32_130
Caulen_g5152.t1	Caulen_32_131
Caulen_g5153.t1	Caulen_32_132
Caulen_g5154.t1	Caulen_32_133
Caulen_g5155.t1	Caulen_32_134
Caulen_g5156.t1	Caulen_32_135
Caulen_g5157.t1	Caulen_32_136
Caulen_g5158.t1	Caulen_32_137
Caulen_g5159.t1	Caulen_32_138
Caulen_g5160.t1	Caulen_32_139
Caulen_g5161.t1	Caulen_32_140
Caulen_g5162.t1	Caulen_32_141
Caulen_g5163.t1	Caulen_32_142
Caulen_g5164.t1	Caulen_32_143
Caulen_g5165.t1	Caulen_32_144
Caulen_g5166.t1	Caulen_32_145
Caulen_g5167.t1	Caulen_32_146
Caulen_g5168.t1	Caulen_32_147
Caulen_g5169.t1	Caulen_32_148
Caulen_g5170.t1	Caulen_32_149
Caulen_g5171.t1	Caulen_32_150
Caulen_g5172.t1	Caulen_32_151
Caulen_g5173.t1	Caulen_32_152
Caulen_g5174.t1	Caulen_32_153
Caulen_g5175.t1	Caulen_32_154
Caulen_g5176.t1	Caulen_32_155
Caulen_g5177.t1	Caulen_32_156
Caulen_g5178.t1	Caulen_32_157
Caulen_g5179.t1	Caulen_32_158
Caulen_g5180.t1	Caulen_32_159
Caulen_g5181.t1	Caulen_32_160
Caulen_g5182.t1	Caulen_32_161
Caulen_g5183.t1	Caulen_32_162
Caulen_g5184.t1	Caulen_32_163
Caulen_g5185.t1	Caulen_32_164
Caulen_g5186.t1	Caulen_32_165
Caulen_g5187.t1	Caulen_32_166
Caulen_g5188.t1	Caulen_32_167
Caulen_g5189.t1	Caulen_32_168
Caulen_g5190.t1	Caulen_32_169
Caulen_g5191.t1	Caulen_32_170
Caulen_g5192.t1	Caulen_32_171
Caulen_g5193.t1	Caulen_32_172
Caulen_g5194.t1	Caulen_32_173
Caulen_g5195.t1	Caulen_32_174
Caulen_g5196.t1	Caulen_32_175
Caulen_g5197.t1	Caulen_32_176
Caulen_g5198.t1	Caulen_32_177
Caulen_g5199.t1	Caulen_32_178
Caulen_g5200.t1	Caulen_32_179
Caulen_g5201.t1	Caulen_32_180
Caulen_g5202.t1	Caulen_32_181
Caulen_g5203.t1	Caulen_32_182
Caulen_g5204.t1	Caulen_32_183
Caulen_g5205.t1	Caulen_32_184
Caulen_g5206.t1	Caulen_32_185
Caulen_g5207.t1	Caulen_32_186
Caulen_g5208.t1	Caulen_32_187
Caulen_g5209.t1	Caulen_32_188
Caulen_g5210.t1	Caulen_32_189
Caulen_g5211.t1	Caulen_32_190
Caulen_g5212.t1	Caulen_32_191
Caulen_g5213.t1	Caulen_32_192
Caulen_g5214.t1	Caulen_32_193
Caulen_g5215.t1	Caulen_32_194
Caulen_g5216.t1	Caulen_32_195
Caulen_g5217.t1	Caulen_32_196
Caulen_g5218.t1	Caulen_32_197
Caulen_g5219.t1	Caulen_32_198
Caulen_g5220.t1	Caulen_32_199
Caulen_g5221.t1	Caulen_32_200
Caulen_g5222.t1	Caulen_32_201
Caulen_g5223.t1	Caulen_32_202
Caulen_g5224.t1	Caulen_32_203
Caulen_g5225.t1	Caulen_32_204
Caulen_g5226.t1	Caulen_32_205
Caulen_g5227.t1	Caulen_32_206
Caulen_g5228.t1	Caulen_32_207
Caulen_g5229.t1	Caulen_32_208
Caulen_g5230.t1	Caulen_32_209
Caulen_g5231.t2	Caulen_32_210
Caulen_g5232.t1	Caulen_32_211
Caulen_g5233.t1	Caulen_32_212
Caulen_g5234.t1	Caulen_32_213
Caulen_g5235.t1	Caulen_32_214
Caulen_g5236.t1	Caulen_32_215
Caulen_g5237.t1	Caulen_32_216
Caulen_g5238.t1	Caulen_32_217
Caulen_g5239.t1	Caulen_32_218
Caulen_g5240.t1	Caulen_32_219
Caulen_g5241.t1	Caulen_32_220
Caulen_g5242.t1	Caulen_32_221
Caulen_g5243.t1	Caulen_32_222
Caulen_g5244.t1	Caulen_32_223
Caulen_g5245.t1	Caulen_32_224
Caulen_g5246.t1	Caulen_32_225
Caulen_g5247.t1	Caulen_32_226
Caulen_g5248.t1	Caulen_32_227
Caulen_g5249.t1	Caulen_32_228
Caulen_g5250.t1	Caulen_32_229
Caulen_g5251.t1	Caulen_32_230
Caulen_g5252.t1	Caulen_32_231
Caulen_g5253.t1	Caulen_32_232
Caulen_g5254.t1	Caulen_32_233
Caulen_g5255.t1	Caulen_32_234
Caulen_g5256.t1	Caulen_32_235
Caulen_g5257.t1	Caulen_32_236
Caulen_g5258.t1	Caulen_32_237
Caulen_g5259.t1	Caulen_32_238
Caulen_g5260.t1	Caulen_32_239
Caulen_g5261.t2	Caulen_32_240
Caulen_g5262.t1	Caulen_32_241
Caulen_g5263.t1	Caulen_32_242
Caulen_g5264.t1	Caulen_32_243
Caulen_g5265.t1	Caulen_32_244
Caulen_g5266.t1	Caulen_32_245
Caulen_g5267.t1	Caulen_32_246
Caulen_g5268.t1	Caulen_32_247
Caulen_g5269.t1	Caulen_32_248
Caulen_g5270.t1	Caulen_32_249
Caulen_g5271.t1	Caulen_32_250
Caulen_g5272.t1	Caulen_32_251
Caulen_g5273.t1	Caulen_32_252
Caulen_g5274.t1	Caulen_32_253
Caulen_g5275.t1	Caulen_32_254
Caulen_g5276.t1	Caulen_32_255
Caulen_g5277.t1	Caulen_32_256
Caulen_g5278.t1	Caulen_32_257
Caulen_g5280.t1	Caulen_32_258
Caulen_g5281.t1	Caulen_32_259
Caulen_g5279.t1	Caulen_32_260
Caulen_g5282.t1	Caulen_32_261
Caulen_g5283.t1	Caulen_32_262
Caulen_g5284.t1	Caulen_32_263
Caulen_g5285.t1	Caulen_32_264
Caulen_g5286.t1	Caulen_32_265
Caulen_g5287.t1	Caulen_32_266
Caulen_g5288.t1	Caulen_32_267
Caulen_g5289.t1	Caulen_32_268
Caulen_g5290.t1	Caulen_32_269
Caulen_g5291.t1	Caulen_32_270
Caulen_g5292.t1	Caulen_32_271
Caulen_g5293.t1	Caulen_32_272
Caulen_g5294.t1	Caulen_32_273
Caulen_g5295.t1	Caulen_32_274
Caulen_g5296.t1	Caulen_32_275
Caulen_g5297.t1	Caulen_32_276
Caulen_g5298.t1	Caulen_32_277
Caulen_g5299.t1	Caulen_32_278
Caulen_g5300.t1	Caulen_32_279
Caulen_g5301.t1	Caulen_32_280
Caulen_g5302.t1	Caulen_32_281
Caulen_g5303.t1	Caulen_32_282
Caulen_g5304.t1	Caulen_32_283
Caulen_g5305.t1	Caulen_32_284
Caulen_g5306.t1	Caulen_32_285
Caulen_g5307.t1	Caulen_32_286
Caulen_g5308.t1	Caulen_32_287
Caulen_g5309.t1	Caulen_32_288
Caulen_g5310.t1	Caulen_32_289
Caulen_g5311.t1	Caulen_32_290
Caulen_g5312.t1	Caulen_32_291
Caulen_g5313.t1	Caulen_32_292
Caulen_g5314.t1	Caulen_32_293
Caulen_g5315.t1	Caulen_32_294
Caulen_g5316.t1	Caulen_32_295
Caulen_g5317.t1	Caulen_32_296
Caulen_g5318.t1	Caulen_32_297
Caulen_g5319.t1	Caulen_32_298
Caulen_g5320.t1	Caulen_32_299
Caulen_g5321.t1	Caulen_32_300
Caulen_g5322.t1	Caulen_32_301
Caulen_g5323.t1	Caulen_32_302
Caulen_g5324.t2	Caulen_32_303
Caulen_g5325.t1	Caulen_32_304
Caulen_g5326.t1	Caulen_32_305
Caulen_g5327.t1	Caulen_32_306
Caulen_g5328.t1	Caulen_32_307
Caulen_g5329.t1	Caulen_32_308
Caulen_g5330.t1	Caulen_32_309
Caulen_g5331.t1	Caulen_32_310
Caulen_g5332.t1	Caulen_32_311
Caulen_g5333.t1	Caulen_32_312
Caulen_g5334.t1	Caulen_32_313
Caulen_g5335.t1	Caulen_32_314
Caulen_g5336.t1	Caulen_32_315
Caulen_g5337.t1	Caulen_32_316
Caulen_g9298.t1	Caulen_33_1
Caulen_g9299.t1	Caulen_34_1
Caulen_g9300.t1	Caulen_35_1
Caulen_g5338.t1	Caulen_36_1
Caulen_g5339.t1	Caulen_36_2
Caulen_g5340.t1	Caulen_36_3
Caulen_g5341.t1	Caulen_36_4
Caulen_g5342.t1	Caulen_36_5
Caulen_g5343.t1	Caulen_36_6
Caulen_g5344.t1	Caulen_36_7
Caulen_g5345.t1	Caulen_36_8
Caulen_g5346.t1	Caulen_36_9
Caulen_g5347.t1	Caulen_36_10
Caulen_g5348.t1	Caulen_36_11
Caulen_g5349.t1	Caulen_36_12
Caulen_g5350.t1	Caulen_36_13
Caulen_g5351.t1	Caulen_36_14
Caulen_g5352.t1	Caulen_36_15
Caulen_g5353.t1	Caulen_36_16
Caulen_g5354.t1	Caulen_36_17
Caulen_g5355.t1	Caulen_36_18
Caulen_g5356.t1	Caulen_36_19
Caulen_g5357.t1	Caulen_36_20
Caulen_g5358.t1	Caulen_36_21
Caulen_g5359.t1	Caulen_36_22
Caulen_g5360.t2	Caulen_36_23
Caulen_g5361.t1	Caulen_36_24
Caulen_g5362.t1	Caulen_36_25
Caulen_g5363.t1	Caulen_36_26
Caulen_g5364.t1	Caulen_36_27
Caulen_g5365.t1	Caulen_36_28
Caulen_g5366.t1	Caulen_36_29
Caulen_g5367.t1	Caulen_36_30
Caulen_g5368.t1	Caulen_36_31
Caulen_g5369.t1	Caulen_36_32
Caulen_g5370.t1	Caulen_36_33
Caulen_g5371.t2	Caulen_36_34
Caulen_g5372.t1	Caulen_36_35
Caulen_g5373.t1	Caulen_36_36
Caulen_g5374.t1	Caulen_36_37
Caulen_g5375.t1	Caulen_36_38
Caulen_g5376.t1	Caulen_36_39
Caulen_g5377.t1	Caulen_36_40
Caulen_g5378.t1	Caulen_36_41
Caulen_g5379.t1	Caulen_36_42
Caulen_g5380.t1	Caulen_36_43
Caulen_g5381.t1	Caulen_36_44
Caulen_g5382.t1	Caulen_36_45
Caulen_g5383.t1	Caulen_36_46
Caulen_g5384.t1	Caulen_36_47
Caulen_g5385.t1	Caulen_36_48
Caulen_g5386.t1	Caulen_36_49
Caulen_g5387.t1	Caulen_36_50
Caulen_g5388.t1	Caulen_36_51
Caulen_g5389.t1	Caulen_36_52
Caulen_g5390.t1	Caulen_36_53
Caulen_g5391.t1	Caulen_36_54
Caulen_g5392.t1	Caulen_36_55
Caulen_g5393.t1	Caulen_36_56
Caulen_g5394.t1	Caulen_36_57
Caulen_g5395.t1	Caulen_36_58
Caulen_g5396.t1	Caulen_36_59
Caulen_g5397.t1	Caulen_36_60
Caulen_g5398.t1	Caulen_36_61
Caulen_g5399.t1	Caulen_36_62
Caulen_g5400.t1	Caulen_36_63
Caulen_g5401.t1	Caulen_36_64
Caulen_g5402.t1	Caulen_36_65
Caulen_g5403.t1	Caulen_36_66
Caulen_g5404.t1	Caulen_36_67
Caulen_g5405.t1	Caulen_36_68
Caulen_g5406.t1	Caulen_36_69
Caulen_g5407.t1	Caulen_36_70
Caulen_g5408.t1	Caulen_36_71
Caulen_g5409.t1	Caulen_36_72
Caulen_g5410.t1	Caulen_36_73
Caulen_g5411.t1	Caulen_36_74
Caulen_g5412.t1	Caulen_36_75
Caulen_g5413.t1	Caulen_36_76
Caulen_g5414.t1	Caulen_36_77
Caulen_g5415.t1	Caulen_36_78
Caulen_g5416.t1	Caulen_36_79
Caulen_g5417.t1	Caulen_36_80
Caulen_g5418.t2	Caulen_36_81
Caulen_g5419.t1	Caulen_36_82
Caulen_g5420.t1	Caulen_36_83
Caulen_g5421.t1	Caulen_36_84
Caulen_g5422.t1	Caulen_36_85
Caulen_g5423.t1	Caulen_36_86
Caulen_g5424.t1	Caulen_36_87
Caulen_g5425.t1	Caulen_36_88
Caulen_g5426.t1	Caulen_36_89
Caulen_g5427.t1	Caulen_36_90
Caulen_g5428.t1	Caulen_36_91
Caulen_g5429.t1	Caulen_36_92
Caulen_g5430.t1	Caulen_36_93
Caulen_g5431.t1	Caulen_36_94
Caulen_g5432.t1	Caulen_36_95
Caulen_g5433.t1	Caulen_36_96
Caulen_g5434.t1	Caulen_36_97
Caulen_g5435.t1	Caulen_36_98
Caulen_g5436.t1	Caulen_36_99
Caulen_g5437.t1	Caulen_36_100
Caulen_g5438.t1	Caulen_36_101
Caulen_g5439.t1	Caulen_36_102
Caulen_g5440.t1	Caulen_36_103
Caulen_g5441.t1	Caulen_36_104
Caulen_g5442.t1	Caulen_36_105
Caulen_g5443.t1	Caulen_36_106
Caulen_g5444.t1	Caulen_36_107
Caulen_g5445.t2	Caulen_36_108
Caulen_g5446.t1	Caulen_36_109
Caulen_g5447.t1	Caulen_36_110
Caulen_g5448.t1	Caulen_36_111
Caulen_g5449.t1	Caulen_36_112
Caulen_g5450.t1	Caulen_36_113
Caulen_g5451.t1	Caulen_36_114
Caulen_g5452.t1	Caulen_36_115
Caulen_g5453.t1	Caulen_36_116
Caulen_g5454.t1	Caulen_36_117
Caulen_g5455.t1	Caulen_36_118
Caulen_g5456.t1	Caulen_36_119
Caulen_g5457.t1	Caulen_36_120
Caulen_g5458.t1	Caulen_36_121
Caulen_g5459.t1	Caulen_36_122
Caulen_g5460.t1	Caulen_36_123
Caulen_g5461.t1	Caulen_36_124
Caulen_g5462.t2	Caulen_36_125
Caulen_g5463.t1	Caulen_36_126
Caulen_g5464.t1	Caulen_36_127
Caulen_g5465.t1	Caulen_36_128
Caulen_g5466.t1	Caulen_36_129
Caulen_g5467.t1	Caulen_36_130
Caulen_g5468.t1	Caulen_36_131
Caulen_g5469.t1	Caulen_36_132
Caulen_g5470.t1	Caulen_36_133
Caulen_g5471.t1	Caulen_36_134
Caulen_g5472.t2	Caulen_36_135
Caulen_g5473.t1	Caulen_36_136
Caulen_g5474.t1	Caulen_36_137
Caulen_g5475.t1	Caulen_36_138
Caulen_g5476.t1	Caulen_36_139
Caulen_g5477.t1	Caulen_36_140
Caulen_g5478.t1	Caulen_36_141
Caulen_g5479.t1	Caulen_36_142
Caulen_g5480.t1	Caulen_36_143
Caulen_g5481.t1	Caulen_36_144
Caulen_g5482.t1	Caulen_36_145
Caulen_g5483.t1	Caulen_36_146
Caulen_g5484.t1	Caulen_36_147
Caulen_g5485.t1	Caulen_36_148
Caulen_g5486.t1	Caulen_36_149
Caulen_g5487.t1	Caulen_36_150
Caulen_g5488.t1	Caulen_36_151
Caulen_g5489.t1	Caulen_36_152
Caulen_g5490.t1	Caulen_36_153
Caulen_g5491.t1	Caulen_36_154
Caulen_g5492.t1	Caulen_36_155
Caulen_g5493.t1	Caulen_36_156
Caulen_g5494.t1	Caulen_36_157
Caulen_g5495.t1	Caulen_36_158
Caulen_g5496.t1	Caulen_36_159
Caulen_g5497.t1	Caulen_36_160
Caulen_g5498.t1	Caulen_36_161
Caulen_g5499.t1	Caulen_36_162
Caulen_g5500.t1	Caulen_36_163
Caulen_g5501.t1	Caulen_36_164
Caulen_g5502.t1	Caulen_36_165
Caulen_g5503.t1	Caulen_36_166
Caulen_g5504.t1	Caulen_36_167
Caulen_g5505.t1	Caulen_36_168
Caulen_g5506.t1	Caulen_36_169
Caulen_g5507.t1	Caulen_36_170
Caulen_g5508.t1	Caulen_36_171
Caulen_g5509.t1	Caulen_36_172
Caulen_g5510.t1	Caulen_36_173
Caulen_g5511.t1	Caulen_36_174
Caulen_g5512.t1	Caulen_36_175
Caulen_g5513.t1	Caulen_36_176
Caulen_g5514.t1	Caulen_36_177
Caulen_g5515.t1	Caulen_36_178
Caulen_g5516.t1	Caulen_36_179
Caulen_g5517.t1	Caulen_36_180
Caulen_g5518.t1	Caulen_36_181
Caulen_g5519.t1	Caulen_36_182
Caulen_g5520.t1	Caulen_36_183
Caulen_g5521.t1	Caulen_36_184
Caulen_g5522.t1	Caulen_36_185
Caulen_g5523.t1	Caulen_36_186
Caulen_g5524.t1	Caulen_36_187
Caulen_g5525.t1	Caulen_36_188
Caulen_g5526.t1	Caulen_36_189
Caulen_g5527.t1	Caulen_36_190
Caulen_g5528.t1	Caulen_36_191
Caulen_g5529.t1	Caulen_36_192
Caulen_g5530.t1	Caulen_36_193
Caulen_g5531.t1	Caulen_36_194
Caulen_g5532.t1	Caulen_36_195
Caulen_g5533.t1	Caulen_36_196
Caulen_g5534.t1	Caulen_36_197
Caulen_g5535.t1	Caulen_36_198
Caulen_g5536.t1	Caulen_36_199
Caulen_g5537.t1	Caulen_36_200
Caulen_g5538.t1	Caulen_36_201
Caulen_g5539.t1	Caulen_36_202
Caulen_g5540.t1	Caulen_36_203
Caulen_g5541.t1	Caulen_36_204
Caulen_g5542.t1	Caulen_36_205
Caulen_g5543.t1	Caulen_36_206
Caulen_g5544.t1	Caulen_36_207
Caulen_g5545.t1	Caulen_36_208
Caulen_g5546.t1	Caulen_36_209
Caulen_g5547.t1	Caulen_36_210
Caulen_g5548.t1	Caulen_36_211
Caulen_g5549.t1	Caulen_36_212
Caulen_g5550.t1	Caulen_36_213
Caulen_g5551.t1	Caulen_36_214
Caulen_g5552.t1	Caulen_36_215
Caulen_g5553.t1	Caulen_36_216
Caulen_g5554.t1	Caulen_36_217
Caulen_g5555.t1	Caulen_36_218
Caulen_g5556.t1	Caulen_36_219
Caulen_g5557.t1	Caulen_36_220
Caulen_g5558.t1	Caulen_36_221
Caulen_g5559.t1	Caulen_36_222
Caulen_g5560.t1	Caulen_36_223
Caulen_g5561.t1	Caulen_36_224
Caulen_g5562.t1	Caulen_36_225
Caulen_g5563.t1	Caulen_36_226
Caulen_g5564.t1	Caulen_36_227
Caulen_g5565.t1	Caulen_36_228
Caulen_g5566.t1	Caulen_36_229
Caulen_g5567.t1	Caulen_36_230
Caulen_g5568.t1	Caulen_36_231
Caulen_g5569.t1	Caulen_36_232
Caulen_g5570.t1	Caulen_36_233
Caulen_g5571.t1	Caulen_36_234
Caulen_g5572.t1	Caulen_36_235
Caulen_g5573.t1	Caulen_36_236
Caulen_g5574.t2	Caulen_36_237
Caulen_g5575.t1	Caulen_36_238
Caulen_g5576.t2	Caulen_36_239
Caulen_g5577.t1	Caulen_36_240
Caulen_g5578.t1	Caulen_36_241
Caulen_g5579.t1	Caulen_36_242
Caulen_g5580.t1	Caulen_36_243
Caulen_g5581.t1	Caulen_36_244
Caulen_g5582.t1	Caulen_36_245
Caulen_g5583.t1	Caulen_36_246
Caulen_g5584.t1	Caulen_36_247
Caulen_g5585.t1	Caulen_36_248
Caulen_g5586.t1	Caulen_36_249
Caulen_g5587.t1	Caulen_36_250
Caulen_g5588.t1	Caulen_36_251
Caulen_g5589.t1	Caulen_36_252
Caulen_g5590.t1	Caulen_36_253
Caulen_g5591.t1	Caulen_36_254
Caulen_g5592.t1	Caulen_36_255
Caulen_g5593.t1	Caulen_36_256
Caulen_g5594.t1	Caulen_36_257
Caulen_g5595.t1	Caulen_36_258
Caulen_g5596.t1	Caulen_36_259
Caulen_g5597.t1	Caulen_36_260
Caulen_g5598.t1	Caulen_36_261
Caulen_g5599.t1	Caulen_36_262
Caulen_g5600.t1	Caulen_36_263
Caulen_g5601.t1	Caulen_36_264
Caulen_g5602.t1	Caulen_36_265
Caulen_g5603.t1	Caulen_36_266
Caulen_g5604.t1	Caulen_36_267
Caulen_g5605.t1	Caulen_36_268
Caulen_g5606.t1	Caulen_36_269
Caulen_g5607.t1	Caulen_36_270
Caulen_g5608.t1	Caulen_36_271
Caulen_g5609.t1	Caulen_36_272
Caulen_g5610.t1	Caulen_36_273
Caulen_g5611.t1	Caulen_36_274
Caulen_g5612.t1	Caulen_36_275
Caulen_g5613.t1	Caulen_36_276
Caulen_g5614.t1	Caulen_36_277
Caulen_g5615.t1	Caulen_36_278
Caulen_g5616.t1	Caulen_36_279
Caulen_g5617.t1	Caulen_36_280
Caulen_g5618.t1	Caulen_36_281
Caulen_g5619.t1	Caulen_36_282
Caulen_g5620.t1	Caulen_36_283
Caulen_g5621.t1	Caulen_36_284
Caulen_g5622.t1	Caulen_36_285
Caulen_g5623.t1	Caulen_36_286
Caulen_g5624.t1	Caulen_36_287
Caulen_g5625.t1	Caulen_36_288
Caulen_g5626.t1	Caulen_36_289
Caulen_g5627.t1	Caulen_36_290
Caulen_g5628.t1	Caulen_36_291
Caulen_g5629.t1	Caulen_36_292
Caulen_g5630.t1	Caulen_36_293
Caulen_g5631.t1	Caulen_36_294
Caulen_g5632.t1	Caulen_36_295
Caulen_g5633.t1	Caulen_36_296
Caulen_g5634.t1	Caulen_36_297
Caulen_g5635.t1	Caulen_36_298
Caulen_g5636.t1	Caulen_36_299
Caulen_g5637.t1	Caulen_36_300
Caulen_g5638.t1	Caulen_36_301
Caulen_g5639.t2	Caulen_36_302
Caulen_g5640.t1	Caulen_36_303
Caulen_g5641.t1	Caulen_36_304
Caulen_g5642.t1	Caulen_36_305
Caulen_g5643.t1	Caulen_36_306
Caulen_g5644.t1	Caulen_36_307
Caulen_g5645.t1	Caulen_36_308
Caulen_g5646.t2	Caulen_36_309
Caulen_g5647.t1	Caulen_36_310
Caulen_g5648.t1	Caulen_36_311
Caulen_g5649.t1	Caulen_36_312
Caulen_g5650.t1	Caulen_36_313
Caulen_g5651.t1	Caulen_36_314
Caulen_g5652.t1	Caulen_36_315
Caulen_g5653.t1	Caulen_36_316
Caulen_g5654.t1	Caulen_36_317
Caulen_g5655.t1	Caulen_36_318
Caulen_g9301.t1	Caulen_37_1
Caulen_g9302.t1	Caulen_38_1
Caulen_g9303.t1	Caulen_39_1
Caulen_g5656.t1	Caulen_40_1
Caulen_g5657.t1	Caulen_40_2
Caulen_g5658.t1	Caulen_40_3
