Phatri_Phatr3_J31400.t1	Phatri_1_1
Phatri_Phatr3_J37061.t1	Phatri_4_33
Phatri_Phatr3_EG01178.t1	Phatri_4_34
Phatri_Phatr3_EG01173.t1	Phatri_4_35
Phatri_Phatr3_EG01175.t1	Phatri_4_36
Phatri_Phatr3_EG01183.t1	Phatri_4_37
Phatri_Phatr3_EG01158.t1	Phatri_4_38
Phatri_Phatr3_J37064.t1	Phatri_4_39
Phatri_Phatr3_J46979.t1	Phatri_4_40
Phatri_Phatr3_J28359.t1	Phatri_4_41
Phatri_Phatr3_J37067.t1	Phatri_4_42
Phatri_Phatr3_J21239.t1	Phatri_4_43
Phatri_Phatr3_J46983.t1	Phatri_4_44
Phatri_Phatr3_J54677.t1	Phatri_4_45
Phatri_Phatr3_J37072.t1	Phatri_4_46
Phatri_Phatr3_J13633.t1	Phatri_4_47
Phatri_Phatr3_J28374.t1	Phatri_4_48
Phatri_Phatr3_J51024.t1	Phatri_4_49
Phatri_Phatr3_EG01164.t1	Phatri_4_50
Phatri_Phatr3_J46990.t1	Phatri_4_51
Phatri_Phatr3_J37077.t1	Phatri_4_52
Phatri_Phatr3_J37078.t1	Phatri_4_53
Phatri_Phatr3_J46991.t1	Phatri_4_54
Phatri_Phatr3_J13566.t1	Phatri_4_55
Phatri_Phatr3_J13664.t1	Phatri_4_56
Phatri_Phatr3_J46993.t1	Phatri_4_57
Phatri_Phatr3_EG01202.t1	Phatri_4_58
Phatri_Phatr3_EG01157.t1	Phatri_4_59
Phatri_Phatr3_J46994.t1	Phatri_4_60
Phatri_Phatr3_J46995.t1	Phatri_4_61
Phatri_Phatr3_J13606.t1	Phatri_4_62
Phatri_Phatr3_J37086.t1	Phatri_4_63
Phatri_Phatr3_J37087.t1	Phatri_4_64
Phatri_Phatr3_J13557.t1	Phatri_4_65
Phatri_Phatr3_J46998.t1	Phatri_4_66
Phatri_Phatr3_J46999.t1	Phatri_4_67
Phatri_Phatr3_J47000.t1	Phatri_4_68
Phatri_Phatr3_J47001.t1	Phatri_4_69
Phatri_Phatr3_J37093.t1	Phatri_4_70
Phatri_Phatr3_J13553.t1	Phatri_4_71
Phatri_Phatr3_J13834.t1	Phatri_4_72
Phatri_Phatr3_J13675.t1	Phatri_4_73
Phatri_Phatr3_J7626.t1	Phatri_4_74
Phatri_Phatr3_J21275.t1	Phatri_4_75
Phatri_Phatr3_J47005.t1	Phatri_4_76
Phatri_Phatr3_J47006.t1	Phatri_4_77
Phatri_Phatr3_J47007.t1	Phatri_4_78
Phatri_Phatr3_EG01169.t1	Phatri_4_79
Phatri_Phatr3_J47008.t1	Phatri_4_80
Phatri_Phatr3_J13789.t1	Phatri_4_81
Phatri_Phatr3_J13691.t1	Phatri_4_82
Phatri_Phatr3_J37105.t1	Phatri_4_83
Phatri_Phatr3_J47010.t1	Phatri_4_84
Phatri_Phatr3_J47011.t1	Phatri_4_85
Phatri_Phatr3_J47012.t1	Phatri_4_86
Phatri_Phatr3_J37109.t1	Phatri_4_87
Phatri_Phatr3_EG02526.t1	Phatri_4_88
Phatri_Phatr3_J37111.t1	Phatri_4_89
Phatri_Phatr3_J47014.t1	Phatri_4_90
Phatri_Phatr3_J47015.t1	Phatri_4_91
Phatri_Phatr3_J51026.t1	Phatri_4_92
Phatri_Phatr3_J47017.t1	Phatri_4_93
Phatri_Phatr3_EG01209.t1	Phatri_4_94
Phatri_Phatr3_J28412.t1	Phatri_4_95
Phatri_Phatr3_J47019.t1	Phatri_4_96
Phatri_Phatr3_J47020.t1	Phatri_4_97
Phatri_Phatr3_EG01177.t1	Phatri_4_98
Phatri_Phatr3_J47022.t1	Phatri_4_99
Phatri_Phatr3_J47023.t1	Phatri_4_100
Phatri_Phatr3_J21290.t1	Phatri_4_101
Phatri_Phatr3_EG01162.t1	Phatri_4_102
Phatri_Phatr3_J47025.t1	Phatri_4_103
Phatri_Phatr3_J37124.t1	Phatri_4_104
Phatri_Phatr3_J47026.t1	Phatri_4_105
Phatri_Phatr3_J47027.t1	Phatri_4_106
Phatri_Phatr3_J37127.t1	Phatri_4_107
Phatri_Phatr3_J13791.t1	Phatri_4_108
Phatri_Phatr3_J21296.t1	Phatri_4_109
Phatri_Phatr3_J37130.t1	Phatri_4_110
Phatri_Phatr3_J37131.t1	Phatri_4_111
Phatri_Phatr3_J47032.t1	Phatri_4_112
Phatri_Phatr3_J37133.t1	Phatri_4_113
Phatri_Phatr3_EG02334.t1	Phatri_4_114
Phatri_Phatr3_J37136.t1	Phatri_4_115
Phatri_Phatr3_J13617.t1	Phatri_4_116
Phatri_Phatr3_EG01174.t1	Phatri_4_117
Phatri_Phatr3_J47036.t1	Phatri_4_118
Phatri_Phatr3_J28431.t1	Phatri_4_119
Phatri_Phatr3_J47038.t1	Phatri_4_120
Phatri_Phatr3_J47039.t1	Phatri_4_121
Phatri_Phatr3_J28433.t1	Phatri_4_122
Phatri_Phatr3_J47041.t1	Phatri_4_123
Phatri_Phatr3_J37144.t1	Phatri_4_124
Phatri_Phatr3_J47042.t1	Phatri_4_125
Phatri_Phatr3_J47043.t1	Phatri_4_126
Phatri_Phatr3_J47045.t1	Phatri_4_127
Phatri_Phatr3_J13582.t1	Phatri_4_128
Phatri_Phatr3_EG01184.t1	Phatri_4_129
Phatri_Phatr3_J47047.t1	Phatri_4_130
Phatri_Phatr3_J21316.t1	Phatri_4_131
Phatri_Phatr3_J47049.t1	Phatri_4_132
Phatri_Phatr3_J47050.t1	Phatri_4_133
Phatri_Phatr3_J5419.t1	Phatri_4_134
Phatri_Phatr3_J47052.t1	Phatri_4_135
Phatri_Phatr3_J47053.t1	Phatri_4_136
Phatri_Phatr3_J47054.t1	Phatri_4_137
Phatri_Phatr3_EG01214.t1	Phatri_4_138
Phatri_Phatr3_J28445.t1	Phatri_4_139
Phatri_Phatr3_J54686.t1	Phatri_4_140
Phatri_Phatr3_J47056.t1	Phatri_4_141
Phatri_Phatr3_J47057.t1	Phatri_4_142
Phatri_Phatr3_J47058.t1	Phatri_4_143
Phatri_Phatr3_J47059.t1	Phatri_4_144
Phatri_Phatr3_J37164.t1	Phatri_4_145
Phatri_Phatr3_J47060.t1	Phatri_4_146
Phatri_Phatr3_J47061.t1	Phatri_4_147
Phatri_Phatr3_J47062.t1	Phatri_4_148
Phatri_Phatr3_J21323.t1	Phatri_4_149
Phatri_Phatr3_J13682.t1	Phatri_4_150
Phatri_Phatr3_J13820.t1	Phatri_4_151
Phatri_Phatr3_J37171.t1	Phatri_4_152
Phatri_Phatr3_J47067.t1	Phatri_4_153
Phatri_Phatr3_EG01196.t1	Phatri_4_154
Phatri_Phatr3_J47068.t1	Phatri_4_155
Phatri_Phatr3_J47069.t1	Phatri_4_156
Phatri_Phatr3_J13578.t1	Phatri_4_157
Phatri_Phatr3_EG01188.t1	Phatri_4_158
Phatri_Phatr3_J37176.t1	Phatri_4_159
Phatri_Phatr3_J47071.t1	Phatri_4_160
Phatri_Phatr3_J47072.t1	Phatri_4_161
Phatri_Phatr3_J6626.t1	Phatri_4_162
Phatri_Phatr3_J13757.t1	Phatri_4_163
Phatri_Phatr3_EG01168.t1	Phatri_4_164
Phatri_Phatr3_J37181.t1	Phatri_4_165
Phatri_Phatr3_J47075.t1	Phatri_4_166
Phatri_Phatr3_J47076.t1	Phatri_4_167
Phatri_Phatr3_EG01199.t1	Phatri_4_168
Phatri_Phatr3_EG02330.t1	Phatri_4_169
Phatri_Phatr3_J13549.t1	Phatri_4_170
Phatri_Phatr3_J47078.t1	Phatri_4_171
Phatri_Phatr3_J47079.t1	Phatri_4_172
Phatri_Phatr3_J47080.t1	Phatri_4_173
Phatri_Phatr3_J54688.t1	Phatri_4_174
Phatri_Phatr3_J47082.t1	Phatri_4_175
Phatri_Phatr3_J5491.t1	Phatri_4_176
Phatri_Phatr3_EG01163.t1	Phatri_4_177
Phatri_Phatr3_J47084.t1	Phatri_4_178
Phatri_Phatr3_J47085.t1	Phatri_4_179
Phatri_Phatr3_J21350.t1	Phatri_4_180
Phatri_Phatr3_J21354.t1	Phatri_4_181
Phatri_Phatr3_J28482.t1	Phatri_4_182
Phatri_Phatr3_J37198.t1	Phatri_4_183
Phatri_Phatr3_J42100.t1	Phatri_4_184
Phatri_Phatr3_J47090.t1	Phatri_4_185
Phatri_Phatr3_J37201.t1	Phatri_4_186
Phatri_Phatr3_J37202.t1	Phatri_4_187
Phatri_Phatr3_EG01186.t1	Phatri_4_188
Phatri_Phatr3_J47092.t1	Phatri_4_189
Phatri_Phatr3_J47093.t1	Phatri_4_190
Phatri_Phatr3_J47094.t1	Phatri_4_191
Phatri_Phatr3_J47095.t1	Phatri_4_192
Phatri_Phatr3_J47096.t1	Phatri_4_193
Phatri_Phatr3_J3251.t1	Phatri_4_194
Phatri_Phatr3_J47097.t1	Phatri_4_195
Phatri_Phatr3_J13622.t1	Phatri_4_196
Phatri_Phatr3_J47099.t1	Phatri_4_197
Phatri_Phatr3_EG01166.t1	Phatri_4_198
Phatri_Phatr3_EG01161.t1	Phatri_4_199
Phatri_Phatr3_EG01180.t1	Phatri_4_200
Phatri_Phatr3_J37212.t1	Phatri_4_201
Phatri_Phatr3_J47101.t1	Phatri_4_202
Phatri_Phatr3_J13721.t1	Phatri_4_203
Phatri_Phatr3_J37215.t1	Phatri_4_204
Phatri_Phatr3_EG01194.t1	Phatri_4_205
Phatri_Phatr3_J47103.t1	Phatri_4_206
Phatri_Phatr3_J47104.t1	Phatri_4_207
Phatri_Phatr3_J37218.t1	Phatri_4_208
Phatri_Phatr3_EG01165.t1	Phatri_4_209
Phatri_Phatr3_J21369.t1	Phatri_4_210
Phatri_Phatr3_J37220.t1	Phatri_4_211
Phatri_Phatr3_EG01190.t1	Phatri_4_212
Phatri_Phatr3_EG02332.t1	Phatri_4_213
Phatri_Phatr3_EG01189.t1	Phatri_4_214
Phatri_Phatr3_J37223.t1	Phatri_4_215
Phatri_Phatr3_J47106.t1	Phatri_4_216
Phatri_Phatr3_EG01176.t1	Phatri_4_217
Phatri_Phatr3_EG01179.t1	Phatri_4_218
Phatri_Phatr3_EG01192.t1	Phatri_4_219
Phatri_Phatr3_EG01210.t1	Phatri_4_220
Phatri_Phatr3_J37225.t1	Phatri_4_221
Phatri_Phatr3_EG01216.t1	Phatri_4_222
Phatri_Phatr3_J37226.t1	Phatri_4_223
Phatri_Phatr3_EG02066.t1	Phatri_4_224
Phatri_Phatr3_EG02068.t1	Phatri_4_225
Phatri_Phatr3_EG02063.t1	Phatri_4_226
Phatri_Phatr3_EG02058.t1	Phatri_4_227
Phatri_Phatr3_EG02065.t1	Phatri_4_228
Phatri_Phatr3_J47107.t1	Phatri_4_229
Phatri_Phatr3_EG02336.t1	Phatri_4_230
Phatri_Phatr3_J37232.t1	Phatri_4_231
Phatri_Phatr3_EG01182.t1	Phatri_4_232
Phatri_Phatr3_J47109.t1	Phatri_4_233
Phatri_Phatr3_J37234.t1	Phatri_4_234
Phatri_Phatr3_J47110.t1	Phatri_4_235
Phatri_Phatr3_J13710.t1	Phatri_4_236
Phatri_Phatr3_J37237.t1	Phatri_4_237
Phatri_Phatr3_J47112.t1	Phatri_4_238
Phatri_Phatr3_J47113.t1	Phatri_4_239
Phatri_Phatr3_EG01197.t1	Phatri_4_240
Phatri_Phatr3_J37240.t1	Phatri_4_241
Phatri_Phatr3_EG01187.t1	Phatri_4_242
Phatri_Phatr3_EG02059.t1	Phatri_4_243
Phatri_Phatr3_EG02060.t1	Phatri_4_244
Phatri_Phatr3_J47114.t1	Phatri_4_245
Phatri_Phatr3_J37243.t1	Phatri_4_246
Phatri_Phatr3_J47115.t1	Phatri_4_247
Phatri_Phatr3_J47116.t1	Phatri_4_248
Phatri_Phatr3_EG02333.t1	Phatri_4_249
Phatri_Phatr3_J47119.t1	Phatri_4_250
Phatri_Phatr3_J47120.t1	Phatri_4_251
Phatri_Phatr3_J13590.t1	Phatri_4_252
Phatri_Phatr3_J47122.t1	Phatri_4_253
Phatri_Phatr3_J47123.t1	Phatri_4_254
Phatri_Phatr3_J37253.t1	Phatri_4_255
Phatri_Phatr3_J37254.t1	Phatri_4_256
Phatri_Phatr3_J13777.t1	Phatri_4_257
Phatri_Phatr3_J47127.t1	Phatri_4_258
Phatri_Phatr3_J37257.t1	Phatri_4_259
Phatri_Phatr3_J7342.t1	Phatri_4_260
Phatri_Phatr3_J47129.t1	Phatri_4_261
Phatri_Phatr3_J37260.t1	Phatri_4_262
Phatri_Phatr3_J21379.t1	Phatri_4_263
Phatri_Phatr3_J13581.t1	Phatri_4_264
Phatri_Phatr3_J52173.t1	Phatri_4_265
Phatri_Phatr3_J47133.t1	Phatri_4_266
Phatri_Phatr3_J47134.t1	Phatri_4_267
Phatri_Phatr3_EG01215.t1	Phatri_4_268
Phatri_Phatr3_J37266.t1	Phatri_4_269
Phatri_Phatr3_J37267.t1	Phatri_4_270
Phatri_Phatr3_J37268.t1	Phatri_4_271
Phatri_Phatr3_EG01206.t1	Phatri_4_272
Phatri_Phatr3_J52174.t1	Phatri_4_273
Phatri_Phatr3_EG01203.t1	Phatri_4_274
Phatri_Phatr3_J37270.t1	Phatri_4_275
Phatri_Phatr3_J21388.t1	Phatri_4_276
Phatri_Phatr3_EG02067.t1	Phatri_4_277
Phatri_Phatr3_EG02061.t1	Phatri_4_278
Phatri_Phatr3_J13779.t1	Phatri_4_279
Phatri_Phatr3_J13838.t1	Phatri_4_280
Phatri_Phatr3_J47140.t1	Phatri_4_281
Phatri_Phatr3_J47141.t1	Phatri_4_282
Phatri_Phatr3_J47142.t1	Phatri_4_283
Phatri_Phatr3_J47143.t1	Phatri_4_284
Phatri_Phatr3_EG02335.t1	Phatri_4_285
Phatri_Phatr3_J47145.t1	Phatri_4_286
Phatri_Phatr3_EG01185.t1	Phatri_4_287
Phatri_Phatr3_J47146.t1	Phatri_4_288
Phatri_Phatr3_J13725.t1	Phatri_4_289
Phatri_Phatr3_J37283.t1	Phatri_4_290
Phatri_Phatr3_J47148.t1	Phatri_4_291
Phatri_Phatr3_J47149.t1	Phatri_4_292
Phatri_Phatr3_J47150.t1	Phatri_4_293
Phatri_Phatr3_J54699.t1	Phatri_4_294
Phatri_Phatr3_J47152.t1	Phatri_4_295
Phatri_Phatr3_EG01211.t1	Phatri_4_296
Phatri_Phatr3_J2208.t1	Phatri_4_297
Phatri_Phatr3_J47154.t1	Phatri_4_298
Phatri_Phatr3_J37291.t1	Phatri_4_299
Phatri_Phatr3_J47155.t1	Phatri_4_300
Phatri_Phatr3_J8301.t1	Phatri_4_301
Phatri_Phatr3_J47157.t1	Phatri_4_302
Phatri_Phatr3_J47158.t1	Phatri_4_303
Phatri_Phatr3_EG02064.t1	Phatri_4_304
Phatri_Phatr3_EG02062.t1	Phatri_4_305
Phatri_Phatr3_J37297.t1	Phatri_4_306
Phatri_Phatr3_J47160.t1	Phatri_4_307
Phatri_Phatr3_EG02056.t1	Phatri_4_308
Phatri_Phatr3_EG02054.t1	Phatri_4_309
Phatri_Phatr3_EG01160.t1	Phatri_4_310
Phatri_Phatr3_EG01193.t1	Phatri_4_311
Phatri_Phatr3_EG01191.t1	Phatri_4_312
Phatri_Phatr3_EG01217.t1	Phatri_4_313
Phatri_Phatr3_EG01201.t1	Phatri_4_314
Phatri_Phatr3_EG01213.t1	Phatri_4_315
Phatri_Phatr3_EG01218.t1	Phatri_4_316
Phatri_Phatr3_J37300.t1	Phatri_4_317
Phatri_Phatr3_J47161.t1	Phatri_4_318
Phatri_Phatr3_EG01200.t1	Phatri_4_319
Phatri_Phatr3_J47163.t1	Phatri_4_320
Phatri_Phatr3_J47164.t1	Phatri_4_321
Phatri_Phatr3_J37305.t1	Phatri_4_322
Phatri_Phatr3_J47165.t1	Phatri_4_323
Phatri_Phatr3_J47166.t1	Phatri_4_324
Phatri_Phatr3_J28533.t1	Phatri_4_325
Phatri_Phatr3_J47167.t1	Phatri_4_326
Phatri_Phatr3_J47168.t1	Phatri_4_327
Phatri_Phatr3_J21410.t1	Phatri_4_328
Phatri_Phatr3_J47169.t1	Phatri_4_329
Phatri_Phatr3_EG01167.t1	Phatri_4_330
Phatri_Phatr3_J47170.t1	Phatri_4_331
Phatri_Phatr3_J47171.t1	Phatri_4_332
Phatri_Phatr3_J47172.t1	Phatri_4_333
Phatri_Phatr3_J4896.t1	Phatri_4_334
Phatri_Phatr3_J47174.t1	Phatri_4_335
Phatri_Phatr3_J47175.t1	Phatri_4_336
Phatri_Phatr3_J47176.t1	Phatri_4_337
Phatri_Phatr3_EG01208.t1	Phatri_4_338
Phatri_Phatr3_EG01156.t1	Phatri_4_339
Phatri_Phatr3_J47178.t1	Phatri_4_340
Phatri_Phatr3_J47179.t1	Phatri_4_341
Phatri_Phatr3_J47180.t1	Phatri_4_342
Phatri_Phatr3_J47181.t1	Phatri_4_343
Phatri_Phatr3_J47182.t1	Phatri_4_344
Phatri_Phatr3_J47183.t1	Phatri_4_345
Phatri_Phatr3_J47184.t1	Phatri_4_346
Phatri_Phatr3_J47185.t1	Phatri_4_347
Phatri_Phatr3_EG01195.t1	Phatri_4_348
Phatri_Phatr3_EG01207.t1	Phatri_4_349
Phatri_Phatr3_J37328.t1	Phatri_4_350
Phatri_Phatr3_J47186.t1	Phatri_4_351
Phatri_Phatr3_J47187.t1	Phatri_4_352
Phatri_Phatr3_J42104.t1	Phatri_4_353
Phatri_Phatr3_J47188.t1	Phatri_4_354
Phatri_Phatr3_J54703.t1	Phatri_4_355
Phatri_Phatr3_J13700.t1	Phatri_4_356
Phatri_Phatr3_J21420.t1	Phatri_4_357
Phatri_Phatr3_J7072.t1	Phatri_4_358
Phatri_Phatr3_J47192.t1	Phatri_4_359
Phatri_Phatr3_J47193.t1	Phatri_4_360
Phatri_Phatr3_EG01198.t1	Phatri_4_361
Phatri_Phatr3_EG01181.t1	Phatri_4_362
Phatri_Phatr3_J28551.t1	Phatri_4_363
Phatri_Phatr3_EG01212.t1	Phatri_4_364
Phatri_Phatr3_J21430.t1	Phatri_4_365
Phatri_Phatr3_J37341.t1	Phatri_4_366
Phatri_Phatr3_J13602.t1	Phatri_4_367
Phatri_Phatr3_J47198.t1	Phatri_4_368
Phatri_Phatr3_EG01205.t1	Phatri_4_369
Phatri_Phatr3_J47199.t1	Phatri_4_370
Phatri_Phatr3_J47200.t1	Phatri_4_371
Phatri_Phatr3_J51040.t1	Phatri_4_372
Phatri_Phatr3_J47203.t1	Phatri_4_373
Phatri_Phatr3_J28562.t1	Phatri_4_374
Phatri_Phatr3_J47205.t1	Phatri_4_375
Phatri_Phatr3_EG02331.t1	Phatri_4_376
Phatri_Phatr3_J21441.t1	Phatri_4_377
Phatri_Phatr3_J37354.t1	Phatri_4_378
Phatri_Phatr3_J13643.t1	Phatri_4_379
Phatri_Phatr3_J47209.t1	Phatri_4_380
Phatri_Phatr3_J28568.t1	Phatri_4_381
Phatri_Phatr3_J47212.t1	Phatri_4_382
Phatri_Phatr3_J13662.t1	Phatri_4_383
Phatri_Phatr3_J47215.t1	Phatri_4_384
Phatri_Phatr3_J37363.t1	Phatri_4_385
Phatri_Phatr3_J47216.t1	Phatri_4_386
Phatri_Phatr3_J47217.t1	Phatri_4_387
Phatri_Phatr3_J47218.t1	Phatri_4_388
Phatri_Phatr3_J37367.t1	Phatri_4_389
Phatri_Phatr3_EG02328.t1	Phatri_4_390
Phatri_Phatr3_J28577.t1	Phatri_4_391
Phatri_Phatr3_J37371.t1	Phatri_4_392
Phatri_Phatr3_J37372.t1	Phatri_4_393
Phatri_Phatr3_J47222.t1	Phatri_4_394
Phatri_Phatr3_J47223.t1	Phatri_4_395
Phatri_Phatr3_J47224.t1	Phatri_4_396
Phatri_Phatr3_EG01172.t1	Phatri_4_397
Phatri_Phatr3_J47226.t1	Phatri_4_398
Phatri_Phatr3_J47227.t1	Phatri_4_399
Phatri_Phatr3_J21455.t1	Phatri_4_400
Phatri_Phatr3_J47229.t1	Phatri_4_401
Phatri_Phatr3_J47230.t1	Phatri_4_402
Phatri_Phatr3_J47231.t1	Phatri_4_403
Phatri_Phatr3_J47232.t1	Phatri_4_404
Phatri_Phatr3_J47233.t1	Phatri_4_405
Phatri_Phatr3_J47234.t1	Phatri_4_406
Phatri_Phatr3_J47235.t1	Phatri_4_407
Phatri_Phatr3_EG01170.t1	Phatri_4_408
Phatri_Phatr3_J47237.t1	Phatri_4_409
Phatri_Phatr3_J21456.t1	Phatri_4_410
Phatri_Phatr3_J47239.t1	Phatri_4_411
Phatri_Phatr3_EG00885.t1	Phatri_5_1
Phatri_Phatr3_EG02301.t1	Phatri_5_2
Phatri_Phatr3_J37393.t1	Phatri_5_3
Phatri_Phatr3_J47242.t1	Phatri_5_4
Phatri_Phatr3_J47243.t1	Phatri_5_5
Phatri_Phatr3_EG00921.t1	Phatri_5_6
Phatri_Phatr3_J47245.t1	Phatri_5_7
Phatri_Phatr3_J47246.t1	Phatri_5_8
Phatri_Phatr3_J37399.t1	Phatri_5_9
Phatri_Phatr3_EG00895.t1	Phatri_5_10
Phatri_Phatr3_EG00874.t1	Phatri_5_11
Phatri_Phatr3_EG00891.t1	Phatri_5_12
Phatri_Phatr3_EG00867.t1	Phatri_5_13
Phatri_Phatr3_EG00866.t1	Phatri_5_14
Phatri_Phatr3_EG00913.t1	Phatri_5_15
Phatri_Phatr3_EG00944.t1	Phatri_5_16
Phatri_Phatr3_EG00910.t1	Phatri_5_17
Phatri_Phatr3_J37401.t1	Phatri_5_18
Phatri_Phatr3_EG02022.t1	Phatri_5_19
Phatri_Phatr3_EG02020.t1	Phatri_5_20
Phatri_Phatr3_EG00916.t1	Phatri_5_21
Phatri_Phatr3_EG00918.t1	Phatri_5_22
Phatri_Phatr3_EG00903.t1	Phatri_5_23
Phatri_Phatr3_J37403.t1	Phatri_5_24
Phatri_Phatr3_EG00893.t1	Phatri_5_25
Phatri_Phatr3_EG00894.t1	Phatri_5_26
Phatri_Phatr3_EG00872.t1	Phatri_5_27
Phatri_Phatr3_EG00896.t1	Phatri_5_28
Phatri_Phatr3_EG00898.t1	Phatri_5_29
Phatri_Phatr3_EG00919.t1	Phatri_5_30
Phatri_Phatr3_J37404.t1	Phatri_5_31
Phatri_Phatr3_EG00917.t1	Phatri_5_32
Phatri_Phatr3_J37405.t1	Phatri_5_33
Phatri_Phatr3_EG02023.t1	Phatri_5_34
Phatri_Phatr3_EG02019.t1	Phatri_5_35
Phatri_Phatr3_J47247.t1	Phatri_5_36
Phatri_Phatr3_J37408.t1	Phatri_5_37
Phatri_Phatr3_EG00937.t1	Phatri_5_38
Phatri_Phatr3_J54709.t1	Phatri_5_39
Phatri_Phatr3_J47249.t1	Phatri_5_40
Phatri_Phatr3_J47250.t1	Phatri_5_41
Phatri_Phatr3_J28585.t1	Phatri_5_42
Phatri_Phatr3_J47252.t1	Phatri_5_43
Phatri_Phatr3_EG00881.t1	Phatri_5_44
Phatri_Phatr3_J47253.t1	Phatri_5_45
Phatri_Phatr3_J47254.t1	Phatri_5_46
Phatri_Phatr3_J47255.t1	Phatri_5_47
Phatri_Phatr3_J37417.t1	Phatri_5_48
Phatri_Phatr3_J47256.t1	Phatri_5_49
Phatri_Phatr3_EG02299.t1	Phatri_5_50
Phatri_Phatr3_J47258.t1	Phatri_5_51
Phatri_Phatr3_EG00908.t1	Phatri_5_52
Phatri_Phatr3_J47259.t1	Phatri_5_53
Phatri_Phatr3_EG00922.t1	Phatri_5_54
Phatri_Phatr3_J8524.t1	Phatri_5_55
Phatri_Phatr3_EG00936.t1	Phatri_5_56
Phatri_Phatr3_EG00904.t1	Phatri_5_57
Phatri_Phatr3_J47260.t1	Phatri_5_58
Phatri_Phatr3_J37425.t1	Phatri_5_59
Phatri_Phatr3_EG00938.t1	Phatri_5_60
Phatri_Phatr3_J52198.t1	Phatri_5_61
Phatri_Phatr3_J47263.t1	Phatri_5_62
Phatri_Phatr3_EG02016.t1	Phatri_5_63
Phatri_Phatr3_EG02017.t1	Phatri_5_64
Phatri_Phatr3_EG00883.t1	Phatri_5_65
Phatri_Phatr3_J47265.t1	Phatri_5_66
Phatri_Phatr3_J14145.t1	Phatri_5_67
Phatri_Phatr3_J52200.t1	Phatri_5_68
Phatri_Phatr3_J47268.t1	Phatri_5_69
Phatri_Phatr3_EG00868.t1	Phatri_5_70
Phatri_Phatr3_J47270.t1	Phatri_5_71
Phatri_Phatr3_J47271.t1	Phatri_5_72
Phatri_Phatr3_J37436.t1	Phatri_5_73
Phatri_Phatr3_J21485.t1	Phatri_5_74
Phatri_Phatr3_J47273.t1	Phatri_5_75
Phatri_Phatr3_J54718.t1	Phatri_5_76
Phatri_Phatr3_J37440.t1	Phatri_5_77
Phatri_Phatr3_EG00888.t1	Phatri_5_78
Phatri_Phatr3_J37441.t1	Phatri_5_79
Phatri_Phatr3_J47275.t1	Phatri_5_80
Phatri_Phatr3_J37443.t1	Phatri_5_81
Phatri_Phatr3_J47276.t1	Phatri_5_82
Phatri_Phatr3_J47277.t1	Phatri_5_83
Phatri_Phatr3_EG00909.t1	Phatri_5_84
Phatri_Phatr3_J7923.t1	Phatri_5_85
Phatri_Phatr3_J47278.t1	Phatri_5_86
Phatri_Phatr3_J47279.t1	Phatri_5_87
Phatri_Phatr3_J47280.t1	Phatri_5_88
Phatri_Phatr3_J47281.t1	Phatri_5_89
Phatri_Phatr3_EG00901.t1	Phatri_5_90
Phatri_Phatr3_J47282.t1	Phatri_5_91
Phatri_Phatr3_J37452.t1	Phatri_5_92
Phatri_Phatr3_J47283.t1	Phatri_5_93
Phatri_Phatr3_J14143.t1	Phatri_5_94
Phatri_Phatr3_EG00884.t1	Phatri_5_95
Phatri_Phatr3_J47285.t1	Phatri_5_96
Phatri_Phatr3_J37456.t1	Phatri_5_97
Phatri_Phatr3_J14002.t1	Phatri_5_98
Phatri_Phatr3_EG00925.t1	Phatri_5_99
Phatri_Phatr3_J47287.t1	Phatri_5_100
Phatri_Phatr3_J37459.t1	Phatri_5_101
Phatri_Phatr3_J37460.t1	Phatri_5_102
Phatri_Phatr3_J47289.t1	Phatri_5_103
Phatri_Phatr3_J47290.t1	Phatri_5_104
Phatri_Phatr3_J37463.t1	Phatri_5_105
Phatri_Phatr3_J47291.t1	Phatri_5_106
Phatri_Phatr3_J28620.t1	Phatri_5_107
Phatri_Phatr3_EG00879.t1	Phatri_5_108
Phatri_Phatr3_J37466.t1	Phatri_5_109
Phatri_Phatr3_J47293.t1	Phatri_5_110
Phatri_Phatr3_J37468.t1	Phatri_5_111
Phatri_Phatr3_J47294.t1	Phatri_5_112
Phatri_Phatr3_J7649.t1	Phatri_5_113
Phatri_Phatr3_J47296.t1	Phatri_5_114
Phatri_Phatr3_J47297.t1	Phatri_5_115
Phatri_Phatr3_J47298.t1	Phatri_5_116
Phatri_Phatr3_EG00914.t1	Phatri_5_117
Phatri_Phatr3_J47300.t1	Phatri_5_118
Phatri_Phatr3_EG00876.t1	Phatri_5_119
Phatri_Phatr3_J13951.t1	Phatri_5_120
Phatri_Phatr3_EG02524.t1	Phatri_5_121
Phatri_Phatr3_J14125.t1	Phatri_5_122
Phatri_Phatr3_EG02525.t1	Phatri_5_123
Phatri_Phatr3_J47306.t1	Phatri_5_124
Phatri_Phatr3_J37482.t1	Phatri_5_125
Phatri_Phatr3_EG02303.t1	Phatri_5_126
Phatri_Phatr3_J47310.t1	Phatri_5_127
Phatri_Phatr3_J21513.t1	Phatri_5_128
Phatri_Phatr3_J21519.t1	Phatri_5_129
Phatri_Phatr3_EG00928.t1	Phatri_5_130
Phatri_Phatr3_EG00915.t1	Phatri_5_131
Phatri_Phatr3_J47314.t1	Phatri_5_132
Phatri_Phatr3_J47315.t1	Phatri_5_133
