Phoaus_g1.t1	Phoaus_1_1
Phoaus_g9522.t1	Phoaus_813_11
Phoaus_g9523.t1	Phoaus_813_12
Phoaus_g9524.t1	Phoaus_813_13
Phoaus_g9525.t1	Phoaus_813_14
Phoaus_g9526.t1	Phoaus_813_15
Phoaus_g9527.t1	Phoaus_813_16
Phoaus_g9528.t1	Phoaus_813_17
Phoaus_g9529.t1	Phoaus_813_18
Phoaus_g9530.t1	Phoaus_813_19
Phoaus_g9531.t1	Phoaus_813_20
Phoaus_g9532.t1	Phoaus_813_21
Phoaus_g9533.t1	Phoaus_813_22
Phoaus_g9534.t1	Phoaus_813_23
Phoaus_g9535.t1	Phoaus_813_24
Phoaus_g9536.t1	Phoaus_813_25
Phoaus_g9537.t1	Phoaus_813_26
Phoaus_g9538.t1	Phoaus_813_27
Phoaus_g9539.t1	Phoaus_813_28
Phoaus_g9540.t1	Phoaus_813_29
Phoaus_g9541.t1	Phoaus_813_30
Phoaus_g9542.t1	Phoaus_813_31
Phoaus_g9543.t1	Phoaus_813_32
Phoaus_g9544.t1	Phoaus_813_33
Phoaus_g9545.t1	Phoaus_813_34
Phoaus_g19895.t1	Phoaus_814_1
Phoaus_g19896.t1	Phoaus_815_1
Phoaus_g19897.t1	Phoaus_816_1
Phoaus_g239.t1	Phoaus_817_1
Phoaus_g240.t1	Phoaus_817_2
Phoaus_g241.t1	Phoaus_817_3
Phoaus_g242.t1	Phoaus_817_4
Phoaus_g243.t1	Phoaus_817_5
Phoaus_g244.t1	Phoaus_817_6
Phoaus_g245.t1	Phoaus_817_7
Phoaus_g246.t1	Phoaus_817_8
Phoaus_g247.t1	Phoaus_817_9
Phoaus_g248.t1	Phoaus_817_10
Phoaus_g249.t1	Phoaus_817_11
Phoaus_g250.t1	Phoaus_817_12
Phoaus_g251.t1	Phoaus_817_13
Phoaus_g252.t1	Phoaus_817_14
Phoaus_g253.t1	Phoaus_817_15
Phoaus_g254.t1	Phoaus_817_16
Phoaus_g255.t1	Phoaus_817_17
Phoaus_g256.t1	Phoaus_817_18
Phoaus_g257.t1	Phoaus_817_19
Phoaus_g258.t1	Phoaus_817_20
Phoaus_g259.t1	Phoaus_817_21
Phoaus_g260.t1	Phoaus_817_22
Phoaus_g261.t1	Phoaus_817_23
Phoaus_g262.t1	Phoaus_817_24
Phoaus_g263.t1	Phoaus_817_25
Phoaus_g264.t1	Phoaus_817_26
Phoaus_g265.t1	Phoaus_817_27
Phoaus_g266.t1	Phoaus_817_28
Phoaus_g267.t1	Phoaus_817_29
Phoaus_g268.t1	Phoaus_817_30
Phoaus_g269.t1	Phoaus_817_31
Phoaus_g270.t1	Phoaus_817_32
Phoaus_g271.t1	Phoaus_817_33
Phoaus_g272.t1	Phoaus_817_34
Phoaus_g273.t1	Phoaus_817_35
Phoaus_g274.t1	Phoaus_817_36
Phoaus_g275.t1	Phoaus_817_37
Phoaus_g276.t1	Phoaus_817_38
Phoaus_g277.t1	Phoaus_817_39
Phoaus_g278.t1	Phoaus_817_40
Phoaus_g279.t1	Phoaus_817_41
Phoaus_g280.t1	Phoaus_817_42
Phoaus_g281.t1	Phoaus_817_43
Phoaus_g282.t1	Phoaus_817_44
Phoaus_g283.t1	Phoaus_817_45
Phoaus_g284.t1	Phoaus_817_46
Phoaus_g285.t1	Phoaus_817_47
Phoaus_g286.t1	Phoaus_817_48
Phoaus_g287.t1	Phoaus_817_49
Phoaus_g288.t1	Phoaus_817_50
Phoaus_g289.t1	Phoaus_817_51
Phoaus_g290.t1	Phoaus_817_52
Phoaus_g291.t1	Phoaus_817_53
Phoaus_g292.t1	Phoaus_817_54
Phoaus_g293.t1	Phoaus_817_55
Phoaus_g294.t1	Phoaus_817_56
Phoaus_g295.t1	Phoaus_817_57
Phoaus_g296.t1	Phoaus_817_58
Phoaus_g297.t1	Phoaus_817_59
Phoaus_g298.t1	Phoaus_817_60
Phoaus_g299.t1	Phoaus_817_61
Phoaus_g300.t1	Phoaus_817_62
Phoaus_g301.t1	Phoaus_817_63
Phoaus_g302.t1	Phoaus_817_64
Phoaus_g303.t1	Phoaus_817_65
Phoaus_g304.t1	Phoaus_817_66
Phoaus_g305.t1	Phoaus_817_67
Phoaus_g306.t1	Phoaus_817_68
Phoaus_g307.t1	Phoaus_817_69
Phoaus_g308.t1	Phoaus_817_70
Phoaus_g309.t1	Phoaus_817_71
Phoaus_g310.t1	Phoaus_817_72
Phoaus_g311.t1	Phoaus_817_73
Phoaus_g312.t1	Phoaus_817_74
Phoaus_g313.t1	Phoaus_817_75
Phoaus_g314.t1	Phoaus_817_76
Phoaus_g315.t1	Phoaus_817_77
Phoaus_g316.t1	Phoaus_817_78
Phoaus_g317.t1	Phoaus_817_79
Phoaus_g318.t1	Phoaus_817_80
Phoaus_g319.t1	Phoaus_817_81
Phoaus_g320.t1	Phoaus_817_82
Phoaus_g321.t1	Phoaus_817_83
Phoaus_g322.t1	Phoaus_817_84
Phoaus_g323.t1	Phoaus_817_85
Phoaus_g324.t1	Phoaus_817_86
Phoaus_g325.t1	Phoaus_817_87
Phoaus_g326.t1	Phoaus_817_88
Phoaus_g327.t1	Phoaus_817_89
Phoaus_g328.t1	Phoaus_817_90
Phoaus_g329.t1	Phoaus_817_91
Phoaus_g330.t1	Phoaus_817_92
Phoaus_g331.t1	Phoaus_817_93
Phoaus_g332.t1	Phoaus_817_94
Phoaus_g333.t1	Phoaus_817_95
Phoaus_g334.t1	Phoaus_817_96
Phoaus_g335.t1	Phoaus_817_97
Phoaus_g336.t1	Phoaus_817_98
Phoaus_g337.t1	Phoaus_817_99
Phoaus_g338.t1	Phoaus_817_100
Phoaus_g339.t1	Phoaus_817_101
Phoaus_g340.t1	Phoaus_817_102
Phoaus_g341.t1	Phoaus_817_103
Phoaus_g342.t1	Phoaus_817_104
Phoaus_g343.t1	Phoaus_817_105
Phoaus_g344.t1	Phoaus_817_106
Phoaus_g345.t1	Phoaus_817_107
Phoaus_g346.t1	Phoaus_817_108
Phoaus_g347.t1	Phoaus_817_109
Phoaus_g348.t1	Phoaus_817_110
Phoaus_g349.t1	Phoaus_817_111
Phoaus_g350.t1	Phoaus_817_112
Phoaus_g351.t1	Phoaus_817_113
Phoaus_g352.t1	Phoaus_817_114
Phoaus_g353.t1	Phoaus_817_115
Phoaus_g354.t1	Phoaus_817_116
Phoaus_g355.t1	Phoaus_817_117
Phoaus_g356.t1	Phoaus_817_118
Phoaus_g357.t1	Phoaus_817_119
Phoaus_g358.t1	Phoaus_817_120
Phoaus_g359.t1	Phoaus_817_121
Phoaus_g360.t1	Phoaus_817_122
Phoaus_g361.t1	Phoaus_817_123
Phoaus_g362.t1	Phoaus_817_124
Phoaus_g363.t1	Phoaus_817_125
Phoaus_g364.t1	Phoaus_817_126
Phoaus_g365.t1	Phoaus_817_127
Phoaus_g366.t1	Phoaus_817_128
Phoaus_g367.t1	Phoaus_817_129
Phoaus_g368.t1	Phoaus_817_130
Phoaus_g369.t1	Phoaus_817_131
Phoaus_g370.t1	Phoaus_817_132
Phoaus_g371.t1	Phoaus_817_133
Phoaus_g1883.t1	Phoaus_818_1
Phoaus_g1884.t1	Phoaus_818_2
Phoaus_g1885.t1	Phoaus_818_3
Phoaus_g1886.t1	Phoaus_818_4
Phoaus_g1887.t1	Phoaus_818_5
Phoaus_g1888.t1	Phoaus_818_6
Phoaus_g1889.t1	Phoaus_818_7
Phoaus_g1890.t1	Phoaus_818_8
Phoaus_g1891.t1	Phoaus_818_9
Phoaus_g1892.t1	Phoaus_818_10
Phoaus_g1893.t1	Phoaus_818_11
Phoaus_g1894.t1	Phoaus_818_12
Phoaus_g1895.t1	Phoaus_818_13
Phoaus_g1896.t1	Phoaus_818_14
Phoaus_g1897.t1	Phoaus_818_15
Phoaus_g1898.t1	Phoaus_818_16
Phoaus_g1899.t1	Phoaus_818_17
Phoaus_g1900.t1	Phoaus_818_18
Phoaus_g1901.t1	Phoaus_818_19
Phoaus_g1902.t1	Phoaus_818_20
Phoaus_g1903.t1	Phoaus_818_21
Phoaus_g1904.t1	Phoaus_818_22
Phoaus_g1905.t1	Phoaus_818_23
Phoaus_g1906.t1	Phoaus_818_24
Phoaus_g1907.t1	Phoaus_818_25
Phoaus_g1908.t1	Phoaus_818_26
Phoaus_g1909.t1	Phoaus_818_27
Phoaus_g1910.t1	Phoaus_818_28
Phoaus_g1911.t1	Phoaus_818_29
Phoaus_g1912.t1	Phoaus_818_30
Phoaus_g1913.t1	Phoaus_818_31
Phoaus_g1914.t1	Phoaus_818_32
Phoaus_g1915.t1	Phoaus_818_33
Phoaus_g1916.t1	Phoaus_818_34
Phoaus_g1917.t1	Phoaus_818_35
Phoaus_g1918.t1	Phoaus_818_36
Phoaus_g1919.t1	Phoaus_818_37
Phoaus_g1920.t1	Phoaus_818_38
Phoaus_g1921.t1	Phoaus_818_39
Phoaus_g1922.t1	Phoaus_818_40
Phoaus_g1923.t1	Phoaus_818_41
Phoaus_g1924.t1	Phoaus_818_42
Phoaus_g1925.t1	Phoaus_818_43
Phoaus_g1926.t1	Phoaus_818_44
Phoaus_g1927.t1	Phoaus_818_45
Phoaus_g1928.t1	Phoaus_818_46
Phoaus_g1929.t1	Phoaus_818_47
Phoaus_g1930.t1	Phoaus_818_48
Phoaus_g1931.t1	Phoaus_818_49
Phoaus_g1932.t1	Phoaus_818_50
Phoaus_g1933.t1	Phoaus_818_51
Phoaus_g1934.t1	Phoaus_818_52
Phoaus_g1935.t1	Phoaus_818_53
Phoaus_g1936.t1	Phoaus_818_54
Phoaus_g1937.t1	Phoaus_818_55
Phoaus_g1938.t1	Phoaus_818_56
Phoaus_g1939.t1	Phoaus_818_57
Phoaus_g1940.t1	Phoaus_818_58
Phoaus_g1941.t1	Phoaus_818_59
Phoaus_g1942.t1	Phoaus_818_60
Phoaus_g1943.t1	Phoaus_818_61
Phoaus_g1944.t1	Phoaus_818_62
Phoaus_g1945.t1	Phoaus_818_63
Phoaus_g1946.t1	Phoaus_818_64
Phoaus_g1947.t1	Phoaus_818_65
Phoaus_g1948.t1	Phoaus_818_66
Phoaus_g1949.t1	Phoaus_818_67
Phoaus_g9546.t1	Phoaus_819_1
Phoaus_g9547.t1	Phoaus_819_2
Phoaus_g9548.t1	Phoaus_819_3
Phoaus_g9549.t1	Phoaus_819_4
Phoaus_g9550.t1	Phoaus_819_5
Phoaus_g9551.t1	Phoaus_819_6
Phoaus_g9552.t1	Phoaus_819_7
Phoaus_g9553.t1	Phoaus_819_8
Phoaus_g9554.t1	Phoaus_819_9
Phoaus_g9555.t1	Phoaus_819_10
Phoaus_g9556.t1	Phoaus_819_11
Phoaus_g9557.t1	Phoaus_819_12
Phoaus_g9558.t1	Phoaus_819_13
Phoaus_g9559.t1	Phoaus_819_14
Phoaus_g9560.t1	Phoaus_819_15
Phoaus_g9561.t1	Phoaus_819_16
Phoaus_g9562.t1	Phoaus_819_17
Phoaus_g9563.t1	Phoaus_819_18
Phoaus_g9564.t1	Phoaus_819_19
Phoaus_g9565.t1	Phoaus_819_20
Phoaus_g9566.t1	Phoaus_819_21
Phoaus_g9567.t1	Phoaus_819_22
Phoaus_g9568.t1	Phoaus_819_23
Phoaus_g19898.t1	Phoaus_820_1
Phoaus_g19899.t1	Phoaus_821_1
Phoaus_g19900.t1	Phoaus_822_1
Phoaus_g19901.t1	Phoaus_823_1
Phoaus_g9569.t1	Phoaus_824_1
Phoaus_g9570.t1	Phoaus_824_2
Phoaus_g9571.t1	Phoaus_824_3
Phoaus_g9572.t1	Phoaus_824_4
Phoaus_g9573.t1	Phoaus_824_5
Phoaus_g9574.t1	Phoaus_824_6
Phoaus_g9575.t1	Phoaus_824_7
Phoaus_g9576.t1	Phoaus_824_8
Phoaus_g9577.t1	Phoaus_824_9
Phoaus_g9578.t1	Phoaus_824_10
Phoaus_g9579.t1	Phoaus_824_11
Phoaus_g9580.t1	Phoaus_824_12
Phoaus_g9581.t1	Phoaus_824_13
Phoaus_g9582.t1	Phoaus_824_14
Phoaus_g9583.t1	Phoaus_824_15
Phoaus_g9584.t1	Phoaus_824_16
Phoaus_g9585.t1	Phoaus_824_17
Phoaus_g9586.t1	Phoaus_824_18
Phoaus_g9587.t1	Phoaus_824_19
Phoaus_g9588.t1	Phoaus_824_20
Phoaus_g9589.t1	Phoaus_824_21
Phoaus_g9590.t1	Phoaus_824_22
Phoaus_g9591.t1	Phoaus_824_23
Phoaus_g9592.t1	Phoaus_824_24
Phoaus_g9593.t1	Phoaus_824_25
Phoaus_g9594.t1	Phoaus_824_26
Phoaus_g9595.t1	Phoaus_824_27
Phoaus_g9596.t1	Phoaus_824_28
Phoaus_g9597.t1	Phoaus_824_29
Phoaus_g9598.t1	Phoaus_824_30
Phoaus_g19902.t1	Phoaus_825_1
Phoaus_g19903.t1	Phoaus_826_1
Phoaus_g19904.t1	Phoaus_827_1
Phoaus_g19905.t1	Phoaus_828_1
Phoaus_g9599.t1	Phoaus_829_1
Phoaus_g9600.t1	Phoaus_829_2
Phoaus_g9601.t1	Phoaus_829_3
Phoaus_g9602.t1	Phoaus_829_4
Phoaus_g9603.t1	Phoaus_829_5
Phoaus_g9604.t1	Phoaus_829_6
Phoaus_g9605.t1	Phoaus_829_7
Phoaus_g9606.t1	Phoaus_829_8
Phoaus_g9607.t1	Phoaus_829_9
Phoaus_g9608.t1	Phoaus_829_10
Phoaus_g9609.t1	Phoaus_829_11
Phoaus_g9610.t1	Phoaus_829_12
Phoaus_g9611.t1	Phoaus_829_13
Phoaus_g9612.t1	Phoaus_829_14
Phoaus_g9613.t1	Phoaus_829_15
Phoaus_g9614.t1	Phoaus_829_16
Phoaus_g9615.t1	Phoaus_829_17
Phoaus_g9616.t1	Phoaus_829_18
Phoaus_g9617.t1	Phoaus_829_19
Phoaus_g9618.t1	Phoaus_829_20
Phoaus_g9619.t1	Phoaus_829_21
Phoaus_g9620.t1	Phoaus_829_22
Phoaus_g9621.t1	Phoaus_829_23
Phoaus_g9622.t1	Phoaus_829_24
Phoaus_g19906.t1	Phoaus_830_1
Phoaus_g19907.t1	Phoaus_831_1
Phoaus_g19908.t1	Phoaus_831_2
Phoaus_g19909.t1	Phoaus_832_1
Phoaus_g19910.t1	Phoaus_833_1
Phoaus_g9623.t1	Phoaus_834_1
Phoaus_g9624.t1	Phoaus_834_2
Phoaus_g9625.t1	Phoaus_834_3
Phoaus_g9626.t1	Phoaus_834_4
Phoaus_g9627.t1	Phoaus_834_5
Phoaus_g9628.t1	Phoaus_834_6
Phoaus_g9629.t1	Phoaus_834_7
Phoaus_g9630.t1	Phoaus_834_8
Phoaus_g9631.t1	Phoaus_834_9
Phoaus_g9632.t1	Phoaus_834_10
Phoaus_g9633.t1	Phoaus_834_11
Phoaus_g9634.t1	Phoaus_834_12
Phoaus_g9635.t1	Phoaus_834_13
Phoaus_g9636.t1	Phoaus_834_14
Phoaus_g9637.t1	Phoaus_834_15
Phoaus_g9638.t1	Phoaus_834_16
Phoaus_g9639.t1	Phoaus_834_17
Phoaus_g9640.t1	Phoaus_834_18
Phoaus_g9641.t1	Phoaus_834_19
Phoaus_g9642.t1	Phoaus_834_20
Phoaus_g9643.t1	Phoaus_834_21
Phoaus_g9644.t1	Phoaus_834_22
Phoaus_g9645.t1	Phoaus_834_23
Phoaus_g9646.t1	Phoaus_834_24
Phoaus_g9647.t1	Phoaus_834_25
Phoaus_g9648.t1	Phoaus_834_26
Phoaus_g9649.t1	Phoaus_834_27
Phoaus_g9650.t1	Phoaus_834_28
Phoaus_g9651.t1	Phoaus_834_29
Phoaus_g9652.t1	Phoaus_834_30
Phoaus_g9653.t1	Phoaus_834_31
Phoaus_g9654.t1	Phoaus_834_32
Phoaus_g9655.t1	Phoaus_834_33
Phoaus_g9656.t1	Phoaus_834_34
Phoaus_g9657.t1	Phoaus_834_35
Phoaus_g9658.t1	Phoaus_834_36
Phoaus_g9659.t1	Phoaus_834_37
Phoaus_g9660.t1	Phoaus_834_38
Phoaus_g9661.t1	Phoaus_834_39
Phoaus_g19911.t1	Phoaus_835_1
Phoaus_g19912.t1	Phoaus_836_1
Phoaus_g19913.t1	Phoaus_837_1
Phoaus_g19914.t1	Phoaus_838_1
Phoaus_g19915.t1	Phoaus_839_1
Phoaus_g9662.t1	Phoaus_840_1
Phoaus_g9663.t1	Phoaus_840_2
Phoaus_g9664.t1	Phoaus_840_3
Phoaus_g9665.t1	Phoaus_840_4
Phoaus_g9666.t1	Phoaus_840_5
Phoaus_g9667.t1	Phoaus_840_6
Phoaus_g9668.t1	Phoaus_840_7
Phoaus_g9669.t1	Phoaus_840_8
Phoaus_g9670.t1	Phoaus_840_9
Phoaus_g9671.t1	Phoaus_840_10
Phoaus_g9672.t1	Phoaus_840_11
Phoaus_g9673.t1	Phoaus_840_12
Phoaus_g9674.t1	Phoaus_840_13
Phoaus_g9675.t1	Phoaus_840_14
Phoaus_g9676.t1	Phoaus_840_15
Phoaus_g9677.t1	Phoaus_840_16
Phoaus_g9678.t1	Phoaus_840_17
Phoaus_g9679.t1	Phoaus_840_18
Phoaus_g9680.t1	Phoaus_840_19
Phoaus_g9681.t1	Phoaus_840_20
Phoaus_g9682.t1	Phoaus_840_21
Phoaus_g9683.t1	Phoaus_840_22
Phoaus_g9684.t1	Phoaus_840_23
Phoaus_g9685.t1	Phoaus_840_24
Phoaus_g9686.t1	Phoaus_840_25
Phoaus_g9687.t1	Phoaus_840_26
Phoaus_g9688.t1	Phoaus_840_27
Phoaus_g19916.t1	Phoaus_841_1
Phoaus_g19917.t1	Phoaus_842_1
Phoaus_g19918.t1	Phoaus_843_1
Phoaus_g19919.t1	Phoaus_844_1
Phoaus_g19920.t1	Phoaus_845_1
Phoaus_g19921.t1	Phoaus_846_1
Phoaus_g19922.t1	Phoaus_847_1
Phoaus_g9689.t1	Phoaus_848_1
Phoaus_g9690.t1	Phoaus_848_2
Phoaus_g9691.t1	Phoaus_848_3
Phoaus_g9692.t1	Phoaus_848_4
Phoaus_g9693.t1	Phoaus_848_5
Phoaus_g9694.t1	Phoaus_848_6
Phoaus_g9695.t1	Phoaus_848_7
Phoaus_g9696.t1	Phoaus_848_8
Phoaus_g9697.t1	Phoaus_848_9
Phoaus_g9698.t1	Phoaus_848_10
Phoaus_g9699.t1	Phoaus_848_11
Phoaus_g9700.t1	Phoaus_848_12
Phoaus_g9701.t1	Phoaus_848_13
Phoaus_g9702.t1	Phoaus_848_14
Phoaus_g9703.t1	Phoaus_848_15
Phoaus_g9704.t1	Phoaus_848_16
Phoaus_g9705.t1	Phoaus_848_17
Phoaus_g9706.t1	Phoaus_848_18
Phoaus_g9707.t1	Phoaus_848_19
Phoaus_g9708.t1	Phoaus_848_20
Phoaus_g9709.t1	Phoaus_848_21
Phoaus_g9710.t1	Phoaus_848_22
Phoaus_g9711.t1	Phoaus_848_23
Phoaus_g9712.t1	Phoaus_848_24
Phoaus_g9713.t1	Phoaus_848_25
Phoaus_g9714.t1	Phoaus_848_26
Phoaus_g9715.t1	Phoaus_848_27
Phoaus_g9716.t1	Phoaus_848_28
Phoaus_g9717.t1	Phoaus_848_29
Phoaus_g9718.t1	Phoaus_848_30
Phoaus_g9719.t1	Phoaus_848_31
Phoaus_g9720.t1	Phoaus_848_32
Phoaus_g9721.t1	Phoaus_848_33
Phoaus_g9722.t1	Phoaus_848_34
Phoaus_g19923.t1	Phoaus_849_1
Phoaus_g19924.t1	Phoaus_850_1
Phoaus_g19925.t1	Phoaus_851_1
Phoaus_g19926.t1	Phoaus_852_1
Phoaus_g19927.t1	Phoaus_853_1
Phoaus_g19928.t1	Phoaus_854_1
Phoaus_g19929.t1	Phoaus_855_1
Phoaus_g19930.t1	Phoaus_856_1
Phoaus_g19931.t1	Phoaus_857_1
Phoaus_g9723.t1	Phoaus_858_1
Phoaus_g9724.t1	Phoaus_858_2
Phoaus_g9725.t1	Phoaus_858_3
Phoaus_g9726.t1	Phoaus_858_4
Phoaus_g9727.t1	Phoaus_858_5
Phoaus_g9728.t1	Phoaus_858_6
Phoaus_g9729.t1	Phoaus_858_7
Phoaus_g9730.t1	Phoaus_858_8
Phoaus_g9731.t1	Phoaus_858_9
Phoaus_g9732.t1	Phoaus_858_10
Phoaus_g9733.t1	Phoaus_858_11
Phoaus_g9734.t1	Phoaus_858_12
Phoaus_g9735.t1	Phoaus_858_13
Phoaus_g9736.t1	Phoaus_858_14
Phoaus_g9737.t1	Phoaus_858_15
Phoaus_g9738.t1	Phoaus_858_16
Phoaus_g9739.t1	Phoaus_858_17
Phoaus_g9740.t1	Phoaus_858_18
Phoaus_g9741.t1	Phoaus_858_19
Phoaus_g9742.t1	Phoaus_858_20
Phoaus_g9743.t1	Phoaus_858_21
Phoaus_g19932.t1	Phoaus_859_1
Phoaus_g19933.t1	Phoaus_860_1
Phoaus_g19934.t1	Phoaus_861_1
Phoaus_g19935.t1	Phoaus_862_1
Phoaus_g19936.t1	Phoaus_863_1
Phoaus_g9744.t1	Phoaus_864_1
Phoaus_g9745.t1	Phoaus_864_2
Phoaus_g9746.t1	Phoaus_864_3
Phoaus_g9747.t1	Phoaus_864_4
Phoaus_g9748.t1	Phoaus_864_5
Phoaus_g9749.t1	Phoaus_864_6
Phoaus_g9750.t1	Phoaus_864_7
Phoaus_g9751.t1	Phoaus_864_8
Phoaus_g9752.t1	Phoaus_864_9
Phoaus_g9753.t1	Phoaus_864_10
Phoaus_g9754.t1	Phoaus_864_11
Phoaus_g9755.t1	Phoaus_864_12
Phoaus_g9756.t1	Phoaus_864_13
Phoaus_g9757.t1	Phoaus_864_14
Phoaus_g9758.t1	Phoaus_864_15
Phoaus_g9759.t1	Phoaus_864_16
Phoaus_g9760.t1	Phoaus_864_17
Phoaus_g9761.t1	Phoaus_864_18
Phoaus_g9762.t1	Phoaus_864_19
Phoaus_g9763.t1	Phoaus_864_20
Phoaus_g9764.t1	Phoaus_864_21
Phoaus_g9765.t1	Phoaus_864_22
Phoaus_g9766.t1	Phoaus_864_23
Phoaus_g9767.t1	Phoaus_864_24
Phoaus_g9768.t1	Phoaus_864_25
Phoaus_g9769.t1	Phoaus_864_26
Phoaus_g9770.t1	Phoaus_864_27
Phoaus_g9771.t1	Phoaus_864_28
Phoaus_g9772.t1	Phoaus_864_29
Phoaus_g9773.t1	Phoaus_864_30
Phoaus_g9774.t1	Phoaus_864_31
Phoaus_g9775.t1	Phoaus_864_32
Phoaus_g19937.t1	Phoaus_865_1
Phoaus_g19938.t1	Phoaus_866_1
Phoaus_g19939.t1	Phoaus_867_1
Phoaus_g19940.t1	Phoaus_868_1
Phoaus_g19941.t1	Phoaus_869_1
Phoaus_g9776.t1	Phoaus_870_1
Phoaus_g9777.t1	Phoaus_870_2
Phoaus_g9778.t1	Phoaus_870_3
Phoaus_g9779.t1	Phoaus_870_4
Phoaus_g9780.t1	Phoaus_870_5
Phoaus_g9781.t1	Phoaus_870_6
Phoaus_g9782.t1	Phoaus_870_7
Phoaus_g9783.t1	Phoaus_870_8
Phoaus_g9784.t1	Phoaus_870_9
Phoaus_g9785.t1	Phoaus_870_10
Phoaus_g9786.t1	Phoaus_870_11
Phoaus_g9787.t1	Phoaus_870_12
Phoaus_g9788.t1	Phoaus_870_13
Phoaus_g9789.t1	Phoaus_870_14
Phoaus_g9790.t1	Phoaus_870_15
Phoaus_g9791.t1	Phoaus_870_16
Phoaus_g9792.t1	Phoaus_870_17
Phoaus_g9793.t1	Phoaus_870_18
Phoaus_g9794.t1	Phoaus_870_19
Phoaus_g9795.t1	Phoaus_870_20
Phoaus_g9796.t1	Phoaus_870_21
Phoaus_g9797.t1	Phoaus_870_22
Phoaus_g9798.t1	Phoaus_870_23
Phoaus_g9799.t1	Phoaus_870_24
Phoaus_g9800.t1	Phoaus_870_25
Phoaus_g9801.t1	Phoaus_870_26
Phoaus_g9802.t1	Phoaus_870_27
Phoaus_g9803.t1	Phoaus_870_28
Phoaus_g9804.t1	Phoaus_870_29
Phoaus_g9805.t1	Phoaus_870_30
Phoaus_g9806.t1	Phoaus_870_31
Phoaus_g9807.t1	Phoaus_870_32
Phoaus_g9808.t1	Phoaus_870_33
Phoaus_g9809.t1	Phoaus_870_34
Phoaus_g9810.t1	Phoaus_870_35
Phoaus_g9811.t1	Phoaus_870_36
Phoaus_g9812.t1	Phoaus_870_37
Phoaus_g9813.t1	Phoaus_870_38
Phoaus_g9814.t1	Phoaus_870_39
Phoaus_g9815.t1	Phoaus_870_40
Phoaus_g9816.t1	Phoaus_870_41
Phoaus_g19942.t1	Phoaus_871_1
Phoaus_g19943.t1	Phoaus_872_1
Phoaus_g19944.t1	Phoaus_873_1
Phoaus_g19945.t1	Phoaus_874_1
Phoaus_g19946.t1	Phoaus_875_1
Phoaus_g19947.t1	Phoaus_876_1
Phoaus_g19948.t1	Phoaus_877_1
Phoaus_g9817.t1	Phoaus_878_1
Phoaus_g9818.t1	Phoaus_878_2
Phoaus_g9819.t1	Phoaus_878_3
Phoaus_g9820.t1	Phoaus_878_4
Phoaus_g9821.t1	Phoaus_878_5
Phoaus_g9822.t1	Phoaus_878_6
Phoaus_g9823.t1	Phoaus_878_7
Phoaus_g9824.t1	Phoaus_878_8
Phoaus_g9825.t1	Phoaus_878_9
Phoaus_g9826.t1	Phoaus_878_10
Phoaus_g9827.t1	Phoaus_878_11
Phoaus_g9828.t1	Phoaus_878_12
Phoaus_g9829.t1	Phoaus_878_13
Phoaus_g9830.t1	Phoaus_878_14
Phoaus_g9831.t1	Phoaus_878_15
Phoaus_g9832.t1	Phoaus_878_16
Phoaus_g9833.t1	Phoaus_878_17
Phoaus_g9834.t1	Phoaus_878_18
Phoaus_g9835.t1	Phoaus_878_19
Phoaus_g19949.t1	Phoaus_879_1
Phoaus_g19950.t1	Phoaus_880_1
Phoaus_g19951.t1	Phoaus_881_1
Phoaus_g19952.t1	Phoaus_882_1
Phoaus_g19953.t1	Phoaus_883_1
Phoaus_g1950.t1	Phoaus_884_1
Phoaus_g1951.t1	Phoaus_884_2
Phoaus_g1952.t1	Phoaus_884_3
Phoaus_g1953.t1	Phoaus_884_4
Phoaus_g1954.t1	Phoaus_884_5
Phoaus_g1955.t1	Phoaus_884_6
Phoaus_g1956.t1	Phoaus_884_7
Phoaus_g1957.t1	Phoaus_884_8
Phoaus_g1958.t1	Phoaus_884_9
Phoaus_g1959.t1	Phoaus_884_10
Phoaus_g1960.t1	Phoaus_884_11
Phoaus_g1961.t1	Phoaus_884_12
Phoaus_g1962.t1	Phoaus_884_13
Phoaus_g1963.t1	Phoaus_884_14
Phoaus_g1964.t1	Phoaus_884_15
Phoaus_g1965.t1	Phoaus_884_16
Phoaus_g1966.t1	Phoaus_884_17
Phoaus_g1967.t1	Phoaus_884_18
Phoaus_g1968.t1	Phoaus_884_19
Phoaus_g1969.t1	Phoaus_884_20
Phoaus_g1970.t1	Phoaus_884_21
Phoaus_g1971.t1	Phoaus_884_22
Phoaus_g1972.t1	Phoaus_884_23
Phoaus_g1973.t1	Phoaus_884_24
Phoaus_g1974.t1	Phoaus_884_25
Phoaus_g1975.t1	Phoaus_884_26
Phoaus_g1976.t1	Phoaus_884_27
Phoaus_g1977.t1	Phoaus_884_28
Phoaus_g1978.t1	Phoaus_884_29
Phoaus_g1979.t1	Phoaus_884_30
Phoaus_g1980.t1	Phoaus_884_31
Phoaus_g1981.t1	Phoaus_884_32
Phoaus_g1982.t1	Phoaus_884_33
Phoaus_g1983.t1	Phoaus_884_34
Phoaus_g1984.t1	Phoaus_884_35
Phoaus_g1985.t1	Phoaus_884_36
Phoaus_g1986.t1	Phoaus_884_37
Phoaus_g1987.t1	Phoaus_884_38
Phoaus_g1988.t1	Phoaus_884_39
Phoaus_g1989.t1	Phoaus_884_40
