Aano_EGB05519	PHD SNF2_N Helicase_C
Bdis_KQJ86533	PHD
Bdis_KQJ86829	PHD
Bdis_KQJ86923	PWWP FYRN FYRC PHD_2 zf-HC5HC2H_2 SET
Bdis_KQJ87966	PHD
Bdis_KQJ88767	Alfin PHD
Bdis_KQJ88865	PHD
Bdis_KQJ89596	DDT PHD
Bdis_KQJ89611	PHD
Bdis_KQJ90120	BAH PHD
Bdis_KQJ91868	Alfin PHD
Bdis_KQJ93013	PHD
Bdis_KQJ93106	Alfin PHD
Bdis_KQJ93108	Alfin PHD
Bdis_KQJ93304	PHD Homeodomain
Bdis_KQJ93788	PHD WHIM1 WSD
Bdis_KQJ99935	Alfin PHD
Bdis_KQK01053	PHD
Bdis_KQK01721	PHD_2 zf-HC5HC2H_2 PHD_2 zf-HC5HC2H_2
Bdis_KQK03068	PHD zf-HC5HC2H_2
Bdis_KQK03316	PWWP PHD PHD_2 zf-HC5HC2H_2 SET
Bdis_KQK06210	Alfin PHD
Bdis_KQK07333	Alfin PHD
Bdis_KQK07854	SAP PHD zf-MIZ
Bdis_KQK08249	zf-BED PHD
Bdis_KQK09005	PWWP PHD_2 zf-HC5HC2H_2 SET
Bdis_KQK09509	zf-RING_2 PHD EloA-BP1
Bdis_KQK09722	PHD Homeobox_KN
Bdis_KQK10867	PHD
Bdis_KQK10956	Alfin PHD
Bdis_KQK11697	PHD SET
Bdis_KQK12464	Alfin PHD
Bdis_KQK12668	BAH PHD
Bdis_KQK13223	ING PHD
Bdis_KQK13520	PHD
Bdis_KQK14519	zf-RING_2 PHD
Bdis_KQK15296	Alfin PHD
Bdis_KQK16131	PHD Chromo SNF2_N Helicase_C DUF1087
Bdis_KQK16541	Jas Jas PHD
Bdis_KQK16557	JmjN ARID PHD JmjC zf-C5HC2 PLU-1 PLU-1
Bdis_KQK17450	zf-TAZ PHD HAT_KAT11 ZZ ZZ zf-TAZ
Bdis_KQK18600	zf-RING_2 PHD
Bdis_KQK19227	PHD BAH AAA AAA_lid_10
Bdis_KQK20300	Alfin PHD
Bdis_KQK20524	BAH PHD
Bdis_KQK20677	Jas PHD
Bdis_KQK22044	zf-RING_2 PHD
Bdis_PNT61114	Jas PHD
Bdis_PNT65122	Jas PHD_2 zf-HC5HC2H_2 SET
Bdis_PNT65458	DDT WHIM1 PHD
Bdis_PNT66501	PHD PHD
Bdis_PNT68113	BAH PHD
Bdis_PNT70908	PHD Homeodomain
Bdis_PNT73323	PHD
Bdis_PNT74608	DDT PHD
Bdis_PNT76231	PHD_2 zf-HC5HC2H_2 PHD_2 zf-HC5HC2H_2
Bnat_JGI_V11_126606	PHD PHD PhyH
Bnat_JGI_V11_128599	PHD
Bnat_JGI_V11_134559	PHD TFIIS_M
Bnat_JGI_V11_135837	JmjN PHD JmjC
Bnat_JGI_V11_138579	PHD SAM_2
Bnat_JGI_V11_140220	PHD
Bnat_JGI_V11_141559	RhoGEF PHD Cohesin_HEAT Nipped-B_C
Bnat_JGI_V11_26321	PHD_2 zf-HC5HC2H_2
Bnat_JGI_V11_26335	PHD_2 zf-HC5HC2H_2
Bnat_JGI_V11_31295	PHD_2 zf-HC5HC2H_2
Bnat_JGI_V11_31945	PHD_2 zf-HC5HC2H_2
Bnat_JGI_V11_33008	PHD
Bnat_JGI_V11_38418	PHD
Bnat_JGI_V11_45267	PHD
Bnat_JGI_V11_61809	zf-RING_2 PHD
Bnat_JGI_V11_71332	PHD_2 zf-HC5HC2H_2 Chromo
Bnat_JGI_V11_73238	PHD zf-HC5HC2H
Bnat_JGI_V11_73985	PHD
Bnat_JGI_V11_77954	PLU-1 PLU-1 PHD PHD
Bnat_JGI_V11_78090	PHD UPF0029
Bnat_JGI_V11_87237	PHD Bromodomain BET
Bnat_JGI_V11_87566	Chromo PHD
Bnat_JGI_V11_88062	PHD
Bnat_JGI_V11_89710	PHD
Bralan_BL01115_evm0	PHD
Bralan_BL01546_evm0	PHD
Bralan_BL04114_evm3	WHIM1 WSD PHD Bromodomain
Bralan_BL04793_cuf10	PHD PHD Bromodomain
Bralan_BL05756_cuf10	PHD
Bralan_BL06114_evm6	PHD zf-CXXC zf-CpG_bind_C
Bralan_BL06575_cuf22	WHIM1 PHD
Bralan_BL06897_evm47	DDT WHIM1 WSD WSD PHD Bromodomain
Bralan_BL07937_cuf1	PHD PHD Bromodomain
Bralan_BL11114_evm0	PHD SAM_1
Bralan_BL11227_cuf6	PHD Exo_endo_phos_2
Bralan_BL11812_evm0	PHD
Bralan_BL12236_evm2	YqaJ PHD
Bralan_BL13461_evm0	PHD
Bralan_BL13844_cuf8	zf-RING_2 PHD
Bralan_BL14559_evm8	TTD PHD SAD_SRA
Bralan_BL14879_evm0	EPL1 PHD_2 zf-HC5HC2H_2
Bralan_BL14881_evm3	PHD
Bralan_BL15006_evm0	PHD Lipase_GDSL
Bralan_BL15151_cuf20	PHD
Bralan_BL15278_evm16	PHD
Bralan_BL15521_cuf13	PHD
Bralan_BL16159_evm0	zf-CXXC PHD_4
Bralan_BL16720_cuf21	PHD
Bralan_BL17376_evm0	PHD PWWP AWS SET C5HCH
Bralan_BL20864_evm4	PHD Acetyltransf_1
Bralan_BL21875_evm12	PHD JmjC JHD
Bralan_BL21892_evm0	PHD
Bralan_BL22788_cuf7	PHD zf-MYST MOZ_SAS
Bralan_BL25126_evm0	PHD
Bralan_BL25127_evm0	PHD
Bralan_BL26191_evm0	PHD
Bralan_BL26846_evm0	EPL1 PHD_2 zf-HC5HC2H_2
Bralan_BL27024_evm0	PHD
Bralan_BL27039_evm0	DDT WHIM1 PHD
Bralan_BL27527_evm0	PHD
Bralan_BL28866_evm0	MULE PHD
Bralan_BL28927_evm0	SWIM PHD
Bralan_BL39951_cuf0	PHD
Bralan_BL41389_cuf36	PHD
Bralan_BL67878_cuf0	PHD
Bralan_BL78869_cuf0	PHD
Bralan_BL83246_cuf0	PHD
Bralan_BL95702_evm0	Tudor_2 PHD Mtf2_C
Bremin_symbB.v1.2.009545.t3	PHD
Bremin_symbB.v1.2.012177.t1	zf-RING_2 PHD
Bremin_symbB.v1.2.018635.t1	PHD PP-binding
Bremin_symbB.v1.2.028388.t1	PHD
Bremin_symbB.v1.2.031752.t1	PHD PHD
Bremin_symbB.v1.2.038437.t1	zf-RING_2 PHD
Cang_ORZ29533	PHD
Cang_ORZ32980	PHD
Cang_ORZ33154	JmjN ARID PHD JmjC PLU-1
Cang_ORZ33516	CRC_subunit PHD
Cang_ORZ35025	PHD
Cang_ORZ37451	ubiquitin PHD SAD_SRA zf-C3HC4_3
Cang_ORZ38610	PHD_2 zf-HC5HC2H_2
Cang_ORZ41082	PHD
Cang_ORZ41469	Bromo_TP PHD
Carmem_3730.p1	PHD
Carmem_4198.p1	PHD zf-HC5HC2H_2 zf-HC5HC2H_2
Carmem_4351.p2	PHD zf-HC5HC2H_2
Carmem_4425.p1	zf-HC5HC2H_2 PHD
Carmem_5291.p1	PHD_2 zf-HC5HC2H_2
Carmem_8816.p1	PHD
Carmem_b5858.p1	PHD
Caulen_g1567.t1	PHD zf-CW
Caulen_g2373.t1	PHD LMBR1
Caulen_g2670.t1	BAH PHD
Caulen_g3988.t1	PHD
Caulen_g4582.t1	PHD Chromo Chromo SNF2_N Helicase_C DUF1086
Caulen_g4694.t1	BAH PHD
Caulen_g6166.t1	Myb_DNA-binding PHD
Caulen_g7635.t1	SAND PHD_2 zf-HC5HC2H_2 SAND SET
Cavfas_EGG14670	EPL1 PHD_2 zf-HC5HC2H_2 Bromodomain
Cavfas_EGG17952	PHD
Cavfas_EGG18276	PHD FHA
Cavfas_EGG19518	PHD TFIIS_M
Cavfas_EGG20037	PHD
Cavfas_EGG21053	PHD
Cavfas_EGG23264	HMG_box PHD PHD
Cavfas_EGG23328	PHD
Cavfas_EGG23632	PHD zf-HC5HC2H_2 FYRN FYRC SET
Ccin_EAU85649	PHD
Ccin_EAU88421	PHD
Ccin_EAU88440	PHD JmjC JHD
Ccin_EAU89540	PHD
Ccin_EAU90390	BAH PHD zf-HC5HC2H_2
Ccin_EAU90469	PHD TFIIS_M SPOC
Ccin_EAU90663	RCC1 RCC1 RCC1 RCC1 RCC1 PHD
Ccin_EAU90763	EPL1 PHD_2 zf-HC5HC2H_2 Bromodomain PWWP
Ccin_EAU93019	PHD
Ccin_EAU93234	PHD
Ccin_EFI27928	Methyltransf_32 PHD zf-MYST MOZ_SAS
Ccin_EFI28208	PHD
Cfra_CFRG0050T1	PHD zf-CpG_bind_C
Cfra_CFRG0062T1	PHD
Cfra_CFRG0207T1	PWWP PHD PWWP SET
Cfra_CFRG0270T1	PHD
Cfra_CFRG0411T1	PHD
Cfra_CFRG1345T1	PHD zf-C2HC zf-MYST MOZ_SAS
Cfra_CFRG1475T1	PHD
Cfra_CFRG1891T1	PHD_2 zf-HC5HC2H_2
Cfra_CFRG2688T1	zf-HC5HC2H PHD FYRN SET
Cfra_CFRG2964T1	PHD PHD
Cfra_CFRG3251T1	PHD
Cfra_CFRG3562T1	PHD Cohesin_HEAT Nipped-B_C
Cfra_CFRG3942T1	Bromo_TP PHD
Cfra_CFRG4189T1	HLH PHD
Cfra_CFRG4271T1	PUB PHD
Cfra_CFRG4387T1	EPL1 PHD_2 zf-HC5HC2H_2 Bromodomain
Cfra_CFRG4612T1	PHD_2 zf-HC5HC2H_2
Cfra_CFRG4791T1	PHD
Cfra_CFRG5067T1	PHD
Cfra_CFRG5068T1	PHD
Cfra_CFRG6692T1	AWS SET Bromodomain PHD BAH
Cfra_CFRG7358T1	JmjN ARID PHD JmjC zf-C5HC2 PLU-1 PHD PHD
Cfra_CFRG8272T1	PHD
Cfra_CFRG8430T1	PHD
Cgig_EKC18382	PHD
Cgig_EKC19373	MBD DDT WSD PHD PHD Bromodomain
Cgig_EKC19620	PHD zf-HC5HC2H FYRN FYRC SET
Cgig_EKC19696	PHD
Cgig_EKC21056	Bromo_TP PHD Pkinase
Cgig_EKC22096	zf-HC5HC2H_2 PHD PHD
Cgig_EKC23553	PHD Cupin_8 JHD
Cgig_EKC23875	PHD zf-CXXC zf-CpG_bind_C
Cgig_EKC23951	PHD PHF12_MRG_bd PHD
Cgig_EKC24375	PHD
Cgig_EKC24431	Tyrosinase Tyrosinase zf-HC5HC2H PHD PHD Glyco_hydro_9
Cgig_EKC24968	PHD
Cgig_EKC25157	WAC_Acf1_DNA_bd DDT WHIM1 WSD PHD PHD Bromodomain
Cgig_EKC26178	SRF-TF PHD
Cgig_EKC26267	zf-C3HC4 PHD Bromodomain
Cgig_EKC26968	PHD_2 zf-HC5HC2H_2
Cgig_EKC27039	PHD
Cgig_EKC28243	EPL1 PHD_2 zf-HC5HC2H_2 Bromodomain PWWP
Cgig_EKC29309	PHD
Cgig_EKC30194	PHD SAM_1
Cgig_EKC31016	Linker_histone PHD zf-C2HC zf-MYST MOZ_SAS
Cgig_EKC31456	EPL1 PHD_2 zf-HC5HC2H_2 FCH SH3_1 SH3_2
Cgig_EKC32268	DDT WHIM1 PHD WSD PHD PHD Bromodomain
Cgig_EKC34304	zf-RING_2 PHD
Cgig_EKC34661	WSD PHD Bromodomain
Cgig_EKC36124	PHD_2 zf-HC5HC2H_2 Tudor_2 Tudor_2
Cgig_EKC36924	PHD
Cgig_EKC37026	CHDNT PHD PHD Chromo SNF2_N Helicase_C DUF1087 DUF1086 CHDCT2
Cgig_EKC37461	PHD PHD
Cgig_EKC37612	Tudor_2 Tudor_2 PHD
Cgig_EKC37949	PHD
Cgig_EKC38036	JmjN ARID PHD JmjC zf-C5HC2 PLU-1 PHD
Cgig_EKC40754	ubiquitin TTD PHD SAD_SRA
Cgig_EKC41398	JHD zf-CXXC PHD_4
Chabra_GBG58739	PHD
Chabra_GBG59054	PHD
Chabra_GBG64476	PTCB-BRCT zf-C3HC4 PHD
Chabra_GBG64959	PHD
Chabra_GBG69578	PHD
Chabra_GBG70592	Jas Jas PHD
Chabra_GBG71707	PWWP FYRN FYRC PHD_2 zf-HC5HC2H_2 SET
Chabra_GBG71922	PHD
Chabra_GBG72047	PWWP PHD PHD Chromo SNF2_N Helicase_C DUF1087
Chabra_GBG72348	AAA_34 PHD Helicase_C_4 RT_RNaseH_2 Integrase_H2C2 rve
Chabra_GBG73474	PHD Chromo Chromo SNF2_N Helicase_C DUF1087 DUF1086
Chabra_GBG74520	PWWP PHD_2 zf-HC5HC2H_2
Chabra_GBG74523	PHD
Chabra_GBG76489	BAH PHD
Chabra_GBG76563	PHD_2 zf-HC5HC2H_2 PHD zf-HC5HC2H_2
Chabra_GBG78942	PHD
Chabra_GBG79250	PHD RVT_1 RT_RNaseH_2
Chabra_GBG79625	PTCB-BRCT PHD
Chabra_GBG80943	PHD
Chabra_GBG81750	DDT WHIM1 PHD zf-HC5HC2H_2
Chabra_GBG82273	zf-C2H2_6 RVT_1 RT_RNaseH_2 zf-C2H2_6 zf-C2H2_6 PHD
Chabra_GBG84211	PHD zf-C3HC4 SAD_SRA zf-RING_UBOX
Chabra_GBG85982	Alfin PHD
Chabra_GBG86491	PHD BAH AAA AAA_lid_10 Cdc6_C
Chabra_GBG87380	RVT_1 PHD
Chabra_GBG90735	ING PHD
Chabra_GBG92079	PHD GGACT
Chocri_XP_005710562.1	PHD
Chocri_XP_005713393.1	PHD
Chocri_XP_005716210.1	PHD
Chocri_XP_005716708.1	PHD zf-HC5HC2H FYRN FYRC SET
Chocri_XP_005717005.1	PHD
Chrtob_KOO21272.1	PHD Chromo SNF2_N Helicase_C zf-CXXC MrcB_N Agenet
Chrtob_KOO21538.1	DNA_methylase
Chrtob_KOO22349.1	PHD Chromo SNF2_N Helicase_C MrcB_N
Chrtob_KOO23662.1	PHD Cohesin_HEAT Cohesin_HEAT
Chrtob_KOO25771.1	MBD PHD Bromodomain
Chrtob_KOO25887.1	PHD PLU-1 PLU-1
Chrtob_KOO25894.1	PLU-1 PHD
Chrtob_KOO27244.1	PHD Chromo Agenet
Chrtob_KOO27513.1	JmjN ARID PHD JmjC
Chrtob_KOO28454.1	WHIM1 PHD
Chrtob_KOO29487.1	PHD
Chrtob_KOO30622.1	PHD
Chrtob_KOO30694.1	SNF2_N Helicase_C RCC1 RCC1 RCC1 RCC1 PHD
Chrtob_KOO31121.1	PHD
Chrtob_KOO33161.1	PHD PAH
Chrtob_KOO33254.1	Bromodomain PHD Acetyltransf_7
Chrtob_KOO34278.1	PHD
Chrtob_KOO34629.1	PHD PHD Bromodomain
Cint_ENSCINP00000001413.3	zf-RING_2 PHD
Cint_ENSCINP00000002239.3	PHD
Cint_ENSCINP00000004028.3	JmjC PHD_2 zf-HC5HC2H_2 zf-HC5HC2H_2
Cint_ENSCINP00000007020.3	EPL1 PHD_2 zf-HC5HC2H_2 Bromodomain PWWP
Cint_ENSCINP00000009171.2	EPL1 PHD_2 zf-HC5HC2H_2
Cint_ENSCINP00000010541.3	PHD Bromodomain
Cint_ENSCINP00000011985.3	zf-HC5HC2H_2 PHD
Cint_ENSCINP00000012442.3	PHD JmjC zf-C5HC2 PLU-1 PHD
Cint_ENSCINP00000016786.3	PHD_2 zf-HC5HC2H_2
Cint_ENSCINP00000019842.3	PHD PHD Bromodomain
Cint_ENSCINP00000021230.3	DDT PHD
Cint_ENSCINP00000024302.2	PHD SET
Cint_ENSCINP00000025830.2	PHD PWWP AWS SET C5HCH
Cint_ENSCINP00000029150.2	PHD SAM_1
Cint_ENSCINP00000029983.1	PHD PHD
Cint_ENSCINP00000031571.1	Tudor_2 PHD
Cint_ENSCINP00000031734.1	PHD
Cint_ENSCINP00000031851.1	PHD
Cint_ENSCINP00000033116.1	AWS SET Bromodomain PHD BAH
Cint_ENSCINP00000033311.1	ubiquitin TTD PHD SAD_SRA zf-C3HC4_3
Cint_ENSCINP00000033645.1	PHD
Cint_ENSCINP00000033757.1	Requiem_N PHD
Cint_ENSCINP00000034510.1	PHD
Cint_ENSCINP00000035400.1	CHDNT PHD PHD
Clim_evm116s210	PHD zf-MYST MOZ_SAS
Clim_evm15s4	PHD Nipped-B_C
Clim_evm17s14	JmjN ARID PHD JmjC
Clim_evm20s154	PHD zf-CpG_bind_C
Clim_evm20s47	PHD_2 zf-HC5HC2H_2
Clim_evm21s253	PHD PHD
Clim_evm28s206	PHD
Clim_evm2s207	PHD
Clim_evm32s241	PHD
Clim_evm3s12	FYRN FYRC PHD PWWP
Clim_evm3s239	PHD JmjC JHD
Clim_evm46s149	zf-C3HC4_2 PHD
Clim_evm49s202	PHD_2 zf-HC5HC2H_2
Clim_evm4s40	Hist_deacetyl PHD_2
Clim_evm57s150	Bromo_TP PHD
Clim_evm5s246	HMG_box PHD
Clim_evm5s63	HATPase_c_3 Morc6_S5 PHD
Clim_evm66s153	PHD
Clim_evm7s62	PHD_2 zf-HC5HC2H
Clim_evm9s183	PHD SET
Clyhem_TCONS_00000499-protein	MBD PHD Bromodomain
Clyhem_TCONS_00003313-protein	ALS2CR8 MULE SWIM Peptidase_C48 PHD
Clyhem_TCONS_00005295-protein	PHD zf-CXXC zf-CpG_bind_C
Clyhem_TCONS_00005305-protein	PHD
Clyhem_TCONS_00006950-protein	PHD
Clyhem_TCONS_00007090-protein	PHD zf-MYST MOZ_SAS
Clyhem_TCONS_00014193-protein	PHD_2 zf-HC5HC2H_2
Clyhem_TCONS_00016481-protein	PHD BRK TFIIS_M SPOC
Clyhem_TCONS_00018575-protein	zf-RING_2 PHD
Clyhem_TCONS_00018620-protein	EPL1 PHD_2 zf-HC5HC2H_2 Bromodomain PWWP
Clyhem_TCONS_00018694-protein	CHDNT PHD PHD Chromo SNF2_N Helicase_C DUF1087 DUF1086 CHDCT2
Clyhem_TCONS_00021396-protein	PHD
Clyhem_TCONS_00022345-protein	JmjC PHD zf-HC5HC2H_2 Tudor_2
Clyhem_TCONS_00022921-protein	PHD
Clyhem_TCONS_00023296-protein	PHD
Clyhem_TCONS_00023707-protein	PHD zf-HC5HC2H FYRN FYRC SET
Clyhem_TCONS_00027490-protein	WSD PHD PHD Bromodomain
Clyhem_TCONS_00030700-protein	PHD
Clyhem_TCONS_00031794-protein	PHD
Clyhem_TCONS_00033986-protein	PHD_2 zf-HC5HC2H_2
Clyhem_TCONS_00035889-protein	PHD
Clyhem_TCONS_00036258-protein	PHD
Clyhem_TCONS_00037055-protein	ubiquitin TTD PHD SAD_SRA zf-C3HC4
Clyhem_TCONS_00038412-protein	PHD
Clyhem_TCONS_00038423-protein	PHD
Clyhem_TCONS_00038424-protein	PHD
Clyhem_TCONS_00041308-protein	PHD
Clyhem_TCONS_00041846-protein	PHD
Clyhem_TCONS_00045883-protein	WSD PHD
Clyhem_TCONS_00051404-protein	PHD PHD
Clyhem_TCONS_00051802-protein	PHD zf-C2HC zf-MYST MOZ_SAS
Clyhem_TCONS_00054945-protein	PHD zf-HC5HC2H_2 PHD PHD
Clyhem_TCONS_00057045-protein	PHD Exo_endo_phos_2
Clyhem_TCONS_00059307-protein	PHD
Clyhem_TCONS_00059844-protein	PHD
Clyhem_TCONS_00062636-protein	PHD
Clyhem_TCONS_00062747-protein	JmjN ARID PHD JmjC zf-C5HC2 PLU-1 PHD
Clyhem_TCONS_00065612-protein	Cupin_8 JHD zf-CXXC
Clyhem_TCONS_00065975-protein	PHD PHD Bromodomain
Clyhem_TCONS_00066154-protein	PHD JmjC JHD
Clyhem_TCONS_00069186-protein	PHD
Clyhem_TCONS_00071851-protein	zf-HC5HC2H PHD PHD
Cmer_CMC110CT	PHD TFIIS_M
Cmer_CME142CT	PHD
Cmer_CML250CT	PHD
Cmer_CML313CT	ResIII Helicase_C PHD
Cmer_CMR472CT	PHD
Cmer_CMS160CT	PHD INCENP_ARK-bind
Cmer_CMS275CT	PHD zf-HC5HC2H_2 PHD_2
Cneo_AAW42093	PHD
Cneo_AAW42860	PHD
Cneo_AAW43237	JmjN ARID PHD JmjC zf-C5HC2 PLU-1
Cneo_AAW43382	BAH PHD ELM2 PHD_2 zf-HC5HC2H_2
Cneo_AAW44024	EPL1 PHD_2 zf-HC5HC2H_2 Bromodomain PWWP
Cneo_AAW44080	PHD
Cneo_AAW44449	PHD zf-MYST MOZ_SAS
Cneo_AAW44571	PHD TFIIS_M
Cneo_AAW44599	PHD
Cneo_AAW45683	RCC1_2 RCC1 RCC1 RCC1 PHD
Cneo_AAW46136	HORMA PHD
Cneo_AAW46158	PHD
Cocsub_XP_005642710.1	BAH PHD
Cocsub_XP_005642724.1	PHD
Cocsub_XP_005642732.1	PHD_2 zf-HC5HC2H_2
Cocsub_XP_005642766.1	PHD BAH AAA AAA_lid_10
Cocsub_XP_005642780.1	PHD_2 zf-HC5HC2H_2
Cocsub_XP_005644993.1	WAC_Acf1_DNA_bd PHD WSD
Cocsub_XP_005646032.1	PHD_2 zf-HC5HC2H_2
Cocsub_XP_005646075.1	PHD
Cocsub_XP_005646272.1	PHD
Cocsub_XP_005647409.1	MBD PHD
Cocsub_XP_005649350.1	ARID PHD
Cocsub_XP_005649478.1	PHD WSD
Cocsub_XP_005649698.1	JmjN ARID PHD JmjC
Cocsub_XP_005650584.1	PWWP FYRN FYRC PHD zf-HC5HC2H_2 SET
Cocsub_XP_005650944.1	PHD
Cocsub_XP_005650976.1	PHD
Cocsub_XP_005651154.1	Jas PHD_2 Jas
Cocsub_XP_005651596.1	Alfin PHD
Cocsub_XP_005652189.1	Yop-YscD_cpl PHD
Cocsub_XP_005652282.1	AAA_34 PHD Helicase_C_4 Fasciclin
Coerev_PIA13111.1	EPL1 PHD_2 zf-HC5HC2H_2
Coerev_PIA13937.1	PHD_2 zf-HC5HC2H_2
Coerev_PIA13995.1	PHD SET
Coerev_PIA14980.1	PHD
Coerev_PIA15405.1	BAH zf-HC5HC2H_2
Coerev_PIA16685.1	JmjN ARID PHD JmjC zf-C5HC2
Coerev_PIA17693.1	PHD
Coerev_PIA18176.1	PHD Cupin_8
Coerev_PIA18290.1	PHD SAD_SRA zf-RING_UBOX
Coerev_PIA19216.1	PHD
Coerev_PIA19411.1	PHD
Coka_g10706.t1	PHD PHD WHIM1
Coka_g11225.t1	Bromodomain PHD Chromo SNF2_N Helicase_C zf-HC5HC2H Bromodomain
Coka_g11301.t1	PHD SET
Coka_g11491.t1	PHD PHD DOT1
Coka_g12018.t1	PHD_2 zf-HC5HC2H_2 SET
Coka_g12018.t2	PHD_2 zf-HC5HC2H_2 SET
Coka_g12603.t1	PHD
Coka_g12937.t1	PLU-1 PLU-1 PLU-1 PHD PHD
Coka_g14334.t1	PHD Yippee-Mis18
Coka_g14809.t1	PHD_2 zf-HC5HC2H_2
Coka_g17372.t1	PWWP Bromodomain PHD zf-HC5HC2H_2 FYRN SET
Coka_g17427.t1	KIX_2 zf-TAZ Bromodomain PHD HAT_KAT11 ZZ zf-TAZ
Coka_g17436.t1	PWWP PHD
Coka_g17899.t1	PHD Bromodomain
Coka_g18224.t1	PHD_2 zf-HC5HC2H_2 PHD_2 zf-HC5HC2H_2 Bromodomain
Coka_g18224.t2	PHD_2 zf-HC5HC2H_2 PHD_2 zf-HC5HC2H_2 Bromodomain
Coka_g18366.t1	PHD
Coka_g18657.t1	PHD PHD
Coka_g18657.t2	PHD PHD
Coka_g18663.t1	ResIII Helicase_C PHD_2 zf-HC5HC2H_2
Coka_g20363.t1	AAA_34 Helicase_C_4 PHD PHD Myb_DNA-binding RMP
Coka_g20490.t1	PHD DOT1
Coka_g5476.t1	zf-RING_2 PHD_2 zf-HC5HC2H_2 TFIIS_M
Coka_g6129.t1	PHD Cohesin_HEAT Nipped-B_C
Coka_g6129.t2	PHD Cohesin_HEAT Nipped-B_C
Coka_g6392.t1	PHD
Coka_g6599.t1	Bromodomain PHD HAT_KAT11 Bromodomain
Coka_g7503.t1	HMG_box_2 PHD
Coka_g7507.t1	PHD Bromodomain SET Peptidase_S8 Bromodomain SET
Coka_g7866.t1	Bromodomain PHD WHIM1
Coka_g8857.t1	PHD
Coka_g9330.t1	FYRN Bromodomain PHD zf-CXXC WSD Bromodomain TPR_12 TPR_12 TPR_12 TPR_12 TPR_12 TPR_12 TPR_12 TPR_12 TPR_12 TPR_12 TPR_8
Coka_g9330.t2	FYRN Bromodomain PHD zf-CXXC WSD Bromodomain TPR_12 TPR_12 TPR_12 TPR_12 TPR_12 TPR_12 TPR_12 TPR_12 TPR_12 TPR_12 TPR_12 TPR_8
Coka_g9352.t1	AWS SET PHD MMR_HSR1
Coka_g9352.t2	AWS SET PHD MMR_HSR1
Concor_KXN67165	PHD
Concor_KXN69682	PHD_2 zf-HC5HC2H_2
Concor_KXN70079	PHD
Concor_KXN70215	CRC_subunit PHD
Concor_KXN70505	PHD
Concor_KXN71029	JmjN ARID PHD JmjC zf-C5HC2 PLU-1
Concor_KXN72279	EPL1 PHD_2 zf-HC5HC2H_2 Bromodomain
Concor_KXN73340	ubiquitin PHD SAD_SRA zf-C3HC4_2
Concor_KXN73341	ubiquitin PHD SAD_SRA zf-C3HC4_2
Concor_KXN75030	BAH PHD zf-HC5HC2H_2
Concor_KXN75034	BAH PHD zf-HC5HC2H_2
Concor_KXN75092	PHD
Cowc_KJE88619	WAC_Acf1_DNA_bd WSD PHD
Cowc_KJE88938	PHD
Cowc_KJE89875	PHD
Cowc_KJE89896	HLH PHD
Cowc_KJE89969	RAMA PHD PHD Bromodomain zf-HC5HC2H_2 FYRN FYRC
Cowc_KJE91016	Chromo PHD SNF2_N SNF2_N Helicase_C
Cowc_KJE91036	PHD
Cowc_KJE91122	PHD JHD
Cowc_KJE91139	PHD
Cowc_KJE91174	JmjN ARID PHD JmjC zf-C5HC2 PHD
Cowc_KJE91282	BAH PHD
Cowc_KJE91418	FYRN FYRC PHD WSD PHD PWWP
Cowc_KJE91466	PHD zf-MYST MOZ_SAS
Cowc_KJE92158	FHA PHD
Cowc_KJE92538	EPL1 PHD_2 zf-HC5HC2H_2 Bromodomain PWWP
Cowc_KJE93575	PHD
Cowc_KJE94197	PHD_2 zf-HC5HC2H_2
Cowc_KJE94717	JmjN JmjC PHD_2 zf-HC5HC2H_2
Cowc_KJE95364	PHD
Cowc_KJE95520	zf-HC5HC2H_2 PHD
Cowc_KJE96410	PHD zf-CpG_bind_C
Cowc_KJE97953	PHD
Cowc_KJE98073	PHD_2 zf-HC5HC2H_2
Cpar_Cpar_evm1s4104	Kelch_4 Kelch_4 PHD_2 zf-HC5HC2H_2
Cpar_Cpar_evm1s6378	PHD
Cpar_Cpar_evm1s839	PHD
Cpar_Cpar_evm1s9163	PHD_2
Crei_PNW69635	Helitron_like_N Helitron_like_N PHD PIF1
Crei_PNW69712	PHD
Crei_PNW70767	RVT_1 RT_RNaseH Integrase_H2C2 rve PHD
Crei_PNW71071	PHD_2 zf-HC5HC2H_2
Crei_PNW71760	BAH PHD
Crei_PNW71909	ING PHD
Crei_PNW72177	PHD
Crei_PNW72179	PHD
Crei_PNW72935	PHD
Crei_PNW72981	PHD_2 zf-HC5HC2H_2
Crei_PNW74269	zf-C3HC4 PHD
Crei_PNW74536	PHD
Crei_PNW74998	PHD zf-MIZ
Crei_PNW75137	JmjN ARID PHD JmjC zf-C5HC2 PLU-1
Crei_PNW75154	SAND PHD_2 zf-HC5HC2H_2 SAND SAND SET
Crei_PNW77671	RVT_1 RT_RNaseH Integrase_H2C2 rve PHD
Crei_PNW77882	PHD AAA AAA_lid_10
Crei_PNW79026	RVT_1 RT_RNaseH Integrase_H2C2 PHD
Crei_PNW79496	PHD PIF1
Crei_PNW79535	RVT_1 RT_RNaseH Integrase_H2C2 rve PHD
Crei_PNW80085	PHD Chromo Chromo SNF2_N SNF2_N Helicase_C DUF1086
Crei_PNW80153	PHD WSD
Crei_PNW80886	PHD
Crei_PNW81843	Condensin2nSMC PHD
