orthogroup	presence	gain	loss	n_gains	n_losses	n_presences
Bromodomain.HG3.6:BPTF	Adig,Apla,Bralan,Cgig,Clyhem,Cscu,Ctel,Dmel,Dpul,Drer,Ehux,Exapal,Hduj,Helrob,Hsap,Hydvul,Lgig,Linana,Lpol,Mlei,Morvir,Notgen,Nvec,Phoaus,Ptyfla,Skow,Sman,Spis,Spur,Tcas	Eukaryota	Amoebozoa,Ancyromonadida,ArchaeCry,Auraur,CRuMs,Choanoflagellata,Chrtob,Cint,Discoba,Emul,Filasterea,Hemimastigophora,Holomycota,Malawimonadidae,Metamonada,Meteor,Pavlsp,Porifera,Pygbif,Ramvar,SAR,Tadh,Teretosporea,Ttra	1	24	85
Bromodomain.HG3.7:CECR2	Adig,Amobb2,Apla,Aplker,Aque,Auraur,Cgig,Cint,Clyhem,Cscu,Ctel,Dmel,Dpul,Drer,Emue,Exapal,Hsap,Hydvul,Ihof,Lcom,Lgig,Linana,Lpol,Mbre,Morvir,Nk52,Notgen,Nvec,Phoaus,Plafun,Ptyfla,Scil,Skow,Spis,Spom,Spur,Sros,Tadh,Tcas,Tthe	Eukaryota	Ancyromonadida,ApiDino,ArchaeCry,Basidiomycota,Blastocladiomycota,Bralan,CRuMs,Chytridiomycota,Clim,Euglenozoa,EvoDiscosea,Falb,Filasterea,Gyrista,Haptista,Helrob,Hemimastigophora,Jakobida,Malawimonadidae,Metamonada,Meteor,Mlei,Mucoromycota,Ocar,Oxytri,Platyhelminta,Ptet,Pygbif,Rall,Rhizaria,SarcCfra,Tardigrada,TetraPhary,Tetwil,Thraustochytrida,Ttra,Zoopagomycota,saccharomyceta	1	38	114
Bromodomain.HG3.8:like:KAT2A/KAT2B:likeclu:10	Cint,Ngru,Pavlsp,Phoaus,Rall	Eukaryota	Ambulacraria,Amobb2,Amoebozoa,Ancyromonadida,Annelida,ArchaeCry,ArtTardi,Bralan,CRuMs,Choanoflagellata,CniTri,Eufungi,Euglenozoa,Falb,Filasterea,Hemimastigophora,Jakobida,Linana,Malawimonadidae,Metamonada,Meteor,Mlei,Mollusca,Notgen,Phakir,Platyhelminta,Porifera,Prymnesiophyceae,Pygbif,SAR,Teretosporea,Ttra,Vertebrata	1	33	35
Bromodomain.HG3.9:like:KAT2A/KAT2B:likeclu:10	Bnat,Mcir,Pbla,Rhidel,Rirr	Eukaryota	Amoebozoa,Ancyromonadida,ArchaeCry,Blastocladiomycota,CRuMs,Chytridiomycota,Dikarya,Discoba,Falb,Haptista,Hemimastigophora,Holozoa,Malawimonadidae,Metamonada,Meteor,Morelo,Plabra,Pygbif,Rall,Retfil,StrAlv,Ttra,Umbram,Zoopagomycota	1	24	30
Bromodomain.HG4.0:like:ASH1L/PBRM1/SMARCA2/SMARCA4:likeclu:5/8	Amac,Andgod,Aplker,Ccin,Drer,Eimten,Hydvul,Jaklib,Mlei,Ncra,Ngad,Nutlon,Pavlsp,Plafun,Scil,Styinc,Umay	Eukaryota	Ambulacraria,Ancsig,Anthozoa,ArchaeCry,Bralan,CRuMs,Cang,Choanoflagellata,Chromerida,Chytridiomycota,Ciliata,Cint,Clyhem,Cneo,Demospongiae,DiatPelag,Dinozoa,Discicristata,EvoDiscosea,Fabtro,Falb,Filasterea,Hemimastigophora,Hsap,Jakbah,Lcom,Malawimonadidae,Metamonada,Meteor,Mucoromycota,Ocar,Oomycota,Pfal,Phaeophyceae,Plamic,Protostomia,Prymnesiophyceae,Pygbif,Rall,Recame,Rhizaria,Scer,ScyCubozoa,Secula,Spom,Tadh,Teretosporea,Tgon,Thraustochytrida,Tmel,Ttra,Zoopagomycota	1	52	83
Bromodomain.HG4.10:like:ASH1L/PBRM1/SMARCA2/SMARCA4:likeclu:5/8	Cint	Cint		1	0	1
Bromodomain.HG4.11:like:SMARCA2/SMARCA4:likeclu:8	Phatri	Phatri		1	0	1
Bromodomain.HG4.12:like:SMARCA2/SMARCA4:likeclu:8	Plafun	Plafun		1	0	1
Bromodomain.HG4.1:like:ASH1L/PBRM1/SMARCA2/SMARCA4:likeclu:5/8	Coerev,Morelo	TerFun	Concor,Dikarya,Mucorales,Rirr,Umbram	1	5	8
Bromodomain.HG4.2:like:ASH1L/PBRM1:likeclu:5	Bden,Carmem,Cneo,Cowc,Eimten,Gpro,Mpus,Otau,Scer,Spom,Spun,Tmel	Eukaryota	Amoebozoa,Ancyromonadida,Blastocladiomycota,CRuMs,Ccin,Choanozoa,Chromerida,Ciliata,Cpar,Cryptista,Dinozoa,DiploKip,Discoba,Falb,Haptista,Hemimastigophora,Malawimonadidae,Meteor,Mucoromycota,Mvib,Ncra,Pfal,Pisp,Pygbif,Rall,Rhizaria,Rhodophyta,Stramenopiles,Streptophyta,Teretosporea,Tetraphytina,Tgon,Ttra,Tvag,Umay,Zoopagomycota	1	36	50
Bromodomain.HG4.3:like:ASH1L/PBRM1/SMARCA2/SMARCA4:likeclu:5/8	Cavfas,Coka,Ddis,Esil,Hetalb,Pavlsp,Perkma,Phatri,Sappar	Eukaryota	Aano,Acas,Ancyromonadida,ApiChrom,ArchaeCry,CRuMs,Ciliata,Dinoflagellata,Discoba,Hemimastigophora,Labyrinthulea,Malawimonadidae,Masbal,Metamonada,Meteor,Ngad,Obazoa,PhytAlbu,Plafun,Prymnesiophyceae,Rhizaria,Tielac,Tpse	1	23	36
Bromodomain.HG4.4:like:ASH1L/PBRM1:likeclu:5	Cang,Ccin,Cneo,Coerev,Gpro,Hetalb,Morelo,Ncra,Pisp,Rall,Rirr,Scer,Spom,Spun,Tmel,Umay	Amorphea	Acas,Amac,Bden,Cavfas,Concor,Dictyosteliales,Falb,Holozoa,Masbal,Mucorales,Plafun,Pygbif,Ttra,Umbram	1	14	45
Bromodomain.HG4.5:ASH1L/PBRM1	Adig,Apla,Aque,Auraur,Bralan,Cfra,Cgig,Cint,Clim,Clyhem,Coerev,Concor,Cowc,Cscu,Ctel,Dmel,Dpul,Drer,Emue,Emul,Exapal,Hduj,Helrob,Hsap,Ihof,Lcom,Lgig,Linana,Lpol,Mbre,Mcir,Morvir,Mvib,Nk52,Notgen,Nutlon,Nvec,Ocar,Oxytri,Pbla,Phoaus,Ptyfla,Pygbif,Ramvar,Rhidel,Rigram,Sarc,Scil,Skow,Sman,Spis,Spur,Sros,Tadh,Tcas,Tetwil	Eukaryota	Amoebozoa,Ancsig,ApiDino,ArchaeCry,Blastocladiomycota,Chytridiomycota,Dikarya,Diprot,Discoba,Fabtro,Falb,Haptista,Hemimastigophora,Hydvul,Malawimonadidae,Manpla,Metamonada,Meteor,Mlei,MortGlom,Oligohymenophorea,Plamic,Rall,Rhizaria,Stramenopiles,Ttra,Umbram	1	27	180
Bromodomain.HG4.6:like:ASH1L/PBRM1/SMARCA2/SMARCA4:likeclu:5/8	Tvag,Umbram	Eukaryota	Amoebozoa,Ancyromonadida,Blastocladiomycota,CRuMs,Chytridiomycota,Diaphoratickes,Dikarya,Discoba,Falb,Fornicata,Hemimastigophora,Holozoa,Malawimonadidae,Meteor,MortGlomMuco,Pygbif,Rall,Ttra,Zoopagomycota	1	19	14
Bromodomain.HG4.7:like:SMARCA2/SMARCA4:likeclu:8	Acas,Alblai,Coka,Esil,Honfer,Mbre,Ngad,Oxytri,Phatri,Pinf,Plafun,Plamic,Ptet,Retfil,Sappar,Tthe,Vitbra	Eukaryota	Aano,Ancyromonadidae,Apicomplexa,Aplker,ArchaeCry,Aurlim,CRuMs,Cercozoa,Cvel,Dinozoa,Discoba,Evosea,Fabtro,Filasterea,Haptista,Hemimastigophora,Holomycota,Malawimonadidae,Metamonada,Metazoa,Meteor,Pygbif,Schagg,Sros,Teretosporea,Tpse,Ttra	1	27	53
Bromodomain.HG4.8:SMARCA2/SMARCA4	Adig,Alblai,Amac,Amobb2,Andgod,Apla,Aque,Atri,Auraur,Azfi,Bden,Bralan,Cang,Cavfas,Ccin,Cfra,Cgig,Cint,Clim,Clyhem,Cneo,Coka,Concor,Cowc,Cpar,Cscu,Ctel,Cvel,Diprot,Dmel,Dpul,Drer,Ehux,Emul,Esil,Exapal,Fabtro,Falb,Gefoke,Glam,Hduj,Helrob,Hetalb,Hsap,Hydvul,Ihof,Jakbah,Klenit,Lcom,Lgig,Linana,Lpol,Manpla,Marpol,Masbal,Mbre,Mcir,Meteor,Mlei,Morelo,Morvir,Ncra,Ngru,Nk52,Notgen,Nvec,Ocar,Pbla,Phakir,Phatri,Phoaus,Pinf,Pisp,Plafun,Plamic,Ppat,Ptyfla,Rall,Ramvar,Recame,Rhidel,Rigram,Rirr,Sacu,Sappar,Sarc,Scer,Scil,Secula,Skow,Sman,Smoe,Sphfal,Spis,Spom,Spun,Spur,Sros,Tadh,Tcas,Tgon,Tielac,Tmel,Tpse,Ttra,Tvag,Umay,Umbram,Vitbra	Eukaryota	Aano,Acas,Ancyromonadidae,Angiospermae,Carmem,Chabra,Chlorophyta,Chrtob,Ciliata,Coerev,Cryptista,Ddis,Dinozoa,Eimten,EphyTet,Euglenozoa,Gpro,Hemimastigophora,Jaklib,Kipbia,Labyrinthulea,Malawimonas,Mvib,Ngad,Pavlsp,Pfal,Pygbif,Rhizaria,Rhodophyta,Styinc	1	30	275
Bromodomain.HG4.9:like:ASH1L/PBRM1/SMARCA2/SMARCA4:likeclu:5/8	Mbre	Mbre		1	0	1
Bromodomain.HG5.0:ZMYND8/ZMYND11	Adig,Alblai,Amobb2,Apla,Aque,Bralan,Cgig,Cint,Coka,Cscu,Ctel,Dpul,Drer,Emue,Emul,Esil,Exapal,Gefoke,Hduj,Helrob,Hsap,Lcom,Lgig,Linana,Lpol,Mlei,Morvir,Notgen,Nvec,Ocar,Phatri,Phoaus,Pinf,Ptyfla,Ramvar,Sappar,Scil,Skow,Sman,Spis,Spur,Tcas,Tetwil,Tpse,Tvag,Ulvmut	Eukaryota	Aano,Alveolata,Amoebozoa,Ancyromonadida,Auraur,CRuMs,Caulen,Chlorophyceae,Choanoflagellata,Cpar,Cryptista,Dmel,Euglenozoa,Filasterea,Fornicata,Haptista,Hemimastigophora,Holomycota,Hydrozoa,Jakobida,Labyrinthulea,Malawimonas,Mamiellophyceae,Meteor,Ngad,Pygbif,Rhizaria,Rhodophyta,Streptophyta,Tadh,Teretosporea,TetraPhary,Trebouxiophyceae,Ttra	1	34	168
Bromodomain.HG5.1:SP100/SP140/SP140L/TRIM24/TRIM33/TRIM66	Adig,Apla,Auraur,Cgig,Cint,Clyhem,Cscu,Ctel,Dmel,Drer,Exapal,Helrob,Hsap,Hydvul,Lgig,Linana,Lpol,Morvir,Notgen,Nvec,Ocar,Phoaus,Pisp,Ptyfla,Scil,Skow,Spis,Spur,Tcas,Tvag,Umbram	Eukaryota	Amoebozoa,Ancyromonadida,Blastocladiomycota,Bralan,CRuMs,Choanoflagellata,Chytridiomycetes,Demospongiae,Diaphoratickes,Dikarya,Discoba,Dpul,Falb,Filasterea,Fornicata,Gpro,Hemimastigophora,Lcom,Malawimonadidae,Meteor,Mlei,MortGlomMuco,Platyhelminta,Pygbif,Rall,Tadh,Tardigrada,Teretosporea,Ttra,Zoopagomycota	1	30	100
Bromodomain.HG5.2:BAZ1A/BAZ1B/BAZ2A/BAZ2B	Adig,Alblai,Amac,Apla,Aplker,Aque,Atri,Auraur,Aurlim,Bralan,Carmem,Cgig,Cint,Clyhem,Coka,Cscu,Ctel,Dmel,Dpul,Drer,Emue,Emul,Esil,Exapal,Helrob,Honfer,Hsap,Hydvul,Klenit,Lcom,Lgig,Linana,Lpol,Mbre,Mgut,Mlei,Morvir,Notgen,Nvec,Ocar,Oxytri,Perkma,Phatri,Phoaus,Pinf,Ppat,Scil,Skow,Sman,Sphfal,Spis,Spur,Sros,Tadh,Tcas,Tetwil,Tvag	Eukaryota	Aano,Acoe,Amoebozoa,Ancyromonadida,ApiChrom,Atha,CRuMs,Cang,Chabra,Chlorophyta,Chytridiomycota,Cpar,Cryptista,Dinoflagellata,DiploKip,Discoba,Falb,Filasterea,Haptista,Hemimastigophora,Malawimonadidae,Marpol,Meteor,Monocots,Ngad,Oligohymenophorea,Polypodiopsida,Ptyfla,Pygbif,Rall,Rhizaria,Rhodophyta,Sappar,Schagg,Smoe,Tardigrada,TerFun,Teretosporea,Tpse,Ttra	1	40	231
Bromodomain.HG5.3:like:BAZ1A/BAZ1B/BAZ2A/BAZ2B:likeclu:2	Cvel,Eimten,Ngad,Tgon	StrAlv	Ciliata,DiatPelag,Dinozoa,Labyrinthulea,Oomycota,Pfal,Phaeophyceae,Vitbra	1	8	15
Bromodomain.HG5.4:like:BAZ1A/BAZ1B/BAZ2A/BAZ2B:likeclu:2	Cocsub,Lcom,Linana,Ngad	Eukaryota	Alveolata,Amoebozoa,Ancyromonadida,Annelida,ArtTardi,CRuMs,ChlorUlvophy,Choanoflagellata,CniTri,Cpar,Cryptista,Cvar,Demospongiae,Deuterostomia,DiatPelag,Discoba,Filasterea,Haptista,Hemimastigophora,Holomycota,Labyrinthulea,Malawimonadidae,Mamiellophyceae,Metamonada,Meteor,Mlei,Mollusca,Notgen,Ocar,Oomycota,Phaeophyceae,Phoaus,Platyhelminta,Pygbif,Rhizaria,Rhodophyta,Scil,Streptophyta,Teretosporea,Ttra	1	40	41
Bromodomain.HG5.5:like:BAZ1A/BAZ1B/BAZ2A/BAZ2B:likeclu:2	Aplker	Aplker		1	0	1
Bromodomain.HG6.0:TAF1/TAF1L	Aano,Acas,Acoe,Adig,Alblai,Amac,Amobb2,Andgod,Apla,Aplker,Aque,Atha,Atri,Auraur,Aurlim,Azfi,Bden,Bdis,Bnat,Bralan,Cang,Carmem,Caulen,Cavfas,Cfra,Cgig,Chabra,Chocri,Cint,Clim,Clyhem,Cmer,Cneo,Cocsub,Coka,Cowc,Crei,Cscu,Ctel,Cvar,Cvel,Ddis,Diprot,Dmel,Dpul,Drer,Ehux,Eimten,Emue,Emul,Esil,Exapal,Fabtro,Gefoke,Gonavo,Gracho,Gthe,Hduj,Helrob,Hetalb,Honfer,Hsap,Ihof,Kipbia,Klenit,Lcom,Lgig,Linana,Lpol,Malcal,Maljak,Manpla,Marpol,Meteor,Mlei,Morelo,Morvir,Mpus,Ngad,Ngru,Nk52,Notgen,Nutlon,Nvec,Ocar,Otau,Oxytri,Pavlsp,Phakir,Phatri,Phoaus,Pinf,Plabra,Plafun,Plamic,Porpur,Ppat,Pygbif,Rall,Ramvar,Recame,Retfil,Rigram,Rirr,Sacu,Sappar,Sarc,Sbic,Schagg,Scil,Secula,Skow,Sman,Smoe,Sphfal,Spis,Spun,Spur,Sros,Styinc,Tadh,Tcas,Tcru,Tetwil,Tgon,Tielac,Tpse,Ttra,Tvag,Vcar,Vitbra	Eukaryota	Ancsig,Ascomycota,Bodsal,Ccin,Chrtob,Cpar,Dinozoa,Falb,Glam,Hemimastigophora,Hydvul,Jakoba,LeisStri,Masbal,Mbre,Mgut,MonoblNeocal,Mucorales,Mvib,Oligohymenophorea,Pfal,Porumb,Ptyfla,Ulvmut,Umay,Umbram,Zoopagomycota	1	27	337
Bromodomain.HG7.0:like:BRWD1/BRWD3/PHIP:likeclu:1	Cmer,Tetwil	Eukaryota	Amoebozoa,Ancyromonadida,Aque,BilCniTri,CRuMs,Choanoflagellata,Cpar,Cryptista,Discoba,Emue,EurhPorp,Filasterea,Hemimastigophora,Holomycota,HomoCalc,Malawimonadidae,Metamonada,Meteor,Mlei,Pygbif,SARHap,Teretosporea,Ttra,Viridiplantae	1	24	19
Bromodomain.HG7.1:BRWD1/BRWD3/PHIP	Aano,Acas,Adig,Alblai,Amobb2,Ancsig,Apla,Aplker,Aque,Atha,Atri,Auraur,Azfi,Bden,Bnat,Bralan,Caulen,Cavfas,Cfra,Cgig,Chabra,Chocri,Cint,Clim,Clyhem,Cocsub,Coerev,Coka,Cowc,Crei,Cscu,Ctel,Cvar,Cvel,Ddis,Diprot,Dmel,Dpul,Drer,Ehux,Emue,Emul,Esil,Exapal,Fabtro,Falb,Glam,Gonavo,Gpro,Gracho,Hduj,Helrob,Hetalb,Honfer,Hsap,Hydvul,Ihof,Lcom,Lgig,Linana,Lpol,Manpla,Marpol,Mbre,Mcir,Meteor,Mgut,Mlei,Morelo,Morvir,Nk52,Notgen,Nutlon,Nvec,Ocar,Otau,Oxytri,Phatri,Phoaus,Pinf,Pisp,Plabra,Plafun,Plamic,Porumb,Ppat,Ptet,Ptyfla,Ramvar,Retfil,Rigram,Rirr,Sacu,Sappar,Sarc,Sbic,Schagg,Scil,Skow,Sman,Sphfal,Spis,Spun,Spur,Sros,Tadh,Tcas,Tetwil,Tielac,Tthe,Ttra,Tvag,Umbram,Vcar,Vitbra	Eukaryota	Acoe,Apicomplexa,Aurlim,Bdis,Blastocladiomycota,Carmem,Chrtob,Cmer,Concor,Cpar,Dikarya,Dinozoa,Euglenozoa,Gthe,Hemimastigophora,Jakobida,Kipbia,Klenit,Malawimonadidae,Masbal,Mpus,Mvib,Ngad,Pavlsp,Pbla,Porpur,Pygbif,Rall,Rhidel,Smoe,TetraPhary,Tpse,Ulvmut	1	33	283
Bromodomain.HG8.0:ATAD2/ATAD2B	Acas,Acoe,Adig,Alblai,Amobb2,Ancsig,Apla,Aque,Atha,Atri,Azfi,Bdis,Bnat,Bralan,Cavfas,Cfra,Cgig,Chabra,Chocri,Clyhem,Cmer,Cneo,Cowc,Crei,Cscu,Cvar,Ddis,Dpul,Drer,Emue,Emul,Esil,Exapal,Gefoke,Gracho,Helrob,Hetalb,Hsap,Hydvul,Jakbah,Jaklib,Klenit,Lcom,Lgig,Linana,Lpol,Malcal,Maljak,Marpol,Mbre,Meteor,Mgut,Mlei,Morelo,Morvir,Mpus,Ngru,Nk52,Notgen,Nvec,Ocar,Otau,Phoaus,Pinf,Plafun,Porpur,Porumb,Ppat,Ptyfla,Pygbif,Recame,Sacu,Sappar,Sarc,Sbic,Scil,Secula,Skow,Sman,Smoe,Sphfal,Spis,Spun,Spur,Sros,Tadh,Tcas,Tetwil,Tielac,Ttra,Tvag,Umbram	Eukaryota	Alveolata,Andalucina,Ascomycota,Auraur,Bden,Blastocladiomycota,CRuMs,Ccin,Cint,Clim,Cocsub,Coka,Cpar,Cryptista,Ctel,DiatPelag,Dmel,Euglenozoa,Fabtro,Falb,Fornicata,Haptista,Hemimastigophora,Ihof,Labyrinthulea,Masbal,MonoblNeocal,Mucorales,Mvib,Ngad,Nutlon,Phakir,Plabra,Plamic,Rall,Retfil,Rirr,Tardigrada,Ulvophyceae,Umay,Vcar,Zoopagomycota	1	42	230
CAF1A.HG1.0:CHAF1A	Aano,Acoe,Adig,Alblai,Amac,Amobb2,Andgod,Apla,Aplker,Aque,Atha,Atri,Aurlim,Azfi,Bden,Bdis,Bnat,Bodsal,Bralan,Cang,Carmem,Caulen,Cavfas,Ccin,Cfra,Cgig,Chabra,Chocri,Chrtob,Clim,Clyhem,Cmer,Cneo,Cocsub,Coerev,Coka,Concor,Cowc,Crei,Cscu,Ctel,Cvar,Cvel,Ddis,Diprot,Dmel,Dpul,Drer,Emue,Emul,Esil,Exapal,Gefoke,Gonavo,Gpro,Gracho,Gthe,Hduj,Helrob,Hetalb,Honfer,Hsap,Hydvul,Ihof,Jakbah,Jaklib,Klenit,Lcom,Lepsey,Linana,Lmaj,Lpol,Malcal,Maljak,Marpol,Masbal,Mbre,Mcir,Mgut,Mlei,Morelo,Morvir,Ncra,Ngad,Nk52,Notgen,Nvec,Otau,Oxytri,Perkma,Phakir,Phatri,Phoaus,Pinf,Plabra,Plafun,Plamic,Porumb,Ppat,Ptet,Ptyfla,Pygbif,Rall,Ramvar,Recame,Rhidel,Rigram,Sacu,Sappar,Sarc,Sbic,Scer,Schagg,Scil,Secula,Skow,Sman,Smoe,Sphfal,Spimul,Spis,Spom,Spun,Spur,Sros,Tadh,Tcas,Tcru,Tetwil,Tielac,Tmel,Tpse,Tthe,Ttra,Ulvmut,Umay,Umbram,Vcar	Eukaryota	Acas,Ancyromonadidae,Apicomplexa,Auraur,Cint,Cpar,Dinoflagellata,DiploKip,Ehux,Fabtro,Falb,Hemkuk,Lgig,Manpla,Meteor,Mpus,Mvib,Ngru,Ocar,Pavlsp,Pbla,Pisp,Porpur,Retfil,Rirr,Strcul,Styinc,Tvag,Vitbra	1	29	312
CAF1C.HG1.0:like:RBBP4/RBBP7:likeclu:1	Acoe,Aplker,Atha,Atri,Aurlim,Azfi,Bdis,Bodsal,Bremin,Carmem,Chabra,Cocsub,Cvar,Glam,Gracho,Gthe,Honfer,Klenit,Lepsey,Lmaj,Marpol,Mgut,Mpus,Otau,Oxytri,Ppat,Ptet,Sacu,Sbic,Schagg,Sphfal,Strcul,Symmic,Tcru,Tthe,Vcar	Eukaryota	AmorCRUM,Ancyromonadida,ApiChrom,Chocri,Cmer,Cpar,Crei,Gonavo,Gyrista,Haptista,Hemimastigophora,Heterolobosea,Jakobida,Kipbia,Malawimonadidae,Meteor,Perkma,Porpur,Porumb,Rhizaria,Smoe,Tvag,Ulvophyceae	1	23	92
CAF1C.HG1.1:RBBP4/RBBP7	Aano,Acas,Acoe,Adig,Amac,Amobb2,Ancsig,Andgod,Apla,Aplker,Aque,Atha,Atri,Aurlim,Azfi,Bden,Bdis,Bnat,Bralan,Cang,Caulen,Cavfas,Ccin,Cfra,Cgig,Chabra,Chocri,Chrtob,Cint,Clim,Clyhem,Cmer,Cneo,Cocsub,Coerev,Coka,Concor,Cowc,Cpar,Crei,Cscu,Ctel,Cvar,Cvel,Ddis,Diprot,Dmel,Dpul,Drer,Ehux,Eimten,Emue,Emul,Esil,Exapal,Falb,Gefoke,Gonavo,Gpro,Gracho,Gthe,Hduj,Helrob,Hemkuk,Hetalb,Honfer,Hsap,Hydvul,Ihof,Jakbah,Jaklib,Klenit,Lcom,Lepsey,Lgig,Linana,Lmaj,Lpol,Malcal,Maljak,Marpol,Masbal,Mbre,Mcir,Mgut,Mlei,Morelo,Morvir,Mpus,Mvib,Ncra,Ngad,Ngru,Nk52,Notgen,Nutlon,Nvec,Otau,Oxytri,Pbla,Perkma,Pfal,Phakir,Phatri,Phoaus,Pinf,Pisp,Plabra,Plafun,Plamic,Porpur,Ppat,Ptet,Ptyfla,Pygbif,Rall,Ramvar,Recame,Retfil,Rhidel,Rigram,Rirr,Sacu,Sappar,Sarc,Sbic,Scer,Schagg,Scil,Secula,Skow,Sman,Smoe,Sphfal,Spis,Spom,Spun,Spur,Sros,Strcul,Styinc,Tadh,Tcas,Tetwil,Tgon,Tielac,Tmel,Tpse,Tthe,Ttra,Ulvmut,Umay,Umbram,Vcar,Vitbra	Eukaryota	Alblai,Auraur,Bodsal,Dinoflagellata,Fabtro,Manpla,Metamonada,Meteor,Ocar,Pavlsp,Porumb,Spimul,Tcru	1	13	389
CAF1C.HG2.0:like:GRWD1:likeclu:1	Bodsal,Glam,Lcom,Lepsey,Lmaj,Strcul,Tcru,Tvag	Eukaryota	Amoebozoa,Ancyromonadida,BilCniTri,CRuMs,Carmem,Choanoflagellata,Demospongiae,Diaphoratickes,Filasterea,Hemimastigophora,Heterolobosea,Holomycota,Jakobida,Kipbia,Malawimonadidae,Meteor,Mlei,Ocar,Pygbif,Scil,Teretosporea,Ttra	1	22	30
CAF1C.HG2.1:GRWD1	Aano,Acoe,Alblai,Amac,Amobb2,Ancsig,Andgod,Apla,Aplker,Aque,Atha,Atri,Auraur,Aurlim,Azfi,Bden,Bdis,Bnat,Bremin,Cang,Caulen,Cavfas,Ccin,Cfra,Cgig,Chabra,Chocri,Chrtob,Cint,Clim,Cmer,Cneo,Cocsub,Coerev,Concor,Cowc,Crei,Cscu,Ctel,Cvar,Cvel,Ddis,Diprot,Dmel,Dpul,Drer,Ehux,Eimten,Emue,Emul,Esil,Exapal,Fabtro,Gefoke,Gonavo,Gpro,Gracho,Gthe,Hduj,Helrob,Hemkuk,Hetalb,Honfer,Hsap,Ihof,Jakbah,Klenit,Lcom,Lgig,Linana,Lpol,Malcal,Maljak,Marpol,Mbre,Mcir,Meteor,Mgut,Mlei,Morelo,Morvir,Mpus,Ncra,Ngad,Nk52,Notgen,Nutlon,Nvec,Otau,Oxytri,Pavlsp,Pbla,Perkma,Pfal,Phakir,Phatri,Phoaus,Pinf,Pisp,Plabra,Plafun,Plamic,Porpur,Ppat,Ptet,Pygbif,Rall,Ramvar,Recame,Rhidel,Rirr,Sacu,Sappar,Sarc,Sbic,Scer,Schagg,Scil,Secula,Skow,Sman,Smoe,Sphfal,Spis,Spom,Spun,Spur,Sros,Styinc,Tadh,Tcas,Tetwil,Tgon,Tielac,Tmel,Tpse,Tthe,Ttra,Ulvmut,Umay,Umbram,Vcar,Vitbra	Eukaryota	Acas,Adig,Bralan,Coka,Cpar,Euglenozoa,Falb,Hydrozoa,Jaklib,Manpla,Masbal,Metamonada,Mvib,Ngru,Ocar,Porumb,Ptyfla,Retfil,Rigram,Spimul,Symmic	1	21	317
CHZ.HG1.0:HIRIP3	Acoe,Amac,Atha,Bden,Bdis,Ccin,Cfra,Coka,Crei,Drer,Exapal,Hsap,Maljak,Manpla,Mgut,Morelo,Mpus,Ncra,Nk52,Pisp,Rall,Rhidel,Rigram,Sarc,Sbic,Scer,Spis,Spom,Spun,Umay,Umbram,Vcar	Eukaryota	Adig,Alveolata,Ambulacraria,Amoebozoa,Ancyromonadida,Atri,Bralan,Bryophyta,Cang,Charophyta,Choanoflagellata,Cint,Clim,Cneo,Cpar,Cryptista,DiatPelag,Diprot,Discoba,Esil,Falb,Filasterea,Gefoke,Gpro,Haptista,Hemimastigophora,HydScyCubozoa,Ihof,Labyrinthulea,Malcal,Marpol,Mcir,Metamonada,Meteor,Mlei,Ngad,Nvec,Oomycota,Otau,Pbla,Polypodiopsida,Porifera,Protostomia,Pygbif,Rhizaria,Rhodophyta,Rirr,Smoe,Tadh,Tmel,Trebouxiophyceae,Ttra,Ulvophyceae,Zoopagomycota	1	54	112
Chromo.HG1.0:SUV39H1/SUV39H2	Apla,Bralan,Cgig,Cint,Clyhem,Coerev,Concor,Cscu,Ctel,Dmel,Dpul,Drer,Ehux,Gefoke,Gthe,Hduj,Helrob,Hsap,Hydvul,Lcom,Linana,Lpol,Mlei,Ngru,Notgen,Nutlon,Ocar,Pavlsp,Perkma,Phoaus,Ptyfla,Ramvar,Rhidel,Rirr,Scil,Skow,Sman,Spom,Spun,Spur,Sros,Tcas,Tvag,Vitbra	Eukaryota	Amobb2,Amoebozoa,Ancsig,Anthozoa,Apicomplexa,Archaeplastida,Basidiomycota,Bden,Blastocladiomycota,CRuMs,Chrtob,Ciliata,Cvel,Demospongiae,Dinoflagellata,Emul,Euglenozoa,Fabtro,Falb,Filasterea,Fornicata,Gonavo,Hemimastigophora,Jakobida,Lgig,Malawimonas,Mbre,Mcir,Meteor,MonoblNeocal,Morelo,Pbla,Phakir,Plamic,Pygbif,Rall,Rhizaria,ScyCubozoa,Stramenopiles,Tadh,Teretosporea,Ttra,Umbram,saccharomyceta	1	44	140
Chromo.HG1.10:like:CBX1/CBX3/CBX5:likeclu:9	Retfil,Tvag	Eukaryota	AmorCRUM,Ancyromonadida,ArchaeCry,Cercozoa,Discoba,Fornicata,Haptista,Hemimastigophora,Malawimonadidae,Meteor,StrAlv	1	11	9
