Orthogroup	Orthogroup annotation	Gene family	Gene type	Num genes	Num species	Num lineages	LECA presence probability	LECA presence support	Closest homologs in...	Closest homologs score	Consensus architecture	Hsap symbol	Dmel symbol	Scer symbol	Atha symbol
SET.HG3.6	like:KMT2A/KMT2B/KMT2C/KMT2D/SETD1A/SETD1B	SET	Methylase	10	8	4	0.631	NA	Other eukaryotic	0.725	SET	NA	NA	NA	NA
SET.HG1.42	like:SMYD1/SMYD2/SMYD3/SMYD4/SMYD5	SET	Methylase	10	8	4	0.538	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG1.60	like:SMYD1/SMYD2/SMYD3/SMYD4/SMYD5	SET	Methylase	6	4	4	0.532	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG1.18	like:SMYD1/SMYD2/SMYD3	SET	Methylase	16	15	4	0.476	NA	Other eukaryotic	1.000	SET,zf-MYND	NA	NA	NA	NA
SET.HG1.32	like:SMYD1/SMYD2/SMYD3/SMYD4/SMYD5	SET	Methylase	9	8	4	0.379	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG2.14	like:SETD3/SETD4	SET	Methylase	11	9	4	0.226	NA	Other eukaryotic	0.896	SET	NA	NA	NA	NA
SET.HG1.73	like:SMYD1/SMYD2/SMYD3/SMYD4/SMYD5	SET	Methylase	7	5	4	0.189	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG2.13	like:SETD3/SETD4	SET	Methylase	9	5	4	0.139	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG1.2	like:SMYD1/SMYD2/SMYD3/SMYD4/SMYD5	SET	Methylase	17	12	4	0.080	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG3.16	like:KMT2A/KMT2B/KMT2C/KMT2D	SET	Methylase	26	21	4	0.058	NA	Other eukaryotic	0.968	No consensus	NA	NA	NA	NA
SET.HG1.48	like:SMYD1/SMYD2/SMYD3/SMYD4/SMYD5	SET	Methylase	10	7	4	0.057	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG1.17	like:SMYD1/SMYD2/SMYD3/SMYD4/SMYD5	SET	Methylase	7	6	4	0.047	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG12.0	NA	SET	Methylase	14	12	4	0.017	NA	Other eukaryotic	0.765	SET	NA	NA	NA	NA
SET.HG14.0	NA	SET	Methylase	11	10	4	0.002	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG1.12	like:SMYD1/SMYD2/SMYD3/SMYD4/SMYD5	SET	Methylase	5	5	4	0.001	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG1.53	like:SMYD5	SET	Methylase	12	11	4	0.000	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG2.11	like:SETD3/SETD4	SET	Methylase	8	7	3	0.990	AmorCRUM,Ancyromonadida,Diaphoratickes	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG1.51	like:SMYD1/SMYD2/SMYD3/SMYD4/SMYD5	SET	Methylase	7	7	3	0.928	AmorCRUM,Discoba	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG7.2	PRDM1/PRDM2/PRDM6/PRDM14	SET	Methylase	147	40	3	0.912	AmorCRUM	Other eukaryotic	0.821	SET,zf-C2H2	PRDM2,PRDM14,PRDM6,PRDM1	NA	NA	NA
SET.HG4.3	like:KMT2E/SETD5	SET	Methylase	55	38	3	0.907	AmorCRUM,Diaphoratickes	Other eukaryotic	1.000	SET	NA	NA	NA	ATXR3
SET.HG2.31	like:SETD3/SETD4	SET	Methylase	27	22	3	0.758	NA	Other eukaryotic	0.959	SET,Rubis-subs-bind	NA	NA	NA	NA
SET.HG5.4	like:EHMT1/EHMT2/SETDB1/SETDB2/SUV39H1/SUV39H2	SET	Methylase	15	11	3	0.647	NA	Other eukaryotic	1.000	Pre-SET,SET	NA	NA	NA	NA
SET.HG6.3	like:KMT5A	SET	Methylase	21	14	3	0.500	NA	Other eukaryotic	0.907	SET	NA	NA	NA	NA
SET.HG4.6	like:ASH1L/NSD1/NSD2/NSD3/SETD2	SET	Methylase	28	14	3	0.484	NA	Other eukaryotic	0.832	SET	NA	NA	NA	NA
SET.HG1.62	like:SMYD5	SET	Methylase	3	3	3	0.477	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG2.28	like:SETD3/SETD4	SET	Methylase	11	7	3	0.421	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG1.0	like:SMYD1/SMYD2/SMYD3/SMYD4/SMYD5	SET	Methylase	10	9	3	0.125	NA	Other eukaryotic	0.900	SET	NA	NA	NA	NA
SET.HG5.0	like:SETMAR	SET	Methylase	4	4	3	0.094	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG3.5	like:KMT2A/KMT2B/KMT2C/KMT2D/SETD1A/SETD1B	SET	Methylase	4	4	3	0.058	NA	Other eukaryotic	0.588	SET	NA	NA	NA	NA
SET.HG1.58	like:SMYD1/SMYD2/SMYD3/SMYD4/SMYD5	SET	Methylase	15	12	3	0.050	NA	Other eukaryotic	0.932	SET	NA	NA	NA	NA
SET.HG3.21	KMT2C/KMT2D	SET	Methylase	55	37	3	0.047	NA	Other eukaryotic	1.000	zf-HC5HC2H,PHD,zf-HC5HC2H_2,FYRN,FYRC,SET	KMT2C,KMT2D	trr	NA	NA
SET.HG1.65	like:SMYD1/SMYD2/SMYD3/SMYD4/SMYD5	SET	Methylase	6	5	3	0.046	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG11.0	NA	SET	Methylase	14	9	3	0.025	NA	Other eukaryotic	1.000		NA	NA	NA	NA
SET.HG4.7	like:ASH1L/NSD1/NSD2/NSD3/SETD2	SET	Methylase	29	18	3	0.023	NA	Other eukaryotic	1.000	PHD	NA	NA	NA	ATXR5,ATXR6
SET.HG3.7	like:KMT2A/KMT2B/KMT2C/KMT2D/SETD1A/SETD1B	SET	Methylase	4	4	3	0.021	NA	Other eukaryotic	1.000	JmjC	NA	NA	NA	NA
SET.HG5.5	like:EHMT1/EHMT2/SETDB1/SETDB2/SUV39H1/SUV39H2	SET	Methylase	16	10	3	0.021	NA	Other eukaryotic	0.733	SET	NA	NA	NA	NA
SET.HG1.7	like:SMYD1/SMYD2/SMYD3/SMYD4/SMYD5	SET	Methylase	4	3	3	0.007	NA	Other eukaryotic	1.000	SET,zf-MYND	NA	NA	NA	NA
SET.HG3.9	like:KMT2A/KMT2B/KMT2C/KMT2D/SETD1A/SETD1B	SET	Methylase	3	3	3	0.006	NA	Bacteria	0.679	SET	NA	NA	NA	NA
SET.HG1.21	like:SMYD1/SMYD2/SMYD3/SMYD4/SMYD5	SET	Methylase	4	4	3	0.005	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG1.67	like:SMYD1/SMYD2/SMYD3/SMYD4/SMYD5	SET	Methylase	6	5	3	0.003	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG1.24	like:SMYD1/SMYD2/SMYD3/SMYD4/SMYD5	SET	Methylase	8	6	3	0.002	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG15.1	NA	SET	Methylase	6	5	3	0.001	NA	Other eukaryotic	1.000		NA	NA	NA	NA
SET.HG1.40	like:SMYD1/SMYD2/SMYD3/SMYD4/SMYD5	SET	Methylase	8	3	3	0.001	NA	Other eukaryotic	1.000	zf-MYND,SET	NA	NA	NA	NA
SET.HG1.41	like:SMYD1/SMYD2/SMYD3/SMYD4/SMYD5	SET	Methylase	9	7	3	0.000	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG1.39	like:SMYD1/SMYD2/SMYD3/SMYD4/SMYD5	SET	Methylase	6	6	2	0.783	NA	Other eukaryotic	0.667	SET	NA	NA	NA	NA
SET.HG2.34	like:SETD3/SETD4	SET	Methylase	12	12	2	0.708	NA	Other eukaryotic	1.000	SET,Rubis-subs-bind	NA	NA	NA	NA
SET.HG4.0	like:ASH1L/KMT2E/NSD1/NSD2/NSD3/SETD2/SETD5	SET	Methylase	8	8	2	0.516	NA	Other eukaryotic	1.000	No consensus	NA	NA	NA	NA
SET.HG3.4	like:KMT2A/KMT2B/KMT2C/KMT2D/SETD1A/SETD1B	SET	Methylase	9	6	2	0.427	NA	Bacteria	0.586	SET	NA	NA	NA	NA
SET.HG2.40	like:SETD3/SETD4	SET	Methylase	9	8	2	0.409	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG2.12	like:SETD3/SETD4	SET	Methylase	15	11	2	0.389	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG2.6	like:SETD6	SET	Methylase	8	8	2	0.363	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG2.30	like:SETD3/SETD4	SET	Methylase	4	4	2	0.197	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG1.1	like:SMYD1/SMYD2/SMYD3/SMYD4/SMYD5	SET	Methylase	4	4	2	0.193	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG2.38	like:SETD3/SETD4	SET	Methylase	7	6	2	0.160	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG1.47	like:SMYD1/SMYD2/SMYD3/SMYD4/SMYD5	SET	Methylase	6	4	2	0.108	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG2.23	like:SETD3/SETD4	SET	Methylase	5	3	2	0.084	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG1.35	like:SMYD1/SMYD2/SMYD3/SMYD4/SMYD5	SET	Methylase	8	8	2	0.075	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG2.37	like:SETD3/SETD4	SET	Methylase	5	5	2	0.065	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG1.31	like:SMYD1/SMYD2/SMYD3/SMYD4/SMYD5	SET	Methylase	8	7	2	0.065	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG3.12	like:SETD1A/SETD1B	SET	Methylase	10	9	2	0.058	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG2.39	like:SETD3/SETD4	SET	Methylase	11	9	2	0.057	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG1.55	like:SMYD1/SMYD2/SMYD3/SMYD4/SMYD5	SET	Methylase	9	6	2	0.035	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG3.3	like:KMT2A/KMT2B/KMT2C/KMT2D/SETD1A/SETD1B	SET	Methylase	7	6	2	0.020	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG3.18	like:KMT2A/KMT2B/KMT2C/KMT2D	SET	Methylase	3	3	2	0.013	NA	Other eukaryotic	1.000	PHD,SET,Ribosom_S12_S23	NA	NA	NA	NA
SET.HG2.21	like:SETD3/SETD4	SET	Methylase	6	5	2	0.008	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG1.37	like:SMYD1/SMYD2/SMYD3/SMYD4/SMYD5	SET	Methylase	9	8	2	0.008	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG2.36	like:SETD3/SETD4	SET	Methylase	3	2	2	0.006	NA	Other eukaryotic	0.750	SET,Rubis-subs-bind	NA	NA	NA	NA
SET.HG9.0	KMT5B/KMT5C	SET	Methylase	75	60	2	0.004	NA	Bacteria	1.000	SET	KMT5C,KMT5B	Hmt4-20	NA	NA
SET.HG1.59	like:SMYD1/SMYD2/SMYD3/SMYD4/SMYD5	SET	Methylase	3	3	2	0.004	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG1.52	like:SMYD1/SMYD2/SMYD3/SMYD4/SMYD5	SET	Methylase	2	2	2	0.003	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG3.14	like:KMT2A/KMT2B/KMT2C/KMT2D	SET	Methylase	11	5	2	0.002	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG1.20	like:SMYD5	SET	Methylase	2	2	2	0.002	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG1.14	like:SMYD1/SMYD2/SMYD3/SMYD4/SMYD5	SET	Methylase	12	10	2	0.001	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG1.34	like:SMYD1/SMYD2/SMYD3/SMYD4/SMYD5	SET	Methylase	6	5	2	0.001	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG2.20	like:SETD3/SETD4	SET	Methylase	2	2	2	0.001	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG2.0	like:SETD6	SET	Methylase	2	2	2	0.001	NA	Other eukaryotic	1.000		NA	NA	NA	NA
SET.HG2.1	like:SETD6	SET	Methylase	4	3	2	0.001	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG2.22	like:SETD3/SETD4	SET	Methylase	3	3	2	0.001	NA	Other eukaryotic	1.000	SET,Rubis-subs-bind	NA	NA	NA	NA
SET.HG1.33	like:SMYD1/SMYD2/SMYD3/SMYD4/SMYD5	SET	Methylase	9	3	2	0.001	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG1.3	like:SMYD1/SMYD2/SMYD3/SMYD4/SMYD5	SET	Methylase	3	3	2	0.001	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG3.1	like:KMT2A/KMT2B/KMT2C/KMT2D/SETD1A/SETD1B	SET	Methylase	2	2	2	0.001	NA	Other eukaryotic	0.667	SET,BNR_2	NA	NA	NA	NA
SET.HG1.10	like:SMYD1/SMYD2/SMYD3	SET	Methylase	5	5	2	0.000	NA	Other eukaryotic	0.800	SET	NA	NA	NA	NA
SET.HG6.5	like:KMT5A	SET	Methylase	2	2	2	0.000	NA	Other eukaryotic	1.000	Chromo,SET	NA	NA	NA	NA
SET.HG13.0	NA	SET	Methylase	11	6	2	0.000	NA	NA	NA	SET	NA	NA	NA	NA
SET.HG3.10	like:SETD1A/SETD1B	SET	Methylase	7	4	2	0.000	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG2.33	like:SETD3/SETD4	SET	Methylase	5	5	1	0.153	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG2.35	like:SETD3/SETD4	SET	Methylase	13	5	1	0.054	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG2.27	like:SETD3/SETD4	SET	Methylase	5	5	1	0.053	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG2.26	like:SETD3/SETD4	SET	Methylase	15	6	1	0.048	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG1.80	like:SMYD1/SMYD2/SMYD3/SMYD4/SMYD5	SET	Methylase	1	1	1	0.046	NA	Other eukaryotic	1.000	SET,zf-MYND	NA	NA	NA	NA
SET.HG2.29	like:SETD3/SETD4	SET	Methylase	2	2	1	0.024	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG1.38	like:SMYD1/SMYD2/SMYD3/SMYD4/SMYD5	SET	Methylase	13	6	1	0.021	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG1.78	like:SMYD5	SET	Methylase	1	1	1	0.020	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG2.2	like:SETD3/SETD4	SET	Methylase	2	2	1	0.016	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG1.79	like:SMYD1/SMYD2/SMYD3/SMYD4/SMYD5	SET	Methylase	1	1	1	0.013	NA	NA	NA	SET,zf-MYND	NA	NA	NA	NA
SET.HG1.25	like:SMYD1/SMYD2/SMYD3/SMYD4/SMYD5	SET	Methylase	2	2	1	0.011	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG2.41	like:SETD3/SETD4	SET	Methylase	20	17	1	0.011	NA	Other eukaryotic	1.000	SET,Rubis-subs-bind	NA	NA	NA	PTAC14
SET.HG2.15	like:SETD3/SETD4	SET	Methylase	9	4	1	0.010	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG2.32	like:SETD3/SETD4	SET	Methylase	3	3	1	0.009	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG1.77	like:SMYD1/SMYD2/SMYD3/SMYD4/SMYD5	SET	Methylase	1	1	1	0.006	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG2.44	like:SETD3/SETD4	SET	Methylase	1	1	1	0.006	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG6.2	like:KMT5A	SET	Methylase	13	7	1	0.004	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG1.6	like:SMYD1/SMYD2/SMYD3/SMYD4/SMYD5	SET	Methylase	2	2	1	0.003	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG6.11	like:KMT5A	SET	Methylase	49	10	1	0.002	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG7.1	like:PRDM1/PRDM2/PRDM6/PRDM14	SET	Methylase	7	3	1	0.002	NA	Other eukaryotic	1.000	Rhomboid,SET,DnaJ,Ion_trans	NA	NA	NA	NA
SET.HG2.47	like:SETD3/SETD4	SET	Methylase	1	1	1	0.002	NA	Other eukaryotic	1.000	SET,Rubis-subs-bind	NA	NA	NA	NA
SET.HG2.48	like:SETD3/SETD4	SET	Methylase	1	1	1	0.002	NA	Other eukaryotic	1.000	SET,Rubis-subs-bind	NA	NA	NA	NA
SET.HG2.25	like:SETD3/SETD4	SET	Methylase	2	2	1	0.001	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG1.84	like:SMYD1/SMYD2/SMYD3/SMYD4/SMYD5	SET	Methylase	1	1	1	0.001	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG1.11	like:SMYD1/SMYD2/SMYD3/SMYD4/SMYD5	SET	Methylase	2	2	1	0.001	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG1.43	like:SMYD1/SMYD2/SMYD3/SMYD4/SMYD5	SET	Methylase	2	2	1	0.001	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG1.54	like:SMYD1/SMYD2/SMYD3/SMYD4/SMYD5	SET	Methylase	2	2	1	0.001	NA	Other eukaryotic	1.000	Glyco_transf_54,SET	NA	NA	NA	NA
SET.HG1.57	like:SMYD1/SMYD2/SMYD3/SMYD4/SMYD5	SET	Methylase	2	2	1	0.001	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG1.64	like:SMYD1/SMYD2/SMYD3/SMYD4/SMYD5	SET	Methylase	2	2	1	0.001	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG1.72	like:SMYD1/SMYD2/SMYD3/SMYD4/SMYD5	SET	Methylase	2	2	1	0.001	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG1.74	like:SMYD1/SMYD2/SMYD3/SMYD4/SMYD5	SET	Methylase	2	2	1	0.001	NA	Other eukaryotic	1.000	EamA,SET	NA	NA	NA	NA
SET.HG15.0	NA	SET	Methylase	4	3	1	0.001	NA	Other eukaryotic	1.000		NA	NA	NA	NA
SET.HG1.63	like:SMYD1/SMYD2/SMYD3/SMYD4/SMYD5	SET	Methylase	3	1	1	0.001	NA	Other eukaryotic	1.000	SET,PARP,Ion_trans_2,EF-hand_7	NA	NA	NA	NA
SET.HG17.0	NA	SET	Methylase	6	1	1	0.001	NA	NA	NA	SET	NA	NA	NA	NA
SET.HG1.70	like:SMYD5	SET	Methylase	10	4	1	0.001	NA	Other eukaryotic	1.000	SET,zf-MYND	NA	NA	NA	NA
SET.HG6.17	like:KMT5A	SET	Methylase	8	5	1	0.001	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG6.9	like:KMT5A	SET	Methylase	7	4	1	0.001	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG6.14	like:KMT5A	SET	Methylase	3	2	1	0.001	NA	Other eukaryotic	1.000		NA	NA	NA	NA
SET.HG6.7	like:KMT5A	SET	Methylase	6	1	1	0.001	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG6.12	like:KMT5A	SET	Methylase	5	2	1	0.001	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG1.81	like:SMYD1/SMYD2/SMYD3/SMYD4/SMYD5	SET	Methylase	1	1	1	0.001	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG1.82	like:SMYD1/SMYD2/SMYD3/SMYD4/SMYD5	SET	Methylase	1	1	1	0.001	NA	Other eukaryotic	1.000	FKBP_C,SET,WRC,Ribosomal_L44	NA	NA	NA	NA
SET.HG6.20	like:KMT5A	SET	Methylase	8	2	1	0.001	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG6.19	like:KMT5A	SET	Methylase	8	2	1	0.001	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG6.4	like:KMT5A	SET	Methylase	5	4	1	0.001	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG6.8	like:KMT5A	SET	Methylase	3	1	1	0.001	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG6.1	like:KMT5A	SET	Methylase	3	2	1	0.001	NA	Other eukaryotic	0.741		NA	NA	NA	NA
SET.HG1.76	like:SMYD1/SMYD2/SMYD3/SMYD4/SMYD5	SET	Methylase	1	1	1	0.001	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG1.83	like:SMYD1/SMYD2/SMYD3/SMYD4/SMYD5	SET	Methylase	1	1	1	0.001	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG6.13	like:KMT5A	SET	Methylase	2	1	1	0.001	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG6.16	like:KMT5A	SET	Methylase	2	1	1	0.001	NA	Other eukaryotic	1.000		NA	NA	NA	NA
SET.HG6.18	like:KMT5A	SET	Methylase	2	1	1	0.001	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG6.10	like:KMT5A	SET	Methylase	2	2	1	0.001	NA	Other eukaryotic	1.000		NA	NA	NA	NA
SET.HG2.45	like:SETD3/SETD4	SET	Methylase	1	1	1	0.001	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG1.29	like:SMYD1/SMYD2/SMYD3/SMYD4/SMYD5	SET	Methylase	2	1	1	0.000	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG2.43	like:SETD6	SET	Methylase	1	1	1	0.000	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG4.2	like:ASH1L/KMT2E/NSD1/NSD2/NSD3/SETD2/SETD5	SET	Methylase	3	1	1	0.000	NA	Other eukaryotic	1.000	AWS,SET	NA	NA	NA	NA
SET.HG2.46	like:SETD3/SETD4	SET	Methylase	1	1	1	0.000	NA	NA	NA	SET,PIG-X	NA	NA	NA	NA
SET.HG3.23	like:SETD1A/SETD1B	SET	Methylase	1	1	1	0.000	NA	Other eukaryotic	1.000		NA	NA	NA	NA
SET.HG1.23	like:SMYD1/SMYD2/SMYD3/SMYD4/SMYD5	SET	Methylase	3	3	1	0.000	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG3.24	like:KMT2A/KMT2B/KMT2C/KMT2D	SET	Methylase	1	1	1	0.000	NA	Other eukaryotic	1.000	RT_RNaseH_2,SET	NA	NA	NA	NA
SET.HG6.21	like:KMT5A	SET	Methylase	1	1	1	0.000	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG6.22	like:KMT5A	SET	Methylase	1	1	1	0.000	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG6.24	like:KMT5A	SET	Methylase	1	1	1	0.000	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG6.23	like:KMT5A	SET	Methylase	1	1	1	0.000	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG6.25	like:KMT5A	SET	Methylase	1	1	1	0.000	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG6.26	like:KMT5A	SET	Methylase	1	1	1	0.000	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG6.15	like:KMT5A	SET	Methylase	11	1	1	0.000	NA	Other eukaryotic	1.000	SET	NA	NA	NA	NA
SET.HG16.0	NA	SET	Methylase	7	5	1	0.000	NA	NA	NA	SET	NA	NA	NA	NA
SET.HG2.42	like:SETD3/SETD4	SET	Methylase	23	14	1	0.000	NA	Bacteria	1.000	SET,Rubis-subs-bind	NA	NA	NA	NA
CupinJmjC.HG3.1	like:RIOX1	CupinJmjC	Demethylase	55	49	10	1.000	AmorCRUM,Ancyromonadida,Diaphoratickes,Discoba,Hemimastigophora,Malawimonadidae,Meteor	Other eukaryotic	1.000	Cupin_4	NA	NA	NA	NA
CupinJmjC.HG1.37	JMJD7/JMJD7-PLA2G4B	CupinJmjC	Demethylase	137	124	9	1.000	AmorCRUM,Ancyromonadida,Diaphoratickes,Discoba,Malawimonadidae,Meteor	Other eukaryotic	1.000	Cupin_8	JMJD7-PLA2G4B,JMJD7	JMJD7	NA	NA
CupinJmjC.HG3.0	RIOX2	CupinJmjC	Demethylase	258	97	8	1.000	NA	Bacteria	0.565	Cupin_4	RIOX2	NA	NA	NA
CupinJmjC.HG4.1	JARID2/KDM5A/KDM5B/KDM5C/KDM5D	CupinJmjC	Demethylase	342	144	8	1.000	AmorCRUM,Ancyromonadida,Diaphoratickes,Discoba,Hemimastigophora,Malawimonadidae	Other eukaryotic	1.000	JmjN,ARID,PHD,JmjC,zf-C5HC2,PLU-1	JARID2,KDM5B,KDM5C,KDM5A,KDM5D	Jarid2,lid	JHD2	PKDM7D,JMJ18,JMJ15,JMJ19,REF6,JMJ14,ELF6
CupinJmjC.HG6.4	AL451062.4/KDM4A/KDM4B/KDM4C/KDM4D/KDM4E/KDM4F	CupinJmjC	Demethylase	162	108	8	1.000	AmorCRUM,Ancyromonadida,Diaphoratickes,Discoba,Malawimonadidae	Other eukaryotic	1.000	JmjN,JmjC	KDM4D,KDM4A,KDM4C,KDM4E,KDM4B,KDM4F,AL451062.4	Kdm4A,Kdm4B	GIS1,RPH1	NA
CupinJmjC.HG1.44	like:KDM8	CupinJmjC	Demethylase	47	43	8	1.000	AmorCRUM,Diaphoratickes,Discoba,Hemimastigophora,Malawimonadidae,Meteor	Other eukaryotic	1.000	Cupin_8	NA	NA	NA	JMJ30
CupinJmjC.HG8.1	KDM2A/KDM2B/KDM7A/PHF2/PHF8	CupinJmjC	Demethylase	135	81	7	1.000	AmorCRUM,Ancyromonadida,Diaphoratickes,Malawimonadidae	Other eukaryotic	1.000	PHD,JmjC,JHD	PHF8,PHF2,KDM2B,KDM7A,KDM2A	Kdm2	NA	NA
CupinJmjC.HG2.13	like:JMJD6	CupinJmjC	Demethylase	93	81	7	1.000	AmorCRUM,Ancyromonadida,Diaphoratickes,Discoba,Malawimonadidae	Other eukaryotic	0.978	Cupin_8	NA	NA	NA	NA
CupinJmjC.HG2.7	JMJD8	CupinJmjC	Demethylase	42	38	7	1.000	AmorCRUM,Ancyromonadida,Diaphoratickes	Other eukaryotic	0.985	Cupin_8	JMJD8	NA	NA	NA
