aOG	ancestral_evidence_string	gene_fam	num_lineages	num_species	num_genes	refOGs	refOGs_label	list_genes
aOG.eur_Acetyltransf_11	AmorCRUM,Diaphoratickes,Discoba	Acetyltransf_1	3	9	9	Acetyltransf_1.HG2.8:NAA60	NAA60	Acas_ELR15818,Diprot_Gene.28143,Gonavo_g21404.t1,Phoaus_g14211.t1,Pinf_PITG_08037T0,Recame_RECAM_21540.mRNA.1,Sacu_v1.1_s0081.g018066,Sappar_KDO23656,Spis_XP_022780324_1
aOG.eur_Acetyltransf_110	AmorCRUM,Diaphoratickes,Discoba,Malawimonadidae	Acetyltransf_1	4	4	4	Acetyltransf_1.HG18.0:NA	NA	Amobb2_AMBB2_05000.mRNA.1,Coka_g15723.t1,Maljak_MALJA_04697.mRNA.1,Manpla_Gene.53081
aOG.eur_Acetyltransf_111	AmorCRUM,Ancyromonadida,Diaphoratickes,Discoba,Hemimastigophora,Malawimonadidae,Metamonada,Meteor	Acetyltransf_1	8	23	23	Acetyltransf_1.HG8.0:like:NAA20:likeclu:1,Acetyltransf_1.HG8.1:NAA20	like:NAA20,NAA20	Amobb2_AMBB2_06814.mRNA.1,Aplker_60630,Aurlim_76798,Carmem_1234.p1,Caulen_g4107.t1,Cavfas_EGG20718,Coka_g19145.t1,Diprot_Gene.7053,Gefoke_MALSP_16933.mRNA.1,Gthe_EKX54063,Maljak_MALJA_14408.mRNA.1,Marpol_PTQ37886,Meteor_CRO19MET_NODE_10205.p1,Pinf_PITG_16695T0,Plafun_PRP74792,Plamic_ANCSI_02400.mRNA.1,Rigram_Gene.18385,Secula_SECUL_05314.mRNA.1,Spimul_9323_TR4908_c0_g1,Spun_KND03622,Tielac_KYQ92318,Tvag_XP_001582947.1,Vcar_XP_002950281.1
aOG.eur_Acetyltransf_112	AmorCRUM,Metamonada	Acetyltransf_1	2	2	2	Acetyltransf_1.HG6.0:like:NAA10/NAA11:likeclu:1,Acetyltransf_1.HG6.1:NAA10/NAA11	like:NAA10/NAA11,NAA10/NAA11	Glam_EDO80697,Manpla_Gene.28379
aOG.eur_Acetyltransf_113	AmorCRUM,Ancyromonadida,Diaphoratickes	Acetyltransf_1	3	3	3	Acetyltransf_1.HG1.2:like:NAA30/NAT8/NAT8L/NAT14:likeclu:14/23/38	like:NAA30/NAT8/NAT8L/NAT14	Coka_g7280.t1,Fabtro_Gene.13067,Manpla_Gene.168
aOG.eur_Acetyltransf_114	AmorCRUM,Ancyromonadida,Diaphoratickes	Acetyltransf_1	3	3	3	Acetyltransf_1.HG1.28:like:NAT14:likeclu:23	like:NAT14	Coka_g5291.t1,Fabtro_Gene.32855,Manpla_Gene.305
aOG.eur_Acetyltransf_115	AmorCRUM,Ancyromonadida,Diaphoratickes	Acetyltransf_1	3	4	4	Acetyltransf_1.HG13.2:NA,Acetyltransf_1.HG13.4:NA	NA	Coka_g5133.t1,Fabtro_Gene.11537,Manpla_Gene.4378,Morelo_OAQ33353
aOG.eur_Acetyltransf_116	AmorCRUM,Ancyromonadida,Diaphoratickes	Acetyltransf_1	3	3	3	Acetyltransf_1.HG12.2:NA	NA	Coka_g5224.t1,Fabtro_Gene.21532,Manpla_Gene.7138
aOG.eur_Acetyltransf_117	AmorCRUM	Acetyltransf_1	1	6	6	Acetyltransf_1.HG6.1:NAA10/NAA11	NAA10/NAA11	Cfra_CFRG2286T1,Cowc_KJE91325,Diprot_Gene.16376,Nk52_evm1s2189,Plafun_PRP86110,Sarc_Sarc4_g3527T
aOG.eur_Acetyltransf_118	AmorCRUM,Ancyromonadida,Diaphoratickes,Discoba,Hemimastigophora,Malawimonadidae,Metamonada,Meteor	Acetyltransf_1	8	16	17	Acetyltransf_1.HG6.1:NAA10/NAA11	NAA10/NAA11	Amobb2_AMBB2_13048.mRNA.1,Atri_ERN00360,Carmem_902.p1,Carmem_b457.p2,Coka_g12438.t1,Cpar_Cpar_evm1s7896,Gefoke_MALSP_03687.mRNA.1,Gonavo_comp36727_c0_seq1_6_ORF9_211,Hemkuk_22836_TR7646_c0_g3,Meteor_CRO19MET_NODE_758.p2,Mgut_XP_012849768.1,Pavlsp_1137814,Pisp_OUM69030.1,Plabra_CEO96012,Plamic_ANCSI_06499.mRNA.1,Styinc_Gene10238_m10238,Tpse_EED93257
aOG.eur_Acetyltransf_119	AmorCRUM,Ancyromonadida,Diaphoratickes	Acetyltransf_1	3	4	4	Acetyltransf_1.HG13.6:NA	NA	Fabtro_Gene.53403,Hetalb_XP_020434247.1,Manpla_Gene.62286,Sappar_KDO35402
aOG.eur_Acetyltransf_12	AmorCRUM,Diaphoratickes,Discoba,Hemimastigophora	Acetyltransf_1	4	7	7	Acetyltransf_1.HG4.0:like:SAT1/SAT2/SATL1:likeclu:1	like:SAT1/SAT2/SATL1	Aurlim_138548,Clim_evm30s235,Cocsub_XP_005646147.1,Gthe_EKX46354,Honfer_GBG24912,Jakbah_JAKBA_03343.mRNA.1,Spimul_18231_TR9742_c0_g1
aOG.eur_Acetyltransf_120	AmorCRUM,Diaphoratickes,Discoba,Malawimonadidae	Acetyltransf_1	4	8	8	Acetyltransf_1.HG27.0:NA	NA	Cmer_CMS083CT,Hetalb_XP_020428343.1,Maljak_MALJA_20377.mRNA.1,Otau_XP_022838570.1,Plabra_CEP02752,Recame_RECAM_15295.mRNA.1,Sappar_KDO30017,Spun_KND02790
aOG.eur_Acetyltransf_121	AmorCRUM,Metamonada	Acetyltransf_1	2	5	5	Acetyltransf_1.HG1.30:like:NAT8/NAT8L:likeclu:38,Acetyltransf_1.HG10.0:NAA40,Acetyltransf_1.HG12.1:NA,Acetyltransf_1.HG2.1:like:NAA50/NAA60:likeclu:8/17,Acetyltransf_1.HG2.9:like:NAA50:likeclu:17	like:NAA50,like:NAA50/NAA60,like:NAT8/NAT8L,NA,NAA40	Cavfas_EGG24028,Diprot_Gene.15998,Manpla_Gene.34115,Pisp_OUM61302.1,Tvag_XP_001308214.1
aOG.eur_Acetyltransf_122	AmorCRUM	Acetyltransf_1	1	2	2	Acetyltransf_1.HG10.0:NAA40	NAA40	Diprot_Gene.14384,Plafun_PRP84817
aOG.eur_Acetyltransf_123	AmorCRUM,Diaphoratickes,Discoba	Acetyltransf_1	3	4	4	Acetyltransf_1.HG9.0:like:ELP3:likeclu:1,Acetyltransf_1.HG9.1:ELP3	ELP3,like:ELP3	Bodsal_CUI15580.1,Cvel_10742.t1-p1,Gthe_EKX43882,Pygbif_GCRY01004276.1.p1
aOG.eur_Acetyltransf_124	AmorCRUM,Diaphoratickes,Malawimonadidae	Acetyltransf_1	3	3	3	Acetyltransf_1.HG1.19:like:NAT8/NAT8L:likeclu:38	like:NAT8/NAT8L	Cocsub_XP_005643391.1,Malcal_MALCA_01029.mRNA.1,Spom_SPBC1271.07c.1_pep
aOG.eur_Acetyltransf_125	AmorCRUM,Diaphoratickes,Discoba	Acetyltransf_1	3	5	5	Acetyltransf_1.HG1.19:like:NAT8/NAT8L:likeclu:38	like:NAT8/NAT8L	Acas_ELR14245,Bnat_JGI_V11_53638,Diprot_Gene.20324,Secula_SECUL_08156.mRNA.1,Tadh_P58018
aOG.eur_Acetyltransf_126	AmorCRUM,Diaphoratickes,Discoba	Acetyltransf_1	3	4	4	Acetyltransf_1.HG7.2:NA	NA	Bodsal_CUF69549.1,Gpro_KXS09687,Plabra_CEO99593,Spun_KND01590
aOG.eur_Acetyltransf_127	AmorCRUM,Ancyromonadida,Diaphoratickes,Discoba,Malawimonadidae	Acetyltransf_1	5	8	8	Acetyltransf_1.HG7.2:NA	NA	Acas_ELR20891,Amobb2_AMBB2_10335.mRNA.1,Chocri_XP_005709978.1,Gefoke_MALSP_16967.mRNA.1,Gonavo_comp58597_c0_seq3_6_ORF12_237,Nutlon_comp8776_c0_seq1.p2,Rigram_Gene.14071,Vitbra_CEM37833.1
aOG.eur_Acetyltransf_128	AmorCRUM,Diaphoratickes	Acetyltransf_1	2	2	2	Acetyltransf_1.HG7.0:NA	NA	Acas_ELR21815,Vitbra_CEL99951.1
aOG.eur_Acetyltransf_129	AmorCRUM,Metamonada	Acetyltransf_1	2	5	5	Acetyltransf_1.HG7.0:NA	NA	Acas_ELR23870,Concor_KXN68681,Manpla_Gene.50571,Nk52_evm41s2118,Tvag_XP_001329365.1
aOG.eur_Acetyltransf_13	AmorCRUM,Diaphoratickes,Discoba,Malawimonadidae	Acetyltransf_1	4	6	6	Acetyltransf_1.HG1.13:like:NAA30:likeclu:14	like:NAA30	Amobb2_AMBB2_13580.mRNA.1,Cowc_KJE95742,Falb_KCV68590,Gefoke_MALSP_08782.mRNA.1,Ngad_EWM29291,Rigram_Gene.7150
aOG.eur_Acetyltransf_130	AmorCRUM,Diaphoratickes	Acetyltransf_1	2	3	3	Acetyltransf_1.HG12.0:NA	NA	Coka_g18161.t1,Mbre_EDQ91800,Plafun_PRP85940
aOG.eur_Acetyltransf_131	AmorCRUM,Ancyromonadida,Diaphoratickes	Acetyltransf_1	3	3	3	Acetyltransf_1.HG12.0:NA	NA	Coka_g4624.t1,Fabtro_Gene.23303,Manpla_Gene.7792
aOG.eur_Acetyltransf_132	AmorCRUM,Ancyromonadida	Acetyltransf_1	2	2	2	Acetyltransf_1.HG32.1:NA	NA	Fabtro_Gene.9749,Manpla_Gene.3561
aOG.eur_Acetyltransf_133	AmorCRUM,Diaphoratickes,Malawimonadidae	Acetyltransf_1	3	5	5	Acetyltransf_1.HG15.1:NA	NA	Bnat_JGI_V11_136581,Gefoke_MALSP_15844.mRNA.1,Gthe_EKX44904,Hetalb_XP_020429882.1,Ttra_KNC55768
aOG.eur_Acetyltransf_134	Diaphoratickes	Acetyltransf_1	1	2	2	Acetyltransf_1.HG5.1:KAT2A/KAT2B	KAT2A/KAT2B	Aplker_47030,Honfer_GBG34383
aOG.eur_Acetyltransf_135	AmorCRUM,Diaphoratickes,Discoba,Malawimonadidae	Acetyltransf_1	4	5	5	Acetyltransf_1.HG2.6:like:NAA50/NAA60:likeclu:8/17	like:NAA50/NAA60	Gefoke_MALSP_18454.mRNA.1,Gonavo_comp14758_c0_seq1_6_ORF8_143,Recame_RECAM_10188.mRNA.1,Rigram_Gene.29224,Symmic_Smic37418
aOG.eur_Acetyltransf_136	AmorCRUM,Diaphoratickes,Discoba,Malawimonadidae	Acetyltransf_1	4	6	6	Acetyltransf_1.HG25.1:NA	NA	Ctel_CapteP159966,Gefoke_MALSP_18227.mRNA.1,Linana_g7457.t1,Phakir_PHAKIR_12650.mRNA.1,Pinf_PITG_10197T0,Plafun_PRP79678
aOG.eur_Acetyltransf_137	AmorCRUM,Ancyromonadida,Diaphoratickes	Acetyltransf_1	3	4	4	Acetyltransf_1.HG7.0:NA	NA	Auraur_scaffold738.g6.t1,Coka_g19238.t1,Fabtro_Gene.31140,Manpla_Gene.13080
aOG.eur_Acetyltransf_138	Ancyromonadida,Diaphoratickes	Acetyltransf_1	2	2	2	Acetyltransf_1.HG16.0:AANAT	AANAT	Nutlon_comp1144_c0_seq1.p1,Retfil_ETO29563
aOG.eur_Acetyltransf_139	AmorCRUM,Ancyromonadida,Diaphoratickes,Discoba,Malawimonadidae,Meteor	Acetyltransf_1	6	17	17	Acetyltransf_1.HG16.0:AANAT	AANAT	Acas_ELR11586,Amobb2_AMBB2_07208.mRNA.1,Ancsig_Gene.3308,Bralan_BL39145_cuf0,Coka_g12386.t1,Cvel_16170.t1-p1,Diprot_Gene.23316,Gefoke_MALSP_07268.mRNA.1,Gonavo_comp19685_c1_seq1_6_ORF10_162,Gthe_EKX52063,Klenit_GAQ84175.1,Maljak_MALJA_02073.mRNA.1,Meteor_CRO19MET_NODE_7265.p2,Mpus_XP_003058960.1,Phakir_PHAKIR_03739.mRNA.1,Plamic_ANCSI_09843.mRNA.1,Ttra_KNC54042
aOG.eur_Acetyltransf_14	AmorCRUM,Discoba,Malawimonadidae	Acetyltransf_1	3	5	5	Acetyltransf_1.HG2.0:KAT14	KAT14	Amobb2_AMBB2_01183.mRNA.1,Diprot_Gene.22511,Gefoke_MALSP_06423.mRNA.1,Maljak_MALJA_17863.mRNA.1,Plafun_PRP73933
aOG.eur_Acetyltransf_140	AmorCRUM,Ancyromonadida,Diaphoratickes	Acetyltransf_1	3	7	7	Acetyltransf_1.HG19.1:NA	NA	Alblai_CCA24022,Auraur_scaffold10.g133.t1,Clim_evm32s25,Fabtro_Gene.15329,Manpla_Gene.12223,Porumb_OSX76275.1,Sappar_KDO27325
aOG.eur_Acetyltransf_141	Diaphoratickes	Acetyltransf_1	1	6	6	Acetyltransf_1.HG5.1:KAT2A/KAT2B	KAT2A/KAT2B	Pinf_PITG_20197T0,Ppat_Pp3c2_9560V3.3,Sappar_KDO35614,Sbic_OQU91781,Sphfal_Sphfalx05G111200.1.p,Vcar_XP_002946097.1
aOG.eur_Acetyltransf_142	AmorCRUM,Diaphoratickes	Acetyltransf_1	2	4	4	Acetyltransf_1.HG9.1:ELP3	ELP3	Alblai_CCA17517,Gthe_EKX51125,Manpla_Gene.25009,Pinf_PITG_01099T0
aOG.eur_Acetyltransf_143	AmorCRUM,Ancyromonadida,Diaphoratickes,Discoba,Hemimastigophora,Malawimonadidae,Metamonada,Meteor	Acetyltransf_1	8	18	18	Acetyltransf_1.HG9.1:ELP3	ELP3	Carmem_2128.p1,Diprot_Gene.3402,Gpro_KXS11064,Hemkuk_8490_TR2934_c0_g1,Klenit_GAQ90426.1,Maljak_MALJA_03085.mRNA.1,Meteor_CRO19MET_NODE_4182.p1,Nk52_evm13s316,Otau_XP_003083184.1,Phoaus_g14897.t1,Plafun_PRP85700,Plamic_ANCSI_06085.mRNA.1,Ppat_Pp3c18_6090V3.1,Secula_SECUL_05200.mRNA.1,Spun_KND01121,Styinc_Gene28308_m28308,Tielac_KYQ90154,Tthe_EAR84763
aOG.eur_Acetyltransf_144	AmorCRUM,Discoba,Malawimonadidae	Acetyltransf_1	3	3	3	Acetyltransf_1.HG7.0:NA	NA	Amobb2_AMBB2_14405.mRNA.1,Malcal_MALCA_09815.mRNA.1,Umbram_226976
aOG.eur_Acetyltransf_145	AmorCRUM,Diaphoratickes,Hemimastigophora,Malawimonadidae	Acetyltransf_1	4	8	8	Acetyltransf_1.HG7.0:NA	NA	Acas_ELR20745,Azfi_s3725.g116691,Coka_g974.t1,Gefoke_MALSP_05951.mRNA.1,Gpro_KXS19770,Hetalb_XP_020437574.1,Manpla_Gene.29746,Spimul_7244_TR3786_c0_g2
aOG.eur_Acetyltransf_146	AmorCRUM,Ancyromonadida,Diaphoratickes,Discoba	Acetyltransf_1	4	4	4	Acetyltransf_1.HG31.0:NA	NA	Coka_g5201.t1,Fabtro_Gene.16304,Manpla_Gene.23090,Styinc_Gene10549_m10549
aOG.eur_Acetyltransf_147	AmorCRUM,Diaphoratickes,Discoba	Acetyltransf_1	3	4	4	Acetyltransf_1.HG7.0:NA	NA	Caulen_g1202.t1,Pygbif_GCRY01000598.1.p1,Styinc_Gene2033_m2033,Tpse_EED88033
aOG.eur_Acetyltransf_148	AmorCRUM,Ancyromonadida,Diaphoratickes,Discoba,Malawimonadidae	Acetyltransf_1	5	5	5	Acetyltransf_1.HG11.1:NA	NA	Amobb2_AMBB2_02969.mRNA.2,Cvar_XP_005852027.1,Gefoke_MALSP_09474.mRNA.1,Nutlon_comp5817_c0_seq1.p2,Rigram_Gene.21109
aOG.eur_Acetyltransf_149	AmorCRUM,Diaphoratickes	Acetyltransf_1	2	2	2	Acetyltransf_1.HG7.0:NA	NA	Gonavo_comp39320_c1_seq1_6_ORF4_185,Sarc_Sarc4_g18908T
aOG.eur_Acetyltransf_15	AmorCRUM,Ancyromonadida,Malawimonadidae	Acetyltransf_1	3	3	3	Acetyltransf_1.HG28.1:NA	NA	Ancsig_Gene.4170,Gefoke_MALSP_06882.mRNA.1,Manpla_Gene.56748
aOG.eur_Acetyltransf_150	Ancyromonadida,Diaphoratickes,Meteor	Acetyltransf_1	3	4	4	Acetyltransf_1.HG10.0:NAA40	NAA40	Honfer_GBG32059,Meteor_CRO19MET_NODE_9563.p1,Plamic_ANCSI_01046.mRNA.1,Schagg_33023
aOG.eur_Acetyltransf_151	AmorCRUM,Discoba,Malawimonadidae	Acetyltransf_1	3	3	3	Acetyltransf_1.HG4.1:SAT1/SAT2/SATL1	SAT1/SAT2/SATL1	Andgod_ANDGO_05128.mRNA.1,Gefoke_MALSP_18628.mRNA.1,Nk52_evm77s1737
aOG.eur_Acetyltransf_152	AmorCRUM,Ancyromonadida,Diaphoratickes	Acetyltransf_1	3	3	3	Acetyltransf_1.HG11.1:NA	NA	Coka_g2407.t1,Fabtro_Gene.27775,Manpla_Gene.13608
aOG.eur_Acetyltransf_153	AmorCRUM,Ancyromonadida,Diaphoratickes	Acetyltransf_1	3	3	3	Acetyltransf_1.HG11.1:NA	NA	Coka_g940.t1,Fabtro_Gene.35596,Manpla_Gene.36320
aOG.eur_Acetyltransf_154	AmorCRUM,Ancyromonadida,Diaphoratickes,Discoba,Hemimastigophora,Meteor	Acetyltransf_1	6	9	9	Acetyltransf_1.HG5.1:KAT2A/KAT2B	KAT2A/KAT2B	Amobb2_AMBB2_02344.mRNA.1,Diprot_Gene.10009,Fabtro_Gene.21125,Meteor_CRO19MET_NODE_5749.p2,Ngru_EFC45787,Plabra_CEO99972,Plafun_PRP81284,Plamic_ANCSI_08754.mRNA.1,Spimul_26782_TR13307_c0_g1
aOG.eur_Acetyltransf_155	AmorCRUM,Malawimonadidae,Metamonada	Acetyltransf_1	3	9	10	Acetyltransf_1.HG5.0:like:KAT2A/KAT2B:likeclu:1,Acetyltransf_1.HG5.1:KAT2A/KAT2B	KAT2A/KAT2B,like:KAT2A/KAT2B	Acas_ELR15246,Ddis_EAL65714,Gefoke_MALSP_13459.mRNA.1,Hsap_ENSP00000225916.5,Ihof_evm1s360,Malcal_MALCA_02126.mRNA.1,Pisp_OUM68377.1,Tvag_XP_001302905.1,Tvag_XP_001328420.1,Umbram_221140
aOG.eur_Acetyltransf_156	Diaphoratickes	Acetyltransf_1	1	2	2	Acetyltransf_1.HG10.0:NAA40	NAA40	Klenit_GAQ83315.1,Pinf_PITG_06396T0
aOG.eur_Acetyltransf_157	Ancyromonadida,Diaphoratickes	Acetyltransf_1	2	3	3	Acetyltransf_1.HG4.1:SAT1/SAT2/SATL1	SAT1/SAT2/SATL1	Aano_EGB04762,Plamic_ANCSI_07981.mRNA.1,Sacu_v1.1_s0014.g006170
aOG.eur_Acetyltransf_158	AmorCRUM,Ancyromonadida,Diaphoratickes,Discoba	Acetyltransf_1	4	8	8	Acetyltransf_1.HG11.1:NA	NA	Andgod_ANDGO_03626.mRNA.1,Aurlim_118788,Cfra_CFRG3769T1,Coka_g17554.t1,Hduj_OWA54037.1,Manpla_Gene.12051,Plamic_ANCSI_10867.mRNA.1,Tielac_KYR01540
aOG.eur_Acetyltransf_159	AmorCRUM,Diaphoratickes	Acetyltransf_1	2	2	2	Acetyltransf_1.HG14.1:NAT9	NAT9	Rigram_Gene.15554,Schagg_53349
aOG.eur_Acetyltransf_16	AmorCRUM,Ancyromonadida,Diaphoratickes,Discoba,Hemimastigophora,Malawimonadidae,Metamonada,Meteor	Acetyltransf_1	8	36	39	Acetyltransf_1.HG3.5:GNPNAT1	GNPNAT1	Acas_ELR15248,Amac_KNE63426,Amac_KNE72395,Ancsig_Gene.22132,Bden_EGF79480,Cang_ORZ40572,Carmem_3376.p1,Cavfas_EGG20338,Cneo_AAW44088,Crei_PNW75797,Cvel_13463.t1-p1,Ddis_EAL67676,Diprot_Gene.27894,Fabtro_Gene.10260,Gefoke_MALSP_05415.mRNA.1,Glam_EDO81314,Gthe_EKX37225,Maljak_MALJA_12722.mRNA.1,Maljak_MALJA_22536.mRNA.1,Manpla_Gene.12079,Meteor_CRO19MET_NODE_10165.p2,Ngru_EFC50326,Oxytri_EJY77999,Phakir_PHAKIR_04331.mRNA.1,Plabra_CEO96100,Plafun_PRP85816,Plamic_ANCSI_00628.mRNA.1,Ppat_Pp3c14_20090V3.1,Rall_EPZ30954,Retfil_ETO04980,Rhidel_EIE91644,Rigram_Gene.11317,Secula_SECUL_02010.mRNA.1,Sphfal_Sphfalx12G024300.1.p,Spimul_2638_TR1278_c0_g1,Spimul_2639_TR1278_c0_g1,Spun_KND02156,Sros_EGD74192,Tvag_XP_001303745.1
aOG.eur_Acetyltransf_160	AmorCRUM,Ancyromonadida,Diaphoratickes,Discoba,Malawimonadidae,Meteor	Acetyltransf_1	6	16	16	Acetyltransf_1.HG14.1:NAT9	NAT9	Amobb2_AMBB2_04456.mRNA.1,Atha_AT2G04845.1,Atri_ERN18275,Cavfas_EGG23553,Cvar_XP_005849450.1,Diprot_Gene.13031,Fabtro_Gene.46100,Gefoke_MALSP_18563.mRNA.1,Lcom_lcpid118341,Meteor_CRO19MET_NODE_5497.p2,Recame_RECAM_09723.mRNA.1,Sappar_KDO24546,Scil_scpid75577,Sphfal_Sphfalx09G058100.1.p,Spur_XP_030848403.1,Tielac_KYR02219
aOG.eur_Acetyltransf_161	AmorCRUM,Diaphoratickes,Discoba,Hemimastigophora	Acetyltransf_1	4	7	7	Acetyltransf_1.HG10.0:NAA40	NAA40	Cocsub_XP_005647283.1,Hemkuk_9553_TR3317_c0_g1,Nk52_evm32s221,Recame_RECAM_09715.mRNA.1,Rigram_Gene.8330,Secula_SECUL_03647.mRNA.1,Spimul_21660_TR10611_c0_g1
aOG.eur_Acetyltransf_162	AmorCRUM,Diaphoratickes	Acetyltransf_1	2	4	4	Acetyltransf_1.HG4.1:SAT1/SAT2/SATL1	SAT1/SAT2/SATL1	Cvel_20654.t1-p1,Diprot_Gene.19974,Plafun_PRP80600,Tadh_P51268
aOG.eur_Acetyltransf_163	AmorCRUM,Diaphoratickes,Discoba,Malawimonadidae	Acetyltransf_1	4	7	8	Acetyltransf_1.HG4.1:SAT1/SAT2/SATL1	SAT1/SAT2/SATL1	Ddis_EAL67539,Gefoke_MALSP_07034.mRNA.1,Hetalb_XP_020436275.1,Klenit_GAQ85175.1,Pbla_XP_018293184.1,Styinc_Gene29170_m29170,Styinc_Gene34463_m34463,Umbram_221670
aOG.eur_Acetyltransf_164	AmorCRUM,Diaphoratickes,Discoba,Malawimonadidae,Metamonada	Acetyltransf_1	5	6	6	Acetyltransf_1.HG10.0:NAA40	NAA40	Drer_ENSDARP00000029934.6,Gefoke_MALSP_09849.mRNA.1,Spis_XP_022792866_1,Styinc_Gene36903_m36903,Tvag_XP_001579481.1,Vitbra_CEL99588.1
aOG.eur_Acetyltransf_165	Discoba	Acetyltransf_1	1	1	1	Acetyltransf_1.HG2.8:NAA60	NAA60	Phakir_PHAKIR_11417.mRNA.1
aOG.eur_Acetyltransf_166	AmorCRUM	Acetyltransf_1	1	1	1	Acetyltransf_1.HG8.1:NAA20	NAA20	Ttra_KNC47890
aOG.eur_Acetyltransf_167	Ancyromonadida	Acetyltransf_1	1	1	1	Acetyltransf_1.HG6.1:NAA10/NAA11	NAA10/NAA11	Nutlon_comp14240_c0_seq1.p1
aOG.eur_Acetyltransf_168	AmorCRUM	Acetyltransf_1	1	1	1	Acetyltransf_1.HG6.1:NAA10/NAA11	NAA10/NAA11	Tielac_KYQ93649
aOG.eur_Acetyltransf_169	Diaphoratickes	Acetyltransf_1	1	1	1	Acetyltransf_1.HG19.1:NA	NA	Cmer_CMB127CT
aOG.eur_Acetyltransf_17	AmorCRUM,Diaphoratickes,Hemimastigophora	Acetyltransf_1	3	4	4	Acetyltransf_1.HG21.0:NA	NA	Bremin_symbB.v1.2.026895.t1,Gonavo_comp74879_c0_seq1_6_ORF5_432,Spimul_7639_TR4022_c0_g1,Ttra_KNC52965
aOG.eur_Acetyltransf_170	Diaphoratickes	Acetyltransf_1	1	1	1	Acetyltransf_1.HG5.1:KAT2A/KAT2B	KAT2A/KAT2B	Ptet_CAK69913
aOG.eur_Acetyltransf_171	Metamonada	Acetyltransf_1	1	1	1	Acetyltransf_1.HG10.0:NAA40	NAA40	Tvag_XP_001310507.1
aOG.eur_Acetyltransf_172	Diaphoratickes	Acetyltransf_1	1	1	1	Acetyltransf_1.HG10.0:NAA40	NAA40	Gthe_EKX35556
aOG.eur_Acetyltransf_173	AmorCRUM	Acetyltransf_1	1	1	1	Acetyltransf_1.HG10.0:NAA40	NAA40	Emue_0019g176a
aOG.eur_Acetyltransf_174	Malawimonadidae	Acetyltransf_1	1	1	1	Acetyltransf_1.HG9.1:ELP3	ELP3	Gefoke_MALSP_16898.mRNA.1
aOG.eur_Acetyltransf_175	Diaphoratickes	Acetyltransf_1	1	1	1	Acetyltransf_1.HG7.0:NA	NA	Bremin_symbB.v1.2.032850.t1
aOG.eur_Acetyltransf_176	AmorCRUM	Acetyltransf_1	1	1	1	Acetyltransf_1.HG11.1:NA	NA	Hetalb_XP_020434906.1
aOG.eur_Acetyltransf_18	AmorCRUM,Diaphoratickes,Discoba,Malawimonadidae	Acetyltransf_1	4	5	5	Acetyltransf_1.HG23.0:NA	NA	Acas_ELR20995,Amobb2_AMBB2_08323.mRNA.1,Cmer_CMG090CT,Cowc_KJE91510,Gefoke_MALSP_11946.mRNA.1
aOG.eur_Acetyltransf_19	AmorCRUM,Ancyromonadida,Diaphoratickes,Discoba,Hemimastigophora,Malawimonadidae,Metamonada,Meteor	Acetyltransf_1	8	34	34	Acetyltransf_1.HG1.14:NAA30	NAA30	Acas_ELR24314,Alblai_CCA20698,Bnat_JGI_V11_83553,Carmem_374.p1,Chabra_GBG64891,Crei_PNW73224,Cscu_XP_023223796.1,Ddis_EAL64523,Diprot_Gene.22579,Drer_ENSDARP00000104949.1,Gefoke_MALSP_14953.mRNA.1,Gonavo_g12397.t1,Gracho_PXF46755.1,Hemkuk_178_TR53_c0_g1,Honfer_GBG26488,Klenit_GAQ89761.1,Malcal_MALCA_00490.mRNA.1,Maljak_MALJA_21566.mRNA.1,Manpla_Gene.14148,Meteor_CRO19MET_NODE_9985.p2,Notgen_g13255.t1,Nutlon_comp3433_c0_seq1.p1,Nvec_NVE22457,Phakir_PHAKIR_17295.mRNA.1,Plabra_CEP01279,Plafun_PRP75113,Plamic_ANCSI_07040.mRNA.1,Rigram_Gene.9227,Secula_SECUL_08486.mRNA.1,Spimul_17982_TR9593_c0_g1,Spis_XP_022788940_1,Tadh_P18177,Tvag_XP_001320347.1,Vcar_XP_002952437.1
aOG.eur_GNAT_acetyltr_20	AmorCRUM,Ancyromonadida,Diaphoratickes	GNAT_acetyltr_2	3	3	3	GNAT_acetyltr_2.HG1.0:like:NAT10:likeclu:1	like:NAT10	Coka_g4740.t1,Fabtro_Gene.9749,Manpla_Gene.3561
aOG.eur_GNAT_acetyltr_21	AmorCRUM,Ancyromonadida,Diaphoratickes,Discoba,Hemimastigophora,Malawimonadidae,Metamonada,Meteor	GNAT_acetyltr_2	8	24	24	GNAT_acetyltr_2.HG1.1:NAT10	NAT10	Andgod_ANDGO_01938.mRNA.1,Apla_XP_022083615.1,Clyhem_TCONS_00052312-protein,Ddis_EAL73023,Diprot_Gene.19456,Fabtro_Gene.8493,Gefoke_MALSP_15715.mRNA.1,Hemkuk_3867_TR1359_c0_g1,Klenit_GAQ78702.1,Maljak_MALJA_02339.mRNA.1,Manpla_Gene.18295,Marpol_PTQ42188,Meteor_CRO19MET_NODE_577.p1,Ngru_EFC50309,Nk52_evm67s343,Nvec_NVE16352,Pinf_PITG_19671T0,Plabra_CEO95733,Plafun_PRP75174,Plamic_ANCSI_00556.mRNA.1,Recame_RECAM_22688.mRNA.1,Sacu_v1.1_s0021.g008523,Skow_XP_006819163.1,Tvag_XP_001315570.1
